编号,名称,指定武将卡(优先级最高),同行武将,总战力,武将战力,"武将类型(0,不指定;1,勇将;2,将军;3,智将;4,策士)","武将性别（0,不指定;1，男;2，女）",地图限制,事件编号,描述
id,name,strCardIDs,strTogetherCardIDs,nTotalFighting,nCardFighting,nCardStyle,nGender,strLimitMap,nEventID,desc
int,string,string,string,int,int,int,int,string,int,string
101000,比武大会,0,0,0,0,3,0,0,101010,无效
102000,比武大会,0,0,0,0,3,0,3|4,102010,无效
103000,比武大会,0,0,0,0,4,0,0,103010,无效
104000,比武大会,0,0,0,0,4,0,3|4,104010,无效
105000,比武大会,0,0,0,0,2,0,0,105010,无效
106000,比武大会,0,0,0,0,2,0,3|4,106010,无效
107000,比武大会,0,0,0,0,1,0,0,107010,无效
108000,比武大会,0,0,0,0,1,0,3|4,108010,无效
109000,祭典,0,0,0,0,0,0,1,109010,无效
110000,祭典,0,0,0,0,0,0,1,110010,无效
111000,祭典,0,0,0,0,0,0,1,111010,无效
112000,祭典,0,0,0,0,0,0,1,112010,无效
113000,祭典,0,0,0,0,0,0,1,113010,无效
114000,祭祀洛阳,0,0,0,0,0,0,1,114010,无效
115000,村民的请愿,0,0,0,0,3,0,0,115010,无效
116000,村民的请愿,0,0,0,0,4,0,0,116010,无效
117000,村民的请愿,0,0,0,0,2,0,0,117010,无效
118000,村民的请愿,0,0,0,0,1,0,0,118010,无效
119000,村民的请愿,0,0,0,0,3,0,3|4,119010,无效
120000,村民的请愿,0,0,0,0,4,0,3|4,120010,无效
121000,村民的请愿,0,0,0,0,2,0,3|4,121010,无效
122000,村民的请愿,0,0,0,0,1,0,3|4,122010,无效
123000,偶遇故友,0,0,0,0,0,0,0,123010,无效
124000,偶遇故友,0,0,0,0,0,0,0,124010,无效
125000,偶遇故友,0,0,0,0,0,0,0,125010,无效
126000,偶遇故友,0,0,0,0,0,0,0,126010,无效
127000,偶遇故友,0,0,0,0,0,0,0,127010,无效
128000,偶遇故友,0,0,0,0,0,0,0,128010,无效
129000,偶遇故友,0,0,0,0,0,0,0,129010,无效
130000,偶遇故友,0,0,0,0,0,0,0,130010,无效
131000,偶遇故友,0,0,0,0,0,0,0,131010,无效
132000,乱世仁医,0,0,0,0,0,0,1,132010,无效
133000,天算人算,0,0,0,0,0,0,1,133010,无效
