编号,地图编号,坐标X,坐标Y,坐标Z
id,nMapID,fPosX,fPosY,fPosZ
int,int,float,float,float
1,1,-62,197,-20
2,1,-234,90,-20
3,1,250,101,-20
4,1,-31,139,-20
5,1,207,72,-20
6,1,-4,-116,-20
7,1,-159,-38,-20
8,1,-93,100,-20
9,1,-85,-106,-20
10,1,-267,129,-20
11,1,-39,187,-20
12,1,214,128,-20
13,1,-271,-117,-20
14,1,49,122,-20
15,1,153,186,-20
16,1,-84,100,-20
17,1,-137,158,-20
18,1,393,69,-20
19,1,350,100,-20
20,1,111,-134,-20
21,1,-194,-152,-20
22,1,169,0,-20
23,1,30,-61,-20
24,1,238,-78,-20
25,1,-334,73,-20
26,1,324,159,-20
27,1,-62,197,-20
28,1,-234,90,-20
29,1,250,101,-20
30,1,-31,139,-20
31,1,207,72,-20
32,1,-4,-116,-20
33,1,-159,-38,-20
34,1,-93,100,-20
35,1,-85,-106,-20
36,1,-267,129,-20
37,1,-39,187,-20
38,1,214,128,-20
39,1,-271,-117,-20
40,1,49,122,-20
41,1,153,186,-20
42,1,-84,100,-20
43,1,-137,158,-20
44,1,393,69,-20
45,1,350,100,-20
46,1,111,-134,-20
47,1,-194,-152,-20
48,1,169,0,-20
49,1,30,-61,-20
50,1,238,-78,-20
51,1,-334,73,-20
52,1,324,159,-20
53,1,-62,197,-20
54,1,-234,90,-20
55,1,250,101,-20
56,1,-31,139,-20
57,1,207,72,-20
58,1,-4,-116,-20
59,1,-159,-38,-20
60,1,-93,100,-20
61,1,-85,-106,-20
62,1,-267,129,-20
63,1,-39,187,-20
64,1,214,128,-20
65,1,-271,-117,-20
66,1,49,122,-20
67,1,153,186,-20
68,1,-84,100,-20
69,1,-137,158,-20
70,1,393,69,-20
71,1,350,100,-20
72,1,111,-134,-20
73,1,-194,-152,-20
74,1,169,0,-20
75,1,30,-61,-20
76,1,238,-78,-20
77,1,-334,73,-20
78,1,324,159,-20
79,1,-62,197,-20
80,1,-234,90,-20
81,1,250,101,-20
82,1,-31,139,-20
83,1,207,72,-20
84,1,-4,-116,-20
85,1,-159,-38,-20
86,1,-93,100,-20
87,1,-85,-106,-20
88,1,-267,129,-20
89,1,-39,187,-20
90,1,214,128,-20
91,1,-271,-117,-20
92,1,49,122,-20
93,1,153,186,-20
94,1,-84,100,-20
95,1,-137,158,-20
96,1,393,69,-20
97,1,350,100,-20
98,1,111,-134,-20
99,1,-194,-152,-20
100,1,169,0,-20
101,1,30,-61,-20
102,1,238,-78,-20
103,1,-334,73,-20
104,1,324,159,-20
105,2,-212,203,-20
106,2,-176,0,-20
107,2,300,180,-20
108,2,100,160,-20
109,2,316,110,-20
110,2,200,170,-20
111,2,33,130,-20
112,2,50,150,-20
113,2,222,50,-20
114,2,-135,20,-20
115,2,-333,10,-20
116,2,-32,-10,-20
117,2,-100,-20,-20
118,2,-300,-35,-20
119,2,-253,-90,-20
120,2,-200,-50,-20
121,2,-157,-136,-20
122,2,38,-10,-20
123,2,0,-100,-20
124,2,303,-129,-20
125,2,-255,109,-20
126,2,-79,112,-20
127,2,-360,-151,-20
128,2,-33,196,-20
129,2,-241,24,-20
130,2,141,93,-20
131,2,-212,203,-20
132,2,-176,0,-20
133,2,300,180,-20
134,2,100,160,-20
135,2,316,110,-20
136,2,200,170,-20
137,2,33,130,-20
138,2,50,150,-20
139,2,222,50,-20
140,2,-135,20,-20
141,2,-333,10,-20
142,2,-32,-10,-20
143,2,-100,-20,-20
144,2,-300,-35,-20
145,2,-253,-90,-20
146,2,-200,-50,-20
147,2,-157,-136,-20
148,2,38,-10,-20
149,2,0,-100,-20
150,2,303,-129,-20
151,2,-255,109,-20
152,2,-79,112,-20
153,2,-360,-151,-20
154,2,-33,196,-20
155,2,-241,24,-20
156,2,141,93,-20
157,2,-212,203,-20
158,2,-176,0,-20
159,2,300,180,-20
160,2,100,160,-20
161,2,316,110,-20
162,2,200,170,-20
163,2,33,130,-20
164,2,50,150,-20
165,2,222,50,-20
166,2,-135,20,-20
167,2,-333,10,-20
168,2,-32,-10,-20
169,2,-100,-20,-20
170,2,-300,-35,-20
171,2,-253,-90,-20
172,2,-200,-50,-20
173,2,-157,-136,-20
174,2,38,-10,-20
175,2,0,-100,-20
176,2,303,-129,-20
177,2,-255,109,-20
178,2,-79,112,-20
179,2,-360,-151,-20
180,2,-33,196,-20
181,2,-241,24,-20
182,2,141,93,-20
183,2,-212,203,-20
184,2,-176,0,-20
185,2,300,180,-20
186,2,100,160,-20
187,2,316,110,-20
188,2,200,170,-20
189,2,33,130,-20
190,2,50,150,-20
191,2,222,50,-20
192,2,-135,20,-20
193,2,-333,10,-20
194,2,-32,-10,-20
195,2,-100,-20,-20
196,2,-300,-35,-20
197,2,-253,-90,-20
198,2,-200,-50,-20
199,2,-157,-136,-20
200,2,38,-10,-20
201,2,0,-100,-20
202,2,303,-129,-20
203,2,-255,109,-20
204,2,-79,112,-20
205,2,-360,-151,-20
206,2,-33,196,-20
207,2,-241,24,-20
208,2,141,93,-20
209,3,3,-52,-20
210,3,300,180,-20
211,3,-176,0,-20
212,3,-333,10,-20
213,3,-32,-10,-20
214,3,50,150,-20
215,3,-26,130,-20
216,3,316,-11,-20
217,3,151,2,-20
218,3,-254,-115,-20
219,3,200,170,-20
220,3,100,160,-20
221,3,-100,-120,-20
222,3,120,-71,-20
223,3,-253,-39,-20
224,3,-200,89,-20
225,3,-383,-86,-20
226,3,197,-113,-20
227,3,0,-121,-20
228,3,329,-106,-20
229,3,-166,150,-20
230,3,235,-41,-20
231,3,300,115,-20
232,3,200,100,-20
233,3,100,85,-20
234,3,23,89,-20
235,3,3,-52,-20
236,3,300,180,-20
237,3,-176,0,-20
238,3,-333,10,-20
239,3,-32,-10,-20
240,3,50,150,-20
241,3,-26,130,-20
242,3,316,-11,-20
243,3,151,2,-20
244,3,-254,-115,-20
245,3,200,170,-20
246,3,100,160,-20
247,3,-100,-120,-20
248,3,120,-71,-20
249,3,-253,-39,-20
250,3,-200,89,-20
251,3,-383,-86,-20
252,3,197,-113,-20
253,3,0,-121,-20
254,3,329,-106,-20
255,3,-166,150,-20
256,3,235,-41,-20
257,3,300,115,-20
258,3,200,100,-20
259,3,100,85,-20
260,3,23,89,-20
261,3,3,-52,-20
262,3,300,180,-20
263,3,-176,0,-20
264,3,-333,10,-20
265,3,-32,-10,-20
266,3,50,150,-20
267,3,-26,130,-20
268,3,316,-11,-20
269,3,151,2,-20
270,3,-254,-115,-20
271,3,200,170,-20
272,3,100,160,-20
273,3,-100,-120,-20
274,3,120,-71,-20
275,3,-253,-39,-20
276,3,-200,89,-20
277,3,-383,-86,-20
278,3,197,-113,-20
279,3,0,-121,-20
280,3,329,-106,-20
281,3,-166,150,-20
282,3,235,-41,-20
283,3,300,115,-20
284,3,200,100,-20
285,3,100,85,-20
286,3,23,89,-20
287,3,3,-52,-20
288,3,300,180,-20
289,3,-176,0,-20
290,3,-333,10,-20
291,3,-32,-10,-20
292,3,50,150,-20
293,3,-26,130,-20
294,3,316,-11,-20
295,3,151,2,-20
296,3,-254,-115,-20
297,3,200,170,-20
298,3,100,160,-20
299,3,-100,-120,-20
300,3,120,-71,-20
301,3,-253,-39,-20
