序号,活动id,档位描述,发放模式|0选择|1全发,最大选择数量,奖励1参数1,奖励1参数2,奖励1参数3,奖励2参数1,奖励2参数2,奖励2参数3,奖励3参数1,奖励3参数2,奖励3参数3,奖励4参数1,奖励4参数2,奖励4参数3,奖励5参数1,奖励5参数2,奖励5参数3,奖励6参数1,奖励6参数2,奖励6参数3,奖励7参数1,奖励7参数2,奖励7参数3
id,iActivityId,strDesc,iRewardType,nMaxRewardCount,nGood1Type,sGood1Param,nGood1Count,nGood2Type,sGood2Param,nGood2Count,nGood3Type,sGood3Param,nGood3Count,nGood4Type,sGood4Param,nGood4Count,nGood5Type,sGood5Param,nGood5Count,nGood6Type,sGood6Param,nGood6Count,nGood7Type,sGood7Param,nGood7Count
int,int,string,int,int,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int,int,string,int
1,712,充值达到{0}钻石,1,0,26,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,713,累计190钻精选抽卡{0}次,1,0,19,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,713,累计190钻精选抽卡{0}次,1,0,18,1,30,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,713,累计190钻精选抽卡{0}次,1,0,34,1,5,17,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,713,累计190钻精选抽卡{0}次,1,0,29,1,100,16,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,714,累计登录达到{0}天,1,0,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,714,累计登录达到{0}天,1,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,714,累计登录达到{0}天,1,0,1,46 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,714,累计登录达到{0}天,1,0,1,15 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,714,累计登录达到{0}天,1,0,1,384 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,715,消耗达到{0}钻石,1,0,29,1,2,2,1,200000,28,1,10,0,0,0,0,0,0,0,0,0,0,0,0
12,716,充值达到{0}钻石,1,0,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,717,累计60钻抽卡{0}次,1,0,19,1,10,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,717,累计60钻抽卡{0}次,1,0,34,1,2,18,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,717,累计60钻抽卡{0}次,1,0,17,1,60,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,717,累计60钻抽卡{0}次,1,0,29,1,80,16,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,718,消耗达到{0}钻石,1,0,23,1,10,29,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,719,充值达到{0}钻石,1,0,26,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,720,累计190钻精选抽卡{0}次,1,0,28,1,100,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,720,累计190钻精选抽卡{0}次,1,0,34,1,6,17,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,720,累计190钻精选抽卡{0}次,1,0,23,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,720,累计190钻精选抽卡{0}次,1,0,29,1,130,16,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,721,充值达到{0}钻石,1,0,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,722,累计60钻抽卡{0}次,1,0,19,1,10,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,722,累计60钻抽卡{0}次,1,0,34,1,2,29,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,722,累计60钻抽卡{0}次,1,0,18,1,80,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,722,累计60钻抽卡{0}次,1,0,29,1,50,16,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,723,消耗达到{0}钻石,1,0,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,724,充值达到{0}钻石,1,0,53,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,725,累计消耗达到{0}钻石,1,0,18,1,10,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,725,累计消耗达到{0}钻石,1,0,19,1,60,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,725,累计消耗达到{0}钻石,1,0,16,1,30,34,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,725,累计消耗达到{0}钻石,0,1,1,401 1 0,1,1,402 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,726,累计登录达到{0}天,1,0,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,726,累计登录达到{0}天,1,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,726,累计登录达到{0}天,1,0,29,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,726,累计登录达到{0}天,1,0,53,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,726,累计登录达到{0}天,1,0,1,19 1 0,1,1,259 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,727,充值达到{0}钻石,1,0,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,728,累计60钻抽卡{0}次,1,0,19,1,10,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,728,累计60钻抽卡{0}次,1,0,53,1,4,18,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,728,累计60钻抽卡{0}次,1,0,17,1,50,53,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,728,累计60钻抽卡{0}次,1,0,29,1,80,16,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,729,消耗达到{0}钻石,1,0,23,1,10,29,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,730,充值达到{0}钻石,1,0,53,1,1,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,731,累计通关普通{0},1,0,26,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,731,累计通关普通{0},1,0,53,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,732,充值达到{0}钻石,1,0,53,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,733,累计190钻精选抽卡{0}次,1,0,28,1,100,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,733,累计190钻精选抽卡{0}次,1,0,34,1,6,17,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,733,累计190钻精选抽卡{0}次,1,0,53,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,733,累计190钻精选抽卡{0}次,1,0,29,1,130,16,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,734,充值达到{0}钻石,1,0,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,735,累计60钻抽卡{0}次,1,0,19,1,10,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,735,累计60钻抽卡{0}次,1,0,34,1,2,29,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,735,累计60钻抽卡{0}次,1,0,18,1,80,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,735,累计60钻抽卡{0}次,1,0,29,1,50,16,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,736,充值达到{0}钻石,1,0,26,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,737,累计190钻精选抽卡{0}次,1,0,28,1,100,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,737,累计190钻精选抽卡{0}次,1,0,34,1,4,17,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,737,累计190钻精选抽卡{0}次,1,0,18,1,50,29,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,737,累计190钻精选抽卡{0}次,1,0,16,1,100,2,1,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,738,消耗达到{0}钻石,1,0,29,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,739,累计登录达到{0}天,1,0,2,1,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,739,累计登录达到{0}天,1,0,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,739,累计登录达到{0}天,1,0,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,739,累计登录达到{0}天,1,0,1,246 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,739,累计登录达到{0}天,1,0,1,11 1 0,1,1,341 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,740,充值达到{0}钻石,1,0,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,741,累计60钻抽卡{0}次,1,0,19,1,10,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,741,累计60钻抽卡{0}次,1,0,34,1,2,18,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,741,累计60钻抽卡{0}次,1,0,17,1,60,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,741,累计60钻抽卡{0}次,1,0,53,1,10,16,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,742,消耗达到{0}钻石,1,0,23,1,5,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,743,充值达到{0}钻石,1,0,26,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,744,累计190钻精选抽卡{0}次,1,0,19,1,40,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,744,累计190钻精选抽卡{0}次,1,0,34,1,4,18,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,744,累计190钻精选抽卡{0}次,1,0,29,1,60,17,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,744,累计190钻精选抽卡{0}次,1,0,16,1,100,23,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,745,充值达到{0}钻石,1,0,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,746,累计60钻抽卡{0}次,1,0,18,1,10,19,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,746,累计60钻抽卡{0}次,1,0,33,1,10,17,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,746,累计60钻抽卡{0}次,1,0,28,1,100,29,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,746,累计60钻抽卡{0}次,1,0,53,1,10,16,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,747,消耗达到{0}钻石,1,0,23,1,5,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,748,累计190钻精选抽卡{0}次,1,0,19,1,40,28,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,748,累计190钻精选抽卡{0}次,1,0,34,1,4,17,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,748,累计190钻精选抽卡{0}次,1,0,29,1,50,18,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,748,累计190钻精选抽卡{0}次,1,0,16,1,90,23,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,749,充值达到{0}钻石,1,0,26,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,750,消耗达到{0}钻石,1,0,23,1,5,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,751,累计登录达到{0}天,1,0,2,1,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,751,累计登录达到{0}天,1,0,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,751,累计登录达到{0}天,1,0,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,751,累计登录达到{0}天,1,0,1,59 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,751,累计登录达到{0}天,1,0,1,13 1 0,1,1,336 1 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,752,累计60钻抽卡{0}次,1,0,18,1,10,19,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,752,累计60钻抽卡{0}次,1,0,28,1,70,18,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,752,累计60钻抽卡{0}次,1,0,17,1,50,29,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,752,累计60钻抽卡{0}次,1,0,23,1,30,16,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,753,累计消耗达到{0}钻石,1,0,18,1,10,2,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,753,累计消耗达到{0}钻石,1,0,19,1,60,27,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
