序号,活动id,档位描述,发放模式|0选择|1全发,奖励1参数1,奖励1参数2,奖励1参数3
id,iActivityId,strDesc,iRewardType,nGood1Type,sGood1Param,nGood1Count
int,int,string,int,int,string,int
1,1000,每充值达到{0}钻,0,1,1 1 0,1
2,1000,每充值达到{0}钻,0,1,2 1 0,1
3,1000,每充值达到{0}钻,0,1,3 1 0,1
4,1000,每充值达到{0}钻,0,1,4 1 0,1
5,1000,每充值达到{0}钻,0,1,5 1 0,1
6,1000,每充值达到{0}钻,0,1,6 1 0,1
7,1000,每充值达到{0}钻,0,1,7 1 0,1
8,1000,每充值达到{0}钻,0,1,8 1 0,1
9,1000,每充值达到{0}钻,0,1,9 1 0,1
10,1000,每充值达到{0}钻,0,1,10 1 0,1
11,1000,每充值达到{0}钻,0,1,11 1 0,1
12,1000,每充值达到{0}钻,0,1,14 1 0,1
13,1000,每充值达到{0}钻,0,1,18 1 0,1
14,1000,每充值达到{0}钻,0,1,19 1 0,1
15,1000,每充值达到{0}钻,0,1,21 1 0,1
16,1000,每充值达到{0}钻,0,1,28 1 0,1
17,1000,每充值达到{0}钻,0,1,34 1 0,1
18,1000,每充值达到{0}钻,0,1,254 1 0,1
19,1000,每充值达到{0}钻,0,1,255 1 0,1
20,1000,每充值达到{0}钻,0,1,258 1 0,1
21,1000,每充值达到{0}钻,0,1,259 1 0,1
22,1000,每充值达到{0}钻,0,1,262 1 0,1
23,1000,每充值达到{0}钻,0,1,263 1 0,1
24,1000,每充值达到{0}钻,0,1,266 1 0,1
25,1000,每充值达到{0}钻,0,1,267 1 0,1
26,1000,每充值达到{0}钻,0,1,270 1 0,1
27,1000,每充值达到{0}钻,0,1,271 1 0,1
28,1000,每充值达到{0}钻,0,1,274 1 0,1
29,1000,每充值达到{0}钻,0,1,275 1 0,1
30,1000,每充值达到{0}钻,0,1,283 1 0,1
31,1000,每充值达到{0}钻,0,1,284 1 0,1
32,1000,每充值达到{0}钻,0,1,287 1 0,1
33,1000,每充值达到{0}钻,0,1,288 1 0,1
34,1000,每充值达到{0}钻,0,1,291 1 0,1
35,1000,每充值达到{0}钻,0,1,292 1 0,1
36,1000,每充值达到{0}钻,0,1,295 1 0,1
37,1000,每充值达到{0}钻,0,1,296 1 0,1
38,1000,每充值达到{0}钻,0,1,303 1 0,1
39,1000,每充值达到{0}钻,0,1,304 1 0,1
40,1000,每充值达到{0}钻,0,1,307 1 0,1
41,1000,每充值达到{0}钻,0,1,308 1 0,1
42,1000,每充值达到{0}钻,0,1,311 1 0,1
43,1000,每充值达到{0}钻,0,1,312 1 0,1
44,1000,每充值达到{0}钻,0,1,318 1 0,1
45,1000,每充值达到{0}钻,0,1,319 1 0,1
46,1000,每充值达到{0}钻,0,1,322 1 0,1
47,1000,每充值达到{0}钻,0,1,323 1 0,1
48,1000,每充值达到{0}钻,0,1,329 1 0,1
49,1000,每充值达到{0}钻,0,1,330 1 0,1
50,1000,每充值达到{0}钻,0,1,336 1 0,1
51,1000,每充值达到{0}钻,0,1,337 1 0,1
