序号|战法,活动类型(),排序索引,开启时间,活动持续时间（单位分钟）,关闭时间,时间参数,默认标题,跳转按钮文字（若为空，不显示跳转按钮）,跳转UI（0，不跳转| 11，充值界面| 1，推图界面| 14，抽卡界面| 24，竞技场| 6，卡册界面| 67，征讨| 9，封地| 17，活动界面|40，排行榜）,是否存储数,进行服务器ID,活动图标,活动背景图片,战力限制,未登陆时长[天],累计充值数额,整形参数1,整形参数2,整形参数3,整形参数4,整形参数5,整形参数6,整形参数7,整形参数8,整形参数9,整形参数10,整形参数11,字符串参数1,字符串参数2,字符串参数3,字符串参数4,字符串参数5,字符串参数6,提示信息,自动补发邮件ID
id,nType,nSortID,strOpenTime,iHoldTime,strCloseTime,strDefaultTimeDes,strDefaultTitle,strBtnText,strUIIndex,bCacheData,strServerID,strMiniPic,strGBBasePic,nZhanLiLimited,nAFKDays,nTotalRecharge,nParam1,nParam2,nParam3,nParam4,nParam5,nParam6,nParam7,nParam8,nParam9,nParam10,nParam11,strParam1,strParam2,strParam3,strParam4,strParam5,strParam6,strTip,nAutoMailID
int,int,int,string,int,string,string,string,string,string,bool,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,string,string,string,string,string,string,int
1,18,7,0|0|0|6-7|20|0,75,0|0|0|6-7|21|15,20:00-21:15,大乱斗！,参加,0,0,0,Icon701_Tex,activity_fight_tex,20700,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,与全区全服的玩家共同加入一场10V10的大乱斗！\n可获得：荣誉值（用于兑换高级战器）,200000
36,7,1000,2013|1|19|0|0|0,4209119,2021|1|19|0|23|59,即日起,呼朋唤友,参加,17,0,0,Banner_Activity01_Tex,activity_diamond_tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
100,4,80800,2018|4|3|0|0|0,44100,2018|5|3|0|15|0,,版本更新 传承再减,,0,0,0,Banner_Activity03_Tex,Desc45BBGX_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
101,4,80800,2018|5|10|0|0|0,49860,2018|6|13|0|15|0,,版本更新 传承再减,,0,0,0,Banner_Activity03_Tex,Desc46BBGX_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
102,4,80800,2018|6|22|0|0|0,10980,2018|6|29|0|15|0,,洗炼概率大提升,,0,0,0,Banner_Activity03_Tex,DescXLTS_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
103,4,500005,2018|8|22|0|0|0,44160,2018|9|21|0|16|0,传承再减截止9月21日维护前,新版本大放送,,0,0,0,Banner_Activity48BBGX_Tex,Desc48BBGX_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
104,4,500005,2018|10|25|0|0|0,52440,2018|11|30|0|10|0,截止11月30号维护前,版本更新 传承再减,,0,0,0,Banner_Activity10_Tex,Desc49BBGX_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
310,4,80864,2018|4|30|0|0|0,4319,2018|5|2|0|23|59,,天工开物 一扫天下,去充值,11,0,0,Banner_Activity07_Tex,Desc150024_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
311,4,80862,2018|4|30|0|0|0,10079,2018|5|6|0|23|59,,30元惊喜限时大礼,去充值,11,0,0,Banner_Activity08_Tex,Desc150025_Tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,这个活动很好玩,200000
