序号|战法,序号|战法,序号|战法,序号|战法,序号|战法,序号|战法,序号|战法,序号|战法,序号|战法,序号|战法,卡片1简单难度关卡1,卡片1简单难度关卡2,卡片1简单难度关卡3,卡片1普通难度关卡1,卡片1普通难度关卡2,卡片1普通难度关卡3,卡片1困难难度关卡1,卡片1困难难度关卡2,卡片1困难难度关卡3,卡片2简单难度关卡1,卡片2简单难度关卡2,卡片2简单难度关卡3,卡片2普通难度关卡1,卡片2普通难度关卡2,卡片2普通难度关卡3,卡片2困难难度关卡1,卡片2困难难度关卡2,卡片2困难难度关卡3,卡片3简单难度关卡1,卡片3简单难度关卡2,卡片3简单难度关卡3,卡片3普通难度关卡1,卡片3普通难度关卡2,卡片3普通难度关卡3,卡片3困难难度关卡1,卡片3困难难度关卡2,卡片3困难难度关卡3,卡片4简单难度关卡1,卡片4简单难度关卡2,卡片4简单难度关卡3,卡片4普通难度关卡1,卡片4普通难度关卡2,卡片4普通难度关卡3,卡片4困难难度关卡1,卡片4困难难度关卡2,卡片4困难难度关卡3,区间1简单百分比,区间1普通百分比,区间1困难百分比,区间2简单百分比,区间2普通百分比,区间2困难百分比,区间3简单百分比,区间3普通百分比,区间3困难百分比
id,groupType,nCardID1,nCardID2,nCardID3,nCardID4,nCardDes1,nCardDes2,nCardDes3,nCardDes4,nCard1_Easy1,nCard1_Easy2,nCard1_Easy3,nCard1_Normal1,nCard1_Normal2,nCard1_Normal3,nCard1_Hard1,nCard1_Hard2,nCard1_Hard3,nCard2_Easy1,nCard2_Easy2,nCard2_Easy3,nCard2_Normal1,nCard2_Normal2,nCard2_Normal3,nCard2_Hard1,nCard2_Hard2,nCard2_Hard3,nCard3_Easy1,nCard3_Easy2,nCard3_Easy3,nCard3_Normal1,nCard3_Normal2,nCard3_Normal3,nCard3_Hard1,nCard3_Hard2,nCard3_Hard3,nCard4_Easy1,nCard4_Easy2,nCard4_Easy3,nCard4_Normal1,nCard4_Normal2,nCard4_Normal3,nCard4_Hard1,nCard4_Hard2,nCard4_Hard3,nSection1_EasyPercent,nSection1_NormalPercent,nSection1_HardPercent,nSection2_EasyPercent,nSection2_NormalPercent,nSection2_HardPercent,nSection3_EasyPercent,nSection3_NormalPercent,nSection3_HardPercent
int,int,int,int,int,int,string,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,1,52,17,55,20,群雄卡组中的君主卡，群雄的强力发动机。,魏国少有的暴力弓，卓越的属性堪称魏国第一弓兵。,群体治疗外加智力的技能，能让鲁肃成为弱智卡组对抗杀伤的最有效手段。,吴国的郡主自然是对弓系的全体强化，如果想打混势力弓兵必不可少。,205201,205204,205207,205202,205205,205208,205203,205206,205209,201701,201704,201707,201702,201705,201708,201703,201706,201709,205501,205504,205507,205502,205505,205508,205503,205506,205509,202001,202004,202007,202002,202005,202008,202003,202006,202009,6,8,12,6,8,12,8,10,16
2,1,67,16,12,203,诸葛亮的夫人，有着不输给夫君的范围落雷伤害。,既能为魏势力部队强化又能加血，不愧是魏武之柱。,火烧连营外加减速，千军万马也休想近身。,一曲断肠悲歌，哭瞎敌方全体枪兵。,206701,206704,206707,206702,206705,206708,206703,206706,206709,201601,201604,201607,201602,201605,201608,201603,201606,201609,201201,201204,201207,201202,201205,201208,201203,201206,201209,220301,220304,220307,220302,220305,220308,220303,220306,220309,6,8,12,6,8,12,8,10,16
3,1,49,16,17,77,魏国五金骑卡组不可缺少的一员，足够灵活而且带有强大的冲锋能力。,既能为魏势力部队强化又能加血，不愧是魏武之柱。,魏国少有的暴力弓，卓越的属性堪称魏国第一弓兵。,魏国美人，整个游戏最强的单体杀伤技。,204901,204904,204907,204902,204905,204908,204903,204906,204909,201601,201604,201607,201602,201605,201608,201603,201606,201609,201701,201704,201707,201702,201705,201708,201703,201706,201709,207701,207704,207707,207702,207705,207708,207703,207706,207709,6,8,12,6,8,12,8,10,16
4,1,61,49,26,24,敢包围孟获大王的人都会后悔，孟获的大王的烈焰会让他们知道什么是丛林的法则。,魏国五金骑卡组不可缺少的一员，足够灵活而且带有强大的冲锋能力。,侠义之风的凌统可以给他人大幅强化，自身能力够强而且绝世好辅助。,蜀国弓的巅峰，提供极强的火力输出。,206101,206104,206107,206102,206105,206108,206103,206106,206109,204901,204904,204907,204902,204905,204908,204903,204906,204909,202601,202604,202607,202602,202605,202608,202603,202606,202609,202401,202404,202407,202402,202405,202408,202403,202406,202409,6,8,12,6,8,12,8,10,16
5,1,22,69,77,135,刘备三弟，刚猛的暴力枪兵，万夫不当之勇。,吴国大都督，不可或缺的吴国暴力金弓。,魏国美人，整个游戏最强的单体杀伤技。,美艳无双的何太后，冰落的杀伤力不可小视。,202201,202204,202207,202202,202205,202208,202203,202206,202209,206901,206904,206907,206902,206905,206908,206903,206906,206909,207701,207704,207707,207702,207705,207708,207703,207706,207709,213501,213504,213507,213502,213505,213508,213503,213506,213509,6,8,12,6,8,12,8,10,16
6,1,204,26,31,36,吴国的强力治疗，并且在各个阵型中都能发挥作用。,侠义之风的凌统可以给他人大幅强化，自身能力够强而且绝世好辅助。,和典韦同为魏国的强力金枪。,以牺牲智力的方式来换取恐怖的火力输出能力，堪称暴力弓的极意。,220401,220404,220407,220402,220405,220408,220403,220406,220409,202601,202604,202607,202602,202605,202608,202603,202606,202609,203101,203104,203107,203102,203105,203108,203103,203106,203109,203601,203604,203607,203602,203605,203608,203603,203606,203609,6,8,12,6,8,12,8,10,16
7,1,35,44,52,61,暴力枪兵，若是和颜良一起上阵的话，威力更猛。,吕布的女儿，继承了父亲的超高武力和无双技能。,群雄卡组中的君主卡，群雄的强力发动机。,敢包围孟获大王的人都会后悔，孟获的大王的烈焰会让他们知道什么是丛林的法则。,203501,203504,203507,203502,203505,203508,203503,203506,203509,204401,204404,204407,204402,204405,204408,204403,204406,204409,205201,205204,205207,205202,205205,205208,205203,205206,205209,206101,206104,206107,206102,206105,206108,206103,206106,206109,6,8,12,6,8,12,8,10,16
8,1,20,77,204,135,吴国的郡主自然是对弓系的全体强化，如果想打混势力弓兵必不可少。,魏国美人，整个游戏最强的单体杀伤技。,吴国的强力治疗，并且在各个阵型中都能发挥作用,美艳无双的何太后，冰落的杀伤力不可小视。,202001,202004,202007,202002,202005,202008,202003,202006,202009,207701,207704,207707,207702,207705,207708,207703,207706,207709,220401,220404,220407,220402,220405,220408,220403,220406,220409,213501,213504,213507,213502,213505,213508,213503,213506,213509,6,8,12,6,8,12,8,10,16
9,1,13,23,24,67,无瑕马超，蜀国第一骑兵，毫无悬念。,凤雏一向低调，但是他克制一切策士，诸葛周瑜之流见到他就颤抖吧。,蜀国弓的巅峰，提供极强的火力输出。,诸葛亮的夫人，有着不输给夫君的范围落雷伤害。,201301,201304,201307,201302,201305,201308,201303,201306,201309,202301,202304,202307,202302,202305,202308,202303,202306,202309,202401,202404,202407,202402,202405,202408,202403,202406,202409,206701,206704,206707,206702,206705,206708,206703,206706,206709,6,8,12,6,8,12,8,10,16
10,2,50,43,100,118,关羽最有大将风度的儿子，银卡副将随从的极品。,如果玩全魏国又没有曹操，他儿子是个不错的选择。,吴国实用的武力弓兵，朴实好用。,大小姐的骑兵队，那可不是开玩笑的。,303301,303301,303301,303302,303302,303302,303303,303303,303303,304201,304201,304201,304202,304202,304202,304203,304203,304203,303201,303201,303201,303202,303202,303202,303203,303203,303203,305601,305601,305601,305602,305602,305602,305603,305603,305603,16,20,25,16,20,25,20,20,25
11,2,68,207,205,32,单体弱化智力加持续杀伤，克制一切智力将领。,诸葛的小姨子居然也会落雷，我好像明白了什么。,猛男杀手，强力单体弱化，美色当前再猛的汉子也会腿软。,百折不挠，坚韧不屈，强力大肉盾，吴国弓阵的好搭档。,303901,303901,303901,303902,303902,303902,303903,303903,303903,303001,303001,303001,303002,303002,303002,303003,303003,303003,320501,320501,320501,320502,320502,320502,320503,320503,320503,303201,303201,303201,303202,303202,303202,303203,303203,303203,16,20,25,16,20,25,20,20,25
12,2,30,39,87,63,蜀国核心，文武全才，武力智力双效果号令。,抬棺死战，勇猛刚烈的猛将，冲击力极强的骑兵。,吴国优质暴力弓，身为银卡拥有，不俗的输出能力。,骑兵首领，白马义从，骑兵队的好选择。,303001,303001,303001,303002,303002,303002,303003,303003,303003,303901,303901,303901,303902,303902,303902,303903,303903,303903,303201,303201,303201,303202,303202,303202,303203,303203,303203,306301,306301,306301,306302,306302,306302,306303,306303,306303,16,20,25,16,20,25,20,20,25
