序号,组数,行为类型,行为数值[0代表每次都会传入行为次数*兑换积分；非0时则是只有对应值时才可传入兑换积分],兑换积分(0代表积分就是传进来的数值)
id,nGroup,nActionType,nActionValue,nTradeJifen
int,int,int,int,int
1,0,4,0,10
2,0,16,0,50
3,0,8,0,1
4,0,14,0,10
5,0,9,0,5
6,0,10,0,15
7,0,11,0,15
8,0,12,0,15
9,0,13,0,15
10,11,40,0,1
11,11,9,0,3
12,11,10,0,10
13,11,11,0,10
14,11,12,0,10
15,11,13,0,10
16,11,14,0,3
17,11,41,0,15
18,11,42,0,75
19,12,43,0,0
20,13,25,0,0
21,19,18,0,20
22,19,4,0,5
23,19,19,0,2
24,19,5,0,2
25,19,9,0,15
26,19,10,0,40
27,19,11,0,40
28,19,12,0,40
29,19,13,0,40
30,19,7,0,10
31,20,18,0,20
32,20,4,0,5
33,20,19,0,2
34,20,5,0,2
35,20,9,0,15
36,20,10,0,40
37,20,11,0,40
38,20,12,0,40
39,20,13,0,40
40,20,7,0,10
