id,拼图id（必须从1开始）,格子索引,激活消耗资源,激活消耗资源
id,nJigsawId,nCellId,strCost1,strCost2
int,int,int,string,string
1,1,1,103|21|20,NULL
2,1,2,103|21|40,NULL
3,1,3,103|21|70,NULL
4,1,4,103|21|100,NULL
5,1,5,103|21|130,NULL
6,1,6,103|21|160,NULL
7,1,7,103|21|200,NULL
8,1,8,103|21|240,NULL
9,1,9,103|21|280,NULL
10,1,10,103|21|320,NULL
11,1,11,103|21|360,NULL
12,1,12,103|21|420,NULL
13,1,13,103|21|480,NULL
14,1,14,103|21|540,NULL
15,1,15,103|21|600,NULL
16,1,16,103|21|660,NULL
17,1,17,103|21|720,NULL
18,1,18,103|21|780,NULL
19,1,19,103|21|850,NULL
20,1,20,103|21|920,NULL
21,1,21,103|21|1000,NULL
22,1,22,103|21|1080,NULL
23,1,23,103|21|1160,NULL
24,1,24,103|21|1240,NULL
25,1,25,103|21|1320,NULL
26,1,26,103|21|1400,NULL
27,1,27,103|21|1500,NULL
28,1,28,103|21|1600,NULL
29,1,29,103|21|1700,NULL
30,1,30,103|21|1800,NULL
31,1,31,103|21|1900,NULL
32,1,32,103|21|2000,NULL
33,1,33,103|21|2100,NULL
34,1,34,103|21|2200,NULL
35,1,35,103|21|2300,NULL
36,2,1,103|21|20,NULL
37,2,2,103|21|40,NULL
38,2,3,103|21|70,NULL
39,2,4,103|21|100,NULL
40,2,5,103|21|130,NULL
41,2,6,103|21|160,NULL
42,2,7,103|21|200,NULL
43,2,8,103|21|240,NULL
44,2,9,103|21|280,NULL
45,2,10,103|21|320,NULL
46,2,11,103|21|360,NULL
47,2,12,103|21|420,NULL
48,2,13,103|21|480,NULL
49,2,14,103|21|540,NULL
50,2,15,103|21|600,NULL
51,2,16,103|21|660,NULL
52,2,17,103|21|720,NULL
53,2,18,103|21|780,NULL
54,2,19,103|21|850,NULL
55,2,20,103|21|920,NULL
56,2,21,103|21|1000,NULL
57,2,22,103|21|1080,NULL
58,2,23,103|21|1160,NULL
59,2,24,103|21|1240,NULL
60,2,25,103|21|1320,NULL
61,2,26,103|21|1400,NULL
62,2,27,103|21|1500,NULL
63,2,28,103|21|1600,NULL
64,2,29,103|21|1700,NULL
65,2,30,103|21|1800,NULL
66,2,31,103|21|1900,NULL
67,2,32,103|21|2000,NULL
68,2,33,103|21|2100,NULL
69,2,34,103|21|2200,NULL
70,2,35,103|21|2300,NULL
71,3,1,103|21|20,NULL
72,3,2,103|21|40,NULL
73,3,3,103|21|70,NULL
74,3,4,103|21|100,NULL
75,3,5,103|21|130,NULL
76,3,6,103|21|160,NULL
77,3,7,103|21|200,NULL
78,3,8,103|21|240,NULL
79,3,9,103|21|280,NULL
80,3,10,103|21|320,NULL
81,3,11,103|21|360,NULL
82,3,12,103|21|420,NULL
83,3,13,103|21|480,NULL
84,3,14,103|21|540,NULL
85,3,15,103|21|600,NULL
86,3,16,103|21|660,NULL
87,3,17,103|21|720,NULL
88,3,18,103|21|780,NULL
89,3,19,103|21|850,NULL
90,3,20,103|21|920,NULL
91,3,21,103|21|1000,NULL
92,3,22,103|21|1080,NULL
93,3,23,103|21|1160,NULL
94,3,24,103|21|1240,NULL
95,3,25,103|21|1320,NULL
96,3,26,103|21|1400,NULL
97,3,27,103|21|1500,NULL
98,3,28,103|21|1600,NULL
99,3,29,103|21|1700,NULL
100,3,30,103|21|1800,NULL
101,3,31,103|21|1900,NULL
102,3,32,103|21|2000,NULL
103,3,33,103|21|2100,NULL
104,3,34,103|21|2200,NULL
105,3,35,103|21|2300,NULL
