编号,年,月份,日期,奖励邮件
id,nYear,nMonth,nDate,nMailID
int,int,int,int,int
1,2017,4,29,8001
2,2017,4,30,8001
3,2017,5,1,8001
4,2017,5,2,8001
5,2017,5,18,8002
6,2017,5,19,8002
7,2017,5,20,8002
8,2017,6,29,8003
9,2017,6,30,8003
10,2017,7,1,8003
11,2017,7,2,8003
12,2017,8,17,8004
13,2017,8,18,8004
14,2017,8,19,8004
15,2017,8,20,8004
16,2017,10,1,1528
17,2017,11,25,8005
18,2017,11,26,8005
19,2017,11,27,8005
20,2018,2,3,8007
21,2018,2,4,8007
22,2018,2,5,8007
23,2018,3,8,1529
24,2018,4,4,8008
25,2018,4,5,8008
26,2018,4,6,8008
27,2018,5,11,8009
28,2018,5,12,8009
29,2018,5,13,8009
30,2018,10,25,8011
31,2018,10,26,8011
32,2018,10,27,8011
