活动ID,提示框标题,提示框内容
id,strMsgTitle,strMsgText
int,string,string
100001,活动通知,收到荆州城管局的来信
230901,活动通知,收到武将擂台组委会的来信
230902,活动通知,收到武将擂台组委会的来信
230903,活动通知,收到武将擂台组委会的来信
231001,活动通知,收到武将擂台组委会的来信
231002,活动通知,收到武将擂台组委会的来信
231003,活动通知,收到武将擂台组委会的来信
231004,活动通知,收到武将擂台组委会的来信
231005,活动通知,收到武将擂台组委会的来信
231101,活动通知,收到武将擂台组委会的来信
231102,活动通知,收到武将擂台组委会的来信
231103,活动通知,收到武将擂台组委会的来信
231104,活动通知,收到武将擂台组委会的来信
331001,活动通知,收到三国军校的来信
331002,活动通知,收到三国军校的来信
331003,活动通知,收到三国军校的来信
331004,活动通知,收到三国军校的来信
331005,活动通知,收到三国军校的来信
331006,活动通知,收到三国军校的来信
331007,活动通知,收到三国军校的来信
331008,活动通知,收到三国军校的来信
331009,活动通知,收到三国军校的来信
331101,活动通知,收到三国军校的来信
331102,活动通知,收到三国军校的来信
331103,活动通知,收到三国军校的来信
331104,活动通知,收到三国军校的来信
331105,活动通知,收到三国军校的来信
331106,活动通知,收到三国军校的来信
331107,活动通知,收到三国军校的来信
331108,活动通知,收到三国军校的来信
331109,活动通知,收到三国军校的来信
