活动ID,活动类型,活动文本,活动图片,落款,头像
id,nActivityType,strText,strTexture,strName,strHead
int,int,string,string,string,string
100001,1,主公，西域富商正在城内肆虐！！他们携带了大量的卡魂，快去带兵剿灭他们吧！！,qy_small_background,荆州城管局,UITexture/card_list/scard3001
230901,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
230902,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
230903,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
231001,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
231002,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
231003,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
231004,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
231005,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
231101,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
231102,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
231103,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
231104,1,主公，武将擂台正在进行中！！金卡武将等着你的挑战！快去参加吧~,qy_small_background,武将擂台组委会,UITexture/card_list/scard3
331001,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331002,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331003,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331004,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331005,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331006,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331007,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331008,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331009,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331101,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331102,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331103,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331104,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331105,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331106,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331107,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331108,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
331109,1,主公，军校擂台正在进行中！！银卡武将等着你的挑战！快去参加吧~ ,qy_small_background,三国军校,UITexture/card_list/scard205
