序号|战力等级,开始关卡,结束关卡,奖励加成
id,nStart,nEnd,fExtra
int,int,int,float
0,100011,100013,2
1,100011,100013,2
2,100011,100013,2
3,100011,100013,2
4,100011,100013,2
5,100011,100013,2
6,100011,100013,2
7,100011,100013,2
8,100021,100023,2.1
9,100031,100033,2.2
10,100031,100033,2.25
11,100041,100043,2.3
12,100041,100043,2.35
13,100051,100053,2.4
14,100051,100053,2.45
15,100061,100063,2.5
16,100061,100063,2.55
17,100071,100073,2.6
18,100071,100073,2.65
19,100081,100083,2.7
20,100081,100083,2.75
21,100091,100093,2.8
22,100091,100093,2.85
23,100101,100103,2.9
24,100101,100103,3
25,100111,100113,3.15
26,100111,100113,3.3
27,100121,100123,3.5
28,100121,100123,3.7
29,100131,100133,3.8
30,100131,100133,3.9
31,100141,100143,4
32,100141,100143,4.05
33,100141,100143,4.1
34,100141,100143,4.16
35,100141,100143,4.22
36,100141,100143,4.28
37,100141,100143,4.34
38,100141,100143,4.36
39,100141,100143,4.38
40,100141,100143,4.4
41,100141,100143,4.42
42,100141,100143,4.44
43,100141,100143,4.46
44,100141,100143,4.48
45,100141,100143,4.5
46,100141,100143,4.52
47,100141,100143,4.53
48,100141,100143,4.54
49,100141,100143,4.55
50,100141,100143,4.56
51,100141,100143,4.57
52,100141,100143,4.58
53,100141,100143,4.59
54,100141,100143,4.6
55,100141,100143,5
56,100141,100143,5.02
57,100141,100143,5.04
58,100141,100143,5.06
59,100141,100143,5.08
60,100141,100143,5.1
61,100141,100143,5.12
62,100141,100143,5.14
63,100141,100143,5.16
64,100141,100143,4.75
65,100141,100143,4.75
66,100141,100143,4.75
67,100141,100143,4.75
