序号,命令,参数格式,功能描述
id,strCommand,strFormat,strDesc
int,string,string,string
1,setservertime,[i-year][i-mon][i-day][i-hour][i-min][i-sec],设置服务器时间并上线
2,repeat_setservertime,[i-year][i-mon][i-day][i-hour][i-min][i-sec][i-repeattimes],连续设置服务器时间并上线
3,setservertime_without_login,[i-year][i-mon][i-day][i-hour][i-min][i-sec],仅设置服务器时间
4,getservertime,,显示服务器时间
5,list_activity,,列出开启的活动
6,check_activity_status,[i-activityid],所处活动的档位状态
7,check_csvactivity,[i-activityid],查看活动信息
8,addmoney,[i-amount],充值钻石
9,openzhanli,[i-zhanli],开启战力
10,check_accumulation_rewards,[i-activityid],显示累积活动各档位奖励
11,obtain_accumulation_reward,[i-activityid][i-step][i-rewardindex],领取累积活动某档位某项奖励
12,check_junling,[s-levelID],关卡消耗军令(参数用“|”分隔关卡ID)
13,addrecharge,[s-platform][i-rechargestep],商店充值(platform可填“91”或“pp”渠道，或填写渠道ID，填“0”则默认取CSVShopMoney第一组渠道，rechargestep为商店档位)
14,check_recharge,,查看商店钻石充值档位信息
