序号,触发类型(1时间2战力3卡片4剧情),触发参数（0时间）,大小(1大2中3小),奇遇ID,事件标题,事件文本
id,nTriggerType,nTriggerValue,nSize,nSizeID,strTitle,strText
int,int,int,int,int,string,string
1,3,199,3,1,吕布暴走社,收到了吕布崇拜者的来信
2,3,202,3,2,最爱赵云少女会,收到了赵云崇拜者的来信
3,3,198,3,3,关圣义气团,收到了关羽崇拜者的来信
4,3,200,3,4,美周郎痴迷社,收到了周瑜崇拜者的来信
5,3,201,3,5,张文远后援会,收到了张辽崇拜者的来信
6,3,129,3,6,研发团队致信,收到了火溶科技的来信
7,3,131,3,7,研发团队致信,收到了火溶科技的来信
8,3,134,3,8,研发团队致信,收到了火溶科技的来信
9,3,167,3,9,胡乱炖,收到蛮族来信
10,3,191,3,10,兄弟情深,收到了袁绍的来信
11,3,175,3,11,张角神意,收到了张角的来信
12,3,54,3,12,赵回春,收到了西安回春堂的来信
13,3,65,3,13,战争历史研究会,收到了战争历史研究会的来信
14,3,135,3,14,老鸨杨翠花,收到了洛阳怡红楼的来信
15,3,90,3,15,武神之女,收到了关羽的来信
16,3,67,3,16,女子科技会,收到了女子科技会的来信
17,3,52,3,17,兄弟情薄,收到了袁术的来信
18,3,39,3,18,喜德之情,收到了火溶科技的来信
19,3,38,3,19,小桃红,收到了洛阳怡红楼的来信
20,3,29,3,20,诸葛武侯,收到了诸葛亮的来信
21,3,30,3,21,雷神崇拜者,收到自然力量协会的来信
22,3,31,3,22,新野健身俱乐部,收到健身俱乐部的来信
23,3,1,3,23,请愿书,收到了万民请愿书
24,3,2,3,24,武神之子,收到了关平的来信
25,3,3,3,25,赵半仙,收到麻衣神相算命社的密信
26,3,4,3,26,五虎外将,收到了魏延的来信
27,3,5,3,27,爱夫之心,收到了张春华的来信
28,3,6,3,28,深红胡子,收到了红胡子兄弟会的来信
29,3,7,3,29,刘大夫,收到爱眼健康协会的来信
30,3,8,3,30,白纯纯,收到荆州爱护动物组织的来信
31,3,9,3,31,江万民,收到江东万民书
32,3,10,3,32,吴地商会,因为得到周瑜主公的威名上升
33,3,11,3,33,吴地商会,因为得到了孙策主公的威名上升
34,3,12,3,34,蜀国战争孤儿协会,蜀国战争孤儿协会发来抗议
35,3,13,3,35,玄德爱将,收到刘备的来信
36,3,14,3,36,董相国令,收到了董卓的来信
37,3,15,3,37,商丘武将学校,因为得到猛将典韦主公威名上升
38,3,16,3,38,神秘人,收到了神秘人的来信
39,3,17,3,39,陈考官,收到了武将考察学院的来信
40,3,18,3,40,玄德之恨,收到了曹操的来信
41,3,19,3,41,万民书,因为得到了吕布而威名大振
42,3,20,3,42,自强团长上,收到女子自强团的来信
43,3,21,3,43,义父之恨,收到了吕布的来信
44,3,22,3,44,陈大桥,新野桥梁建筑协会发来抗议
45,3,25,3,45,王瑞,洛阳瑞华轩老板来信
46,2,8000,3,50,荆州富商,有个荆州的富商前来投奔
47,3,210,3,52,荆州富商,主公大人获得了荆州富商联盟的支持
48,3,74,3,56,吴地商会,收到了吴地商会的来信
49,3,46,3,57,吴地商会,收到了吴地商会的来信
50,3,34,3,58,请让我跟随您,收到了貂蝉爱慕者的来信
51,3,23,3,59,颜控去死去死团,收到了奇怪组织的来信
52,3,24,3,60,南阳射箭部,收到了南阳射箭部的来信
53,3,26,3,61,甘宁,收到了甘宁的来信
54,3,27,3,62,身体不佳,收到了贾诩的来信
55,3,28,3,63,张鲁,因为得到了张角，五斗米道教似乎对您有些不满
56,3,36,3,64,凌统,收到了凌统的来信
57,3,44,3,65,保护妹妹协会,收到了保护妹妹协会的来信
58,3,32,3,66,人类极限研究会,收到了人类极限研究会的报告
59,3,59,3,68,好基友一辈子,收到了文丑的来信
60,3,40,3,69,村落祭祀,因为得到了祝融夫人引起了南部某村落的不满
61,3,43,3,70,司马懿,收到了司马懿的信和一串葡萄
62,3,55,3,71,周瑜,好基友一辈子
63,3,57,3,72,请转交黄盖大人,收到了一个写着黄盖名字的包裹
64,3,60,3,73,汉献帝,收到了汉献帝的口谕
65,3,69,3,74,我的宿敌,因为得到了吕蒙，关羽寄来了一封信
66,3,77,3,75,洛水之神,因为得到了甄姬主公的人气上升
67,3,80,3,76,女王梦想,收到了郭永的来信
68,3,85,3,77,上将潘凤应援组,因为得到了潘凤而获得了上将应援组的支持
69,3,105,3,78,爱慕之心,据说是曹植的爱慕者送来的信
70,3,114,3,79,开封菜,收到了洛阳名店开封菜的来信
71,2,5000,2,24,挑战状,隔壁主公发来的挑战状
72,2,2000,3,97,坚定的腿毛,收到了慕名武将的来信
73,2,10000,2,25,威名远扬,收到了火溶科技的来信
74,1,0,3,122,还是拾金不昧,又收到了铁蛋的来信
75,1,0,3,128,霸气的香香,收到了女子自强团的来信
76,1,0,3,124,武学奇才,收到了荆州居民的投诉信
77,1,0,3,125,树洞,捡到了遗落在树洞旁的包裹
78,1,0,2,43,好运气,收到了新野居民送来的锦鲤
79,1,0,2,44,强行募捐,路边偶遇志愿者
80,1,0,2,52,科技会两周年,收到了女子科技会的宣传海报
81,1,0,2,53,民兵招募,招募到了一个富商
82,4,68,2,5,新兴起的主公,最新一期的三国Times杂志到了
83,4,155,3,51,兵种科技,兵种科技研发部正在筹备中
84,4,172,2,6,屡战屡胜,荆州时报报道了您的事迹
85,4,194,2,7,决战在即,即将迎战张角成为热门话题
86,4,241,3,54,封地百姓请命,收到了汉中封地老农的来信
87,4,252,3,55,敢欺负董白大小姐,收到了西凉萝莉控的来信
88,4,350,3,67,富商的支持,主公的事迹在荆州富商联盟中流传
89,4,392,3,80,邀请函,敢来参加挑战关卡吗？
90,4,451,3,81,你完蛋了！,收到了董卓的来信
