序号,信息文本,图片,奖励类型(1卡片2卡魂3军令4星星),奖励值
id,strMsgText,strSprite,nRewardType,nRewardValue
int,string,string,int,int
1,咱家地里的水仙花开了啊，乡亲们想着您，给您送来了几棵长的最好的水仙花,UI/Adventure/bg1_adventure_Tex,2,1000
2,主公提议的先扔5头猪，等狼吃撑再抓的妙计，一举擒获了那只在村里猖獗多时的恶狼。村东屠夫特来答谢！,UI/Adventure/bg1_adventure_Tex,2,100
3,主公，村口的戏台真是太好了，有了这个戏台子，我们这帮票友可开心了。但是为毛只有戏台么有唱戏班子来捏？不管怎么样，还是感谢主公的大戏台子。,UI/Adventure/bg1_adventure_Tex,3,10
4,主公哇，今年年头不错啊，田里的韭菜都丰收了。我们韭菜多的吃不完，特意包了几百斤的韭菜猪肉水饺给您送来了。,UI/Adventure/bg1_adventure_Tex,3,10
5,年轻的主公加入了这个乱世，带领着他的新武将卡开启了属于英雄的征程。我们期待他的表现。,UI/Adventure/bg2_adventure_Tex,2,300
6,年轻的主公连续的战胜了黄巾军，近日他将黄巾军的重要领袖张宝打跑，让荆州地区的治安有明显的上升。但是黄金军首领张角对此大为恼火，主公要如何应对，让我们拭目以待。,UI/Adventure/bg3_adventure_Tex,3,5
7,主公大人，您即将和张角军迎来决战的消息，已经成为荆州人民午饭闲谈最受欢迎的话题。荆州商会送来了对您的资助，希望您可以早日清除黄巾军。,UI/Adventure/bg1_adventure_Tex,2,500
8,残酷！残忍！残暴！惨烈！董贼烧我都城，使昔日繁华的洛阳城顷刻化为焦土，各地群众纷纷开战游街示威行动，并且表示全力支持讨伐董卓联盟。,UI/Adventure/bg3_adventure_Tex,2,7000
9,天子亲军正式成立！最近主公在新野成立了天子亲军，正式加入了讨伐董卓联盟，我们期待他们的表现！,UI/Adventure/bg2_adventure_Tex,2,2000
10,三国八卦杂志刊登了一副董卓与貂蝉共同游湖的画，引起了民间的强烈讨论。部分群众表示对吕布将军十（xi）分（wen）同（le）情（jian）,UI/Adventure/bg1_adventure_Tex,2,6000
11,袁绍集结的十八路大军即将在长安与董卓进行最终的决战，年轻的天子亲军也在其中！我们期待他能铲除国贼创下新的战功！,UI/Adventure/bg3_adventure_Tex,2,6000
