序号,信息文本,头像,落款,奖励类型(1卡片2卡魂3军令4星星),奖励值
id,strMsgText,strSprite,strSenderName,nRewardType,nRewardValue
int,string,string,string,int,int
1,喂，你这个小子，居然能得到伟大的吕布大人。虽然是还未成年的吕布，但是依然是三国第一勇将。要给我好好的使用他明白么！否则决不饶你。,UITexture/card_list/scard1002,吕布暴走社,3,5
2,亲爱的，听说你得到了少年版的小云云，这个小云云虽然比不上真正的云云勇猛，但是更年轻更加娇嫩哦，请好好对待他。我们姐妹会一直支持你的。,UITexture/card_list/scard1005,最爱赵云少女会,3,5
3,兄弟你好，听说少年版的关羽已经决定追随与你，我们兄弟也决定支持你，有任何可以帮忙的地方，请尽管直说，愿义气与你同在。,UITexture/card_list/scard1001,关圣义气团,3,5
4,哎呀！一想到少年周郎那帅气的脸，我们姐妹就无比的激动，要记得哦周郎才是三国第一帅哥，那个叫子龙的根本比不上。好好对待周郎哦。拜托了。,UITexture/card_list/scard1003,美周郎痴迷社,3,5
5,你可真识货啊，只有张文远才是最有实力的勇将，虽然少年版的张辽还有所欠缺，但是也请多给他机会磨练。一定不会让你失望的。,UITexture/card_list/scard1004,张文远后援会,3,5
6,恭喜你得到了本游戏核心开发人员的卡片。为了能开发出更好玩的啪啪三国，请保持他们心情愉悦，请为他们提供最漂亮的侍女，费用我们来提供，祝你游戏愉快。,UITexture/card_list/scard2026,研发团队上,2,1000
7,恭喜你得到了本游戏核心开发人员的卡片。为了能开发出更好玩的啪啪三国，请保持他们心情愉悦，请为他们提供最漂亮的侍女，费用我们来提供，祝你游戏愉快。,UITexture/card_list/scard2014,研发团队上,2,1000
8,恭喜你得到了本游戏核心开发人员的卡片。为了能开发出更好玩的啪啪三国，请保持他们心情愉悦，请为他们提供最漂亮的侍女，费用我们来提供，祝你游戏愉快。,UITexture/card_list/scard121,研发团队上,2,1000
