等级,奖励类型,奖励类型,赛季奖励,邮件
id,nLevelType,nLevelParam,strNormalReward,strStoneReward
int,int,int,string,string
1,1,1,0 0 0,6500
2,1,2,0 0 0,6501
3,1,3,0 0 0,6501
4,1,4,0 0 0,6501
5,1,5,0 0 0,6501
6,1,6,0 0 0,6502
7,1,7,0 0 0,6502
8,1,8,0 0 0,6502
9,1,9,0 0 0,6502
10,1,10,0 0 0,6502
11,1,11,0 0 0,6503
12,1,12,0 0 0,6503
13,1,13,0 0 0,6503
14,1,14,0 0 0,6503
15,1,15,0 0 0,6503
16,1,16,0 0 0,6503
17,1,17,0 0 0,6503
18,1,18,0 0 0,6503
19,1,19,0 0 0,6503
20,1,20,0 0 0,6503
21,1,21,0 0 0,6504
22,1,22,0 0 0,6504
23,1,23,0 0 0,6504
24,1,24,0 0 0,6504
25,1,25,0 0 0,6504
26,1,26,0 0 0,6504
27,1,27,0 0 0,6504
28,1,28,0 0 0,6504
29,1,29,0 0 0,6504
30,1,30,0 0 0,6504
31,1,31,0 0 0,6504
32,1,32,0 0 0,6504
33,1,33,0 0 0,6504
34,1,34,0 0 0,6504
35,1,35,0 0 0,6504
36,1,36,0 0 0,6504
37,1,37,0 0 0,6504
38,1,38,0 0 0,6504
39,1,39,0 0 0,6504
40,1,40,0 0 0,6504
41,1,41,0 0 0,6504
42,1,42,0 0 0,6504
43,1,43,0 0 0,6504
44,1,44,0 0 0,6504
45,1,45,0 0 0,6504
46,1,46,0 0 0,6504
47,1,47,0 0 0,6504
48,1,48,0 0 0,6504
49,1,49,0 0 0,6504
50,1,50,0 0 0,6504
51,1,51,0 0 0,6505
52,1,52,0 0 0,6505
53,1,53,0 0 0,6505
54,1,54,0 0 0,6505
55,1,55,0 0 0,6505
56,1,56,0 0 0,6505
57,1,57,0 0 0,6505
58,1,58,0 0 0,6505
59,1,59,0 0 0,6505
60,1,60,0 0 0,6505
61,1,61,0 0 0,6505
62,1,62,0 0 0,6505
63,1,63,0 0 0,6505
64,1,64,0 0 0,6505
65,1,65,0 0 0,6505
66,1,66,0 0 0,6505
67,1,67,0 0 0,6505
68,1,68,0 0 0,6505
69,1,69,0 0 0,6505
70,1,70,0 0 0,6505
71,1,71,0 0 0,6505
72,1,72,0 0 0,6505
73,1,73,0 0 0,6505
74,1,74,0 0 0,6505
75,1,75,0 0 0,6505
76,1,76,0 0 0,6505
77,1,77,0 0 0,6505
78,1,78,0 0 0,6505
79,1,79,0 0 0,6505
80,1,80,0 0 0,6505
81,1,81,0 0 0,6505
82,1,82,0 0 0,6505
83,1,83,0 0 0,6505
84,1,84,0 0 0,6505
85,1,85,0 0 0,6505
86,1,86,0 0 0,6505
87,1,87,0 0 0,6505
88,1,88,0 0 0,6505
89,1,89,0 0 0,6505
90,1,90,0 0 0,6505
91,1,91,0 0 0,6505
92,1,92,0 0 0,6505
93,1,93,0 0 0,6505
94,1,94,0 0 0,6505
95,1,95,0 0 0,6505
96,1,96,0 0 0,6505
97,1,97,0 0 0,6505
98,1,98,0 0 0,6505
99,1,99,0 0 0,6505
100,1,100,0 0 0,6505
101,2,1,0 0 0,6506
102,2,2,0 0 0,6506
103,2,3,0 0 0,6506
104,2,4,0 0 0,6507
105,2,5,0 0 0,6507
106,2,6,0 0 0,6507
107,2,7,0 0 0,6508
108,2,8,0 0 0,6508
109,2,9,0 0 0,6508
110,2,10,0 0 0,6509
111,2,11,0 0 0,6509
112,2,12,0 0 0,6509
113,2,13,0 0 0,6510
