奖励id,奖励类型,奖励条件名称,赛季奖励1,赛季奖励2,赛季奖励3,赛季奖励4,赛季奖励5
id,nType,strTitleName,strReward1,strReward2,strReward3,strReward4,strReward5
int,int,string,string,string,string,string,string
1,1,第1名,55|1|300,28|1|200,26|1|10,24|1|6,29|1|8
2,1,第2名-第5名,55|1|200,28|1|100,26|1|8,24|1|5,29|1|4
3,1,第6名-第10名,55|1|150,28|1|80,26|1|7,24|1|5,29|1|2
4,1,第11名-第20名,55|1|100,28|1|60,26|1|5,24|1|4,29|1|1
5,1,第21名-第50名,55|1|80,null,26|1|3,24|1|3,null
6,1,第51名-第100名,55|1|50,null,26|1|2,24|1|1,null
7,2,至尊段位,13|1|150,23|1|7,null,null,null
8,2,大师段位,13|1|110,23|1|5,null,null,null
9,2,黄金段位,13|1|80,23|1|3,null,null,null
10,2,白银段位,13|1|60,null,null,null,null
11,2,青铜段位,13|1|50,null,null,null,null
