序号,掉落包ID,属性ID,几率
id,nEntry,nItemID,fChance
int,int,int,float
1,101,1001,1
2,102,1001,0.9
3,103,1001,0.6
4,103,1003,0.2
5,104,1001,0.5
6,104,1003,0.3
7,105,1001,0.4
8,105,1003,0.4
9,106,1001,0.4
10,106,1003,0.4
11,201,1001,0.3
12,201,1003,0.35
13,202,1001,0.2
14,202,1003,0.25
15,202,1005,0.2
16,203,1001,0.2
17,203,1003,0.25
18,203,1005,0.2
19,204,1001,0.2
20,204,1003,0.25
21,204,1005,0.2
22,205,1001,0.2
23,205,1003,0.21
24,205,1005,0.12
25,205,1006,0.12
26,206,1001,0.2
27,206,1003,0.21
28,206,1005,0.12
29,206,1006,0.12
30,207,1001,0.2
31,207,1003,0.21
32,207,1005,0.12
33,207,1006,0.12
34,208,1001,0.2
35,208,1003,0.21
36,208,1005,0.12
37,208,1006,0.12
38,209,1001,0.2
39,209,1003,0.21
40,209,1005,0.12
41,209,1006,0.12
42,210,1001,0.2
43,210,1003,0.21
44,210,1005,0.12
45,210,1006,0.12
46,211,1001,0.11
47,211,1003,0.11
48,211,1002,0.11
49,211,1004,0.11
50,211,1005,0.1
51,211,1006,0.11
52,301,1001,0.08
53,301,1003,0.08
54,301,1002,0.09
55,301,1004,0.09
56,301,1005,0.08
57,301,1006,0.08
58,302,1001,0.08
59,302,1003,0.08
60,302,1002,0.09
61,302,1004,0.09
62,302,1005,0.08
63,302,1006,0.08
64,303,1001,0.08
65,303,1003,0.08
66,303,1002,0.09
67,303,1004,0.09
68,303,1005,0.08
69,303,1006,0.08
70,304,1001,0.08
71,304,1003,0.08
72,304,1002,0.09
73,304,1004,0.09
74,304,1005,0.08
75,304,1006,0.08
76,305,1001,0.08
77,305,1003,0.08
78,305,1002,0.09
79,305,1004,0.09
80,305,1005,0.08
81,305,1006,0.08
82,306,1001,0.08
83,306,1003,0.08
84,306,1002,0.09
85,306,1004,0.09
86,306,1005,0.08
87,306,1006,0.08
88,307,1001,0.08
89,307,1003,0.08
90,307,1002,0.09
91,307,1004,0.09
92,307,1005,0.08
93,307,1006,0.08
94,308,1001,0.08
95,308,1003,0.08
96,308,1002,0.09
97,308,1004,0.09
98,308,1005,0.08
99,308,1006,0.08
100,309,1001,0.08
101,309,1003,0.08
102,309,1002,0.09
103,309,1004,0.09
104,309,1005,0.08
105,309,1006,0.08
106,310,1001,0.08
107,310,1003,0.08
108,310,1002,0.09
109,310,1004,0.09
110,310,1005,0.08
111,310,1006,0.08
112,311,1001,0.08
113,311,1003,0.08
114,311,1002,0.09
115,311,1004,0.09
116,311,1005,0.08
117,311,1006,0.08
118,312,1001,0.08
119,312,1003,0.08
120,312,1002,0.09
121,312,1004,0.09
122,312,1005,0.08
123,312,1006,0.08
124,313,1001,0.08
125,313,1003,0.08
126,313,1002,0.09
127,313,1004,0.09
128,313,1005,0.08
129,313,1006,0.08
130,314,1001,0.08
