序号（不超过10000，头像使用1000-4999，头像框使用5000-9999).,名字,解锁条件,索引（0-5主角头像，不超过511）,类型,子类型,分解收益,图片
id,strName,strOpenDesc,nIndex,nType,nSubType,strDecomposeReward,strAvatar
int,string,string,int,int,int,string,string
0,主角0,,0,1,1,null,UI/Avatar/M1_new_head
1,主角1,,1,1,1,null,UI/Avatar/M2_new_head
2,主角2,,2,1,1,null,UI/Avatar/M3_new_head
3,主角3,,3,1,1,null,UI/Avatar/W1_new_head
4,主角4,,4,1,1,null,UI/Avatar/W2_new_head
5,主角5,,5,1,1,null,UI/Avatar/W3_new_head
5001,乱世英杰,谁能终结，这个乱世？,0,2,1,200|70|10,UI/Avatar/Bg_OutlineBorder01_Tex
5002,绝世无双,跨服竞技场第1档专属奖励,1,2,1,200|70|380,UI/Avatar/Bg_OutlineBorder0x_Tex
5003,天下名将,跨服竞技场第2档奖励,2,2,1,200|70|180,UI/Avatar/Bg_OutlineBorder03_Tex
5004,历战之军,跨服竞技场第3档奖励,3,2,1,200|70|100,UI/Avatar/Bg_OutlineBorder04_Tex
5005,初出茅庐,跨服竞技场第4档奖励,4,2,1,200|70|50,UI/Avatar/Bg_OutlineBorder05_Tex
5006,金辉耀世,巅峰跨服战冠军专属奖励,5,2,1,200|70|500,UI/Avatar/Bg_OutlineBorder06_Tex
5007,鞭炮齐鸣,夏日商店购买,6,2,1,200|70|500,UI/Avatar/Bg_OutlineBorder07_Tex
5008,红枫祝酒,七彩石商店购买,7,2,1,200|70|500,UI/Avatar/Bg_OutlineBorder08_Tex
5011,中秋花影,中秋花影头像限定礼包,8,2,1,200|70|500,UI/Avatar/Bg_OutlineBorder11_Tex
5012,征战天下,讨伐排行榜第1名专属奖励,9,2,1,200|70|100,UI/Avatar/Bg_OutlineBorder12_Tex
5013,同舟共济,庆典商店购买,10,2,1,200|70|500,UI/Avatar/Bg_OutlineBorder14_Tex
