ID,关卡索引,用时(s),掉落包ID,掉落数量
id,nIndex,nTime,nEntry,nDropNum
int,int,int,int,int
1,0,60,12105,2
2,0,120,12104,2
3,0,180,12103,2
4,0,240,12102,2
5,0,99999999,12101,2
6,1,60,12205,2
7,1,120,12204,2
8,1,180,12203,2
9,1,240,12202,2
10,1,99999999,12201,2
11,2,60,12305,2
12,2,120,12304,2
13,2,180,12303,2
14,2,240,12302,2
15,2,99999999,12301,2
16,3,60,12405,2
17,3,120,12404,2
18,3,180,12403,2
19,3,240,12402,2
20,3,99999999,12401,2
21,4,60,12505,2
22,4,120,12504,2
23,4,180,12503,2
24,4,240,12502,2
25,4,99999999,12501,2
26,5,60,12605,2
27,5,120,12604,2
28,5,180,12603,2
29,5,240,12602,2
30,5,99999999,12601,2
31,6,60,12705,2
32,6,120,12704,2
33,6,180,12703,2
34,6,240,12702,2
35,6,99999999,12701,2
36,7,60,12805,2
37,7,120,12804,2
38,7,180,12803,2
39,7,240,12802,2
40,7,99999999,12801,2
41,8,60,12905,2
42,8,120,12904,2
43,8,180,12903,2
44,8,240,12902,2
45,8,99999999,12901,2
46,9,60,13005,2
47,9,120,13004,2
48,9,180,13003,2
49,9,240,13002,2
50,9,99999999,13001,2
