ID(主题ID）,活动效果(被动技能id),Boss名称,Boss图片,登录提示图片（只在新赛季第一次登录时弹出）,登录提示说明
id,nPassive,strBossName,strBossTexPath,strBacgroundPath,strExplain
int,int,string,string,string,string
1,90028,魔君董卓,UI/Bandit/bg_ZhuDui17_Tex,UI/Activity/Bg_Gift02_Tex,
2,90030,焚天陆逊,UI/Bandit/bg_ZhuDui19_Tex,UI/Activity/Bg_Gift02_Tex,
3,90028,魔君董卓,UI/Bandit/bg_ZhuDui17_Tex,UI/Activity/Bg_Gift02_Tex,
4,90030,焚天陆逊,UI/Bandit/bg_ZhuDui19_Tex,UI/Activity/Bg_Gift02_Tex,
5,90031,杰女黄月英,UI/Bandit/bg_ZhuDui18_Tex,UI/Activity/Bg_Gift02_Tex,
6,90029,天妒郭嘉,UI/Bandit/bg_ZhuDui20_Tex,UI/Activity/Bg_Gift02_Tex,
7,90028,魔君董卓,UI/Bandit/bg_ZhuDui17_Tex,UI/Activity/Bg_Gift02_Tex,
8,90030,焚天陆逊,UI/Bandit/bg_ZhuDui19_Tex,UI/Activity/Bg_Gift02_Tex,
9,90031,杰女黄月英,UI/Bandit/bg_ZhuDui18_Tex,UI/Activity/Bg_Gift02_Tex,
10,90029,天妒郭嘉,UI/Bandit/bg_ZhuDui20_Tex,UI/Activity/Bg_Gift02_Tex,
11,90028,魔君董卓,UI/Bandit/bg_ZhuDui17_Tex,UI/Activity/Bg_Gift02_Tex,
12,90030,焚天陆逊,UI/Bandit/bg_ZhuDui19_Tex,UI/Activity/Bg_Gift02_Tex,
13,90031,杰女黄月英,UI/Bandit/bg_ZhuDui18_Tex,UI/Activity/Bg_Gift02_Tex,
14,90029,天妒郭嘉,UI/Bandit/bg_ZhuDui20_Tex,UI/Activity/Bg_Gift02_Tex,
15,90028,魔君董卓,UI/Bandit/bg_ZhuDui17_Tex,UI/Activity/Bg_Gift02_Tex,
16,90030,焚天陆逊,UI/Bandit/bg_ZhuDui19_Tex,UI/Activity/Bg_Gift02_Tex,
17,90031,杰女黄月英,UI/Bandit/bg_ZhuDui18_Tex,UI/Activity/Bg_Gift02_Tex,
18,90029,天妒郭嘉,UI/Bandit/bg_ZhuDui20_Tex,UI/Activity/Bg_Gift02_Tex,
19,90028,魔君董卓,UI/Bandit/bg_ZhuDui17_Tex,UI/Activity/Bg_Gift02_Tex,
20,90030,焚天陆逊,UI/Bandit/bg_ZhuDui19_Tex,UI/Activity/Bg_Gift02_Tex,
21,90031,杰女黄月英,UI/Bandit/bg_ZhuDui18_Tex,UI/Activity/Bg_Gift02_Tex,
22,90029,天妒郭嘉,UI/Bandit/bg_ZhuDui20_Tex,UI/Activity/Bg_Gift02_Tex,
