id,buff类型,参数1,参数2,参数3,图标名称,描述
id,nType,nParam1,nParam2,nParam3,strIconName,strDesc
int,int,int,int,int,string,string
1,1,1,0,0,UI/WarEquipment/icon_jimoushengming_tex,雨
2,1,2,0,0,UI/WarEquipment/icon_jimoushengming_tex,风
3,1,3,0,0,UI/WarEquipment/icon_jimoushengming_tex,雾
4,1,4,0,0,UI/WarEquipment/icon_jimoushengming_tex,雪
5,4,18,0,0,UI/WarEquipment/icon_jimoushengming_tex,识破
6,4,35,0,0,UI/WarEquipment/icon_jimoushengming_tex,庇护
7,4,39,0,0,UI/WarEquipment/icon_jimoushengming_tex,强攻
8,4,48,0,0,UI/WarEquipment/icon_jimoushengming_tex,承担
9,4,52,0,0,UI/WarEquipment/icon_jimoushengming_tex,洞察
10,2,0,0,0,UI/WarEquipment/icon_jimoushengming_tex,征战疲劳\n全属性降低{0}%!
11,3,0,0,0,UI/WarEquipment/icon_jimoushengming_tex,士气鼓舞\n全属性提高{0}%!
