卡牌id,姓名,索引（不超过511）,不在图鉴显示,稀有程度(0普通2觉醒印3堕天印4富商卡6节日卡7不显示分解提示的材料卡),是否稀有卡,国家 1：魏|2：蜀|3：吴|4：群,品质,品质子类型(eg钻石：1觉醒、2堕天、3第三系、4第四系）,分解索引,兵种 0:枪|1:弓|2:骑,风格 1:勇将|2:将军|3:智将|4:策士|5:强袭勇将|6:统帅将军|7:鬼才智将|8:天命策士,卡片类型(1普通2富商3材料卡(例:天命卡)),可用战器,性别,技能ID,普卡技能,真卡技能,鬼卡技能,神卡技能,被动技能1(-1无效),被动技能2,被动技能3,好友普卡技能,好友真卡技能,好友鬼卡技能,好友神卡技能,武力,智力,兵力,部队互斥ID,联协名称1,联协武将1(-1无效),联协加成1,联协名称2,联协武将2,联协加成2,联协名称3,联协武将3,联协加成3,联协名称4,联协武将4,联协加成4,联协名称5,联协武将5,联协加成5,联协名称6,联协武将6,联协加成6,父卡ID,材料卡ID,第三系升星材料数量,父卡进阶,父卡等级,小图片atlas,小图片sprite,大图片,卡片特效(0无特效1扫光2扰动),技能语音,死亡语音,介绍
id,strName,nIndex,nOnlyAvatar,nUncommon,nRare,nCountry,nQuality,nSubQuality,nDecIndex,nMiliType,nStyle,nType,arrWeaponType,nGender,nSkill,nNormalSkill,nRealSkill,nGhostSkill,nGodSkill,nPassiveSkill1,nPassiveSkill2,nPassiveSkill3,nFriendNormalSkill,nFriendRealSkill,nFriendGhostSkill,nFriendGodSkill,fForce,fIntelligence,fTroops,nTroopID,strCoopName1,nCoopID1,fCoopBonus1,strCoopName2,nCoopID2,fCoopBonus2,strCoopName3,nCoopID3,fCoopBonus3,strCoopName4,nCoopID4,fCoopBonus4,strCoopName5,nCoopID5,fCoopBonus5,strCoopName6,nCoopID6,fCoopBonus6,nParentID,nMaterialID,nAdvResAmt,nParentLimStage,nParentLimLevel,strAtlas,strSprite,strCard,nEffect,strSkillVoice,strDeathVoice,strDesc
int,string,int,int,int,int,int,int,int,int,int,int,int,int[6],int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,double,string,int,double,string,int,double,string,int,double,string,int,double,string,int,double,int,int,int,int,int,string,string,string,int,string,string,string
1,曹操,1,0,0,1,1,4,0,4,2,2,1,1|2|0|0|0|0,1,10011,10011,10012,10013,10014,1208,508,608,55111,55112,55113,55114,92,96,100,1,贴身护卫,15,0.25,痛惜奉孝,25,0.25,爱将武神,2,0.25,铜雀春深,46,0.25,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard1,card1,0,warrior/1S,warrior/1D,乱世奸雄，三国最佳CEO，文武双全，本游戏综合属性第一高。深爱关羽赵云等名将却没有得到。一生戎马建立魏国却担心口碑不敢称帝，其子曹丕称帝后，追尊其为魏武帝。
2,关羽,2,0,0,1,2,4,0,4,0,1,1,1|0|3|0|0|0,1,20021,20021,20022,20023,20024,1108,1208,-1,56111,56112,56113,56114,98,85,93,2,真龙吾兄,18,0.25,并世双雄,22,0.25,华容之恩,1,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2,card2,0,warrior/2S,warrior/2D,三国第一名将，五虎上将之首，三国三绝之“义绝”。民间尊为关公，又称为武圣，和文圣孔子齐名。牛到极点已经无需形容。
3,诸葛亮,3,0,0,1,2,4,0,4,1,4,1,0|0|0|4|5|0,1,40031,40031,40032,40033,40034,708,508,1208,56411,56412,56413,56414,75,100,99,3,一生宿敌,5,0.25,亮瑜无双,10,0.25,衣钵传人,30,0.2,睿智贤妻,67,0.25,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard3,card3,0,warrior/3S,warrior/3D,蜀国丞相，民众心中三国最高智慧的象征，发明了诸葛弩和木牛流马等高科技产物，还曾登坛作法借东风观天象断生死。和庞统并称卧龙凤雏。
4,赵云,4,0,0,1,2,4,0,4,0,2,1,0|2|3|0|0|0,1,10041,10041,10042,10043,10044,1909,1108,1408,56211,56212,56213,56214,92,90,91,4,长坂坡爱才,1,0.25,蜀国双帅,13,0.25,毕生所托,3,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard4,card4,0,warrior/4S,warrior/4D,完美的三国名将，蜀国五虎上将之一，长坂坡一战名震天下，征战一生无一败仗。赵云结合了英俊帅哥和无敌将军的双重特征。人气之高甚至超过关羽。
5,司马懿,5,0,0,1,1,4,0,4,2,3,1,0|0|0|4|5|0,1,20051,20051,20052,20053,20054,308,208,508,56311,56312,56313,56314,80,96,96,5,知遇真主,1,0.25,一生宿敌,3,0.25,杀婢狠妻,58,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard5,card5,0,warrior/5S,warrior/5D,司马懿晚年几乎控制了魏国，其后代统一了三国建立西晋，他才是三国最后的胜利者。跟随曹操多年一直隐忍心性，其狡诈程度不输曹操，绝对是业务骨干反老板的典范。
6,孙权,6,0,0,1,3,4,0,4,1,3,1,0|0|3|4|0|0,1,10061,10061,10062,10063,10064,1208,1008,-1,55311,55312,55313,55314,78,95,98,6,虎父,14,0.25,霸兄,11,0.25,睿臣,10,0.25,慈母,48,0.25,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard6,card6,0,warrior/6S,warrior/6D,优生优育的典范，老爹孙坚，哥哥孙策。父子兄弟都是三国一等一的名将明君。传说孙权是中国兵法家孙武的二十二代后裔。比较起勇武非凡的哥哥孙策，孙权在政治和治理方面更胜一筹。
7,夏侯惇,7,0,0,1,1,4,0,4,2,1,1,1|0|3|0|0|0,1,20071,20071,20072,20073,20074,1108,1008,408,56111,56112,56113,56114,95,83,92,7,亲兄弟,17,0.25,一生追随,1,0.25,并肩辅佐,16,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard7,card7,0,warrior/7S,warrior/7D,独眼大爷，绝对猛男，拔箭吃眼珠就是他。战功卓越，武力非凡，虽然五子良将中没有夏侯惇，但他是曹氏家族的人，算是内部集团人士，所以不需要进五子。
8,张辽,8,0,0,1,1,4,0,4,2,2,1,1|0|3|0|0|0,1,10081,10081,10082,10083,10084,1108,1208,208,55611,55612,55613,55614,92,85,93,8,魏国双雄,7,0.25,并肩辅佐,25,0.25,吕布旧臣,19,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard8,card8,0,warrior/8S,warrior/8D,三国时代小孩最怕的人，据说一喊张辽张文远来了，小孩马上不哭。张辽为魏国五子良将之首，但张辽和夏侯惇谁是魏国第一猛将，这个争论一直持续到现在，本游戏中两人综合属性数值一样，策划也不想趟这个浑水。
9,太史慈,9,0,0,1,3,4,0,4,1,1,1,0|2|0|4|0|0,1,10091,10091,10092,10093,10094,1108,308,-1,55411,55412,55413,55414,96,81,92,9,霸主知遇,11,0.25,国之栋梁,10,0.25,至强双弓,24,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard9,card9,0,warrior/9S,warrior/9D,孙策亲自收服的猛将，身材高大，外表威武，而且箭法出众，称为吴国第一射手也不过分。又帅气又强大睿智聪慧，刚猛无匹，正义感十足，吴国武将的典型代表。
10,周瑜,10,0,0,1,3,4,0,4,1,4,1,1|0|0|4|0|0,1,40101,40101,40102,40103,40104,708,1208,108,56311,56312,56313,56314,80,96,97,10,至亲吾兄,11,0.25,瑜亮无双,3,0.25,江东之花,46,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard10,card10,0,warrior/12S,warrior/10D,美周郎，耽美界三国人气之最。外表帅气到爆，能文能武还通晓音律。和诸葛亮齐名的著名智将，曾与诸葛亮基情合奏，因为长得太帅又和诸葛关系暧昧让人怀疑取向问题。
11,孙策,11,0,0,1,3,4,0,4,0,1,1,1|0|3|0|0|0,1,10111,10111,10112,10113,10114,1108,408,-1,56111,56112,56113,56114,98,77,92,11,虎父,14,0.25,权弟,6,0.25,情同手足,10,0.25,江东绝色,74,0.25,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard11,card11,0,warrior/11S,warrior/11D,人称江东小霸王，身材雄伟，相貌英俊，而且武力超群，威震天下，可与吕布关羽齐名！可惜英年早逝。弟弟孙权继承大权后骁勇善战的吴家CEO改走智慧路线。
12,陆逊,12,0,0,0,3,4,0,4,1,3,1,0|2|0|4|0|0,1,40121,40121,40122,40123,40124,308,-1,-1,56311,56312,56313,56314,75,95,95,12,成名之战,18,0.25,东吴名将,36,0.25,少主知遇,6,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard12,card12,0,warrior/10S,warrior/12D,娶了孙策的女儿，官做到大都督，上大将军，丞相。一把火烧光刘备大军。难道还不够牛X么？他就是陆逊，吴国高帅富系列之首。
13,马超,13,0,0,0,2,4,0,4,2,1,1,0|2|3|0|0|0,1,10131,10131,10132,10133,10134,1108,408,1909,51221,51222,51223,51224,98,82,85,13,蜀国双帅,4,0.25,五虎上将,22,0.25,丞相信任,3,0.25,马家英雄,62,0.25,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard13,card13,0,warrior/13S,warrior/13D,人称白银的狮子，同样是帅气英俊和勇猛无畏的完美将军。蜀国最强的骑兵指挥官，五虎上将之一。自幼跟随父亲马腾纵横沙场，带领大名鼎鼎的西凉铁骑来去如风。
14,孙坚,14,0,0,1,3,4,0,4,0,2,1,1|0|3|0|0|0,1,10141,10141,10142,10143,10144,1208,1008,-1,56211,56212,56213,56214,95,75,93,14,长子勇猛,11,0.25,次子睿智,6,0.25,老臣忠心,41,0.2,贤妻辅佐,48,0.25,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard14,card14,0,warrior/14S,warrior/14D,江东猛虎，作战勇猛，吴国第一任CEO，颇得民心，儿子生的也好。就是有点二，和袁绍一起打董卓的时候打到一块玉玺，于是抱着就回家了。
15,典韦,15,0,0,0,1,4,0,4,0,1,1,1|0|3|0|0|0,1,10151,10151,10152,10153,10154,1008,308,-1,51421,51422,51423,51424,96,80,87,15,一生追随,1,0.25,接班人,31,0.25,红颜祸水,127,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard15,card15,0,warrior/15S,warrior/15D,相貌魁梧，膂力过人，擅使两枝铁戟，重八十斤。曾经为朋友报仇杀人，提着仇人首级经过闹市，数百人不敢近。为保护曹操奋战而死。由于可单手举起欲坠的旗杆，被曹操称为“古之恶来”。
16,荀彧,16,0,0,0,1,4,0,4,1,4,1,0|2|0|4|0|0,1,10161,10161,10162,10163,10164,508,308,-1,55111,55112,55113,55114,76,95,88,16,黑白谋士,5,0.25,魏国五谋士,27,0.25,魏国栋梁,49,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard16,card16,0,warrior/16S,warrior/16D,曹操帐下首席谋臣，杰出的战略家，被曹操称赞为“吾之子房”。自小被世人称作“王佐之才”，曹魏五大谋士，荀彧排第一。
17,夏侯渊,17,0,0,0,1,4,0,4,1,1,1,0|2|0|4|0|0,1,10171,10171,10172,10173,10174,1408,-1,-1,55411,55412,55413,55414,91,78,88,17,亲兄弟,7,0.25,并肩辅佐,27,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard17,card17,0,warrior/17S,warrior/17D,夏侯家族第二猛男，一直在独眼龙夏侯惇的阴影下生活，其实也是举世罕见的名将，有着完全不输夏侯惇的战斗能力。而且弓术和速攻战法为人称道。
18,刘备,18,0,0,1,2,4,0,4,0,2,1,0|2|3|0|0|0,1,10181,10181,10182,10183,10184,1208,-1,-1,55211,55212,55213,55214,85,83,88,18,三顾茅庐,3,0.25,桃园结义,2,0.25,情同手足,22,0.25,吴蜀联姻,20,0.25,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard18,card18,0,warrior/18S,warrior/18D,卖草鞋出身，温情型CEO，三国哭王，手下名将众多。特点是最能拉拢人心，虽然一直吃败仗，一直在逃跑，但是得到很多人的帮助和拥护，可见刘备必定充满温暖正面的正面磁场。
19,吕布,19,0,0,1,4,4,0,4,2,1,1,0|0|3|4|0|0,1,10191,10191,10192,10193,10194,1408,1108,408,56111,56112,56113,56114,100,65,90,19,吕布旧臣,8,0.25,义父再见,21,0.25,世之绝品,34,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard19,card19,0,warrior/19S,warrior/19D,天下无双四个字就是对他最好的形容，历来三国游戏武力第一高的不二人选。坐拥貂蝉赤兔马等知名坐骑。但是吕布为人反复，毫无气节。属于忠诚度怎么也培养不起来的猛宠。
20,孙尚香,20,0,0,0,2,4,0,4,1,1,1,0|2|0|4|0|0,2,10201,10201,10202,10203,10204,1008,-1,-1,52121,52122,52123,52124,82,84,88,20,吴蜀联姻,18,0.25,霸兄,11,0.25,慈母,123,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard20,card20,0,warrior/20S,warrior/20D,人称弓腰姬，吴国孙家集团的公主，嫁给了刘备。流淌着吴家勇武的血脉，孙尚香训练着一支贴身的女兵部队，如果不是女儿身，必定成为一代名将。
21,董卓,21,0,0,1,4,4,0,4,2,2,1,1|0|0|4|0|0,1,10211,10211,10212,10213,10214,1208,108,-1,56211,56212,56213,56214,88,75,90,21,奉先吾儿,19,0.25,美人儿,34,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard21,card21,0,warrior/21S,warrior/21D,董卓一直以超级大魔王的大反派形象出现在三国中，霸占朝廷，暴虐百姓，还霸占了无数人的女神貂蝉。其实董卓是一位难得的强力将军，他麾下的西凉铁骑更是骁勇善战。
22,张飞,22,0,0,0,2,4,0,4,0,1,1,0|2|3|0|0|0,1,10221,10221,10222,10223,10224,1108,408,-1,56111,56112,56113,56114,99,68,85,22,真龙吾兄,18,0.25,并世双雄,2,0.25,爱女,79,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard22,card22,0,warrior/22S,warrior/22D,长板坡前救赵云独挡十万大军，一声大喝无人敢动。毫无疑问的三国第一鲁莽型猛将。很多人都认为张飞的武力应该在关羽之上，仅次于吕布。而且据说真实的张飞是个知书达理的美男子，但是好像大家更喜欢民间传说中狂暴粗鲁的形象。
23,庞统,23,0,0,0,2,4,0,4,1,4,1,0|0|0|4|5|0,1,20231,20231,20232,20233,20234,308,-1,-1,52421,52422,52423,52424,72,97,83,23,卧龙凤雏,3,0.25,老臣相知,24,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard23,card23,0,warrior/23S,warrior/23D,卧龙凤雏中的凤雏，和诸葛亮齐名的著名谋士。虽然能力不在诸葛之下，但是因为相貌丑陋，黑面塌鼻，人气比诸葛差好几个档次。庞统死于冷箭，埋葬他的地方被称为落凤坡。
24,黄忠,24,0,0,0,2,4,0,4,1,1,1,0|2|0|4|0|0,1,10241,10241,10242,10243,10244,1108,1909,-1,55411,55412,55413,55414,93,70,88,24,老臣相知,23,0.25,五虎上将,13,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard24,card24,0,warrior/24S,warrior/24D,五虎上将中年纪最大的，如果年轻个20岁估计连吕布也未必是对手。老当益壮，沉稳勇武的代表，同时也是三国最著名的弓术大师。
25,郭嘉,25,0,0,0,1,4,0,4,2,3,1,0|2|0|0|5|0,1,20251,20251,20252,20253,20254,1909,308,608,56411,56412,56413,56414,71,98,90,25,魏国五谋士,16,0.25,王佐之才,1,0.25,曹魏臂膀,15,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard25,card25,0,warrior/25S,warrior/25D,曹操颇为信任的谋士，曹操帐下另一强力谋士荀彧的好友。在对抗袁绍时提出了十胜十败之说，为了曹操的胜利立下首功。三十八岁英年早逝。现在在三国爱好者的心目中人气几乎爆棚，长得帅外加和曹操的惺惺相惜让不少人浮想联翩。
26,凌统,26,0,0,0,3,4,0,4,2,2,1,1|2|0|0|0|0,1,10261,10261,10262,10263,10264,1909,1408,-1,55311,55312,55313,55314,89,75,85,26,江东望族,12,0.25,并肩辅佐,9,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard26,card26,0,warrior/26S,warrior/26D,侠士之后，战功赫赫，可惜年纪轻轻29岁就死了。凌统和其后代在孙氏政权那里非常受器重。位高权重，属于吴国国家元首圈中的元老，绝对的三国版高帅富，
27,贾诩,27,0,0,0,1,4,0,4,1,4,1,0|0|0|4|5|0,1,40271,40271,40272,40273,40274,508,108,708,54421,54422,54423,54424,65,97,86,27,魏国五谋士,53,0.2,并肩辅佐,8,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard27,card27,0,warrior/27S,warrior/27D,贾诩，被人称之为“毒士”，奇谋百出，算无遗策。贾诩认为自己非曹操旧臣，却策谋深长，所以怕曹操猜嫌，于是采取自保策略，闭门自守，不与别人私下交往，他的子女婚嫁也不攀结权贵。被评为魏国五谋臣中最懂得保全自己的聪明人。
28,张角,28,0,0,1,4,4,0,4,1,4,1,0|2|0|4|0|0,1,40281,40281,40282,40283,40284,708,-1,-1,56411,56412,56413,56414,70,86,90,28,张家兄弟,159,0.15,张家血脉,175,0.15,神棍,251,0.25,破军之敌,1,0.25,破城之敌,14,0.25,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard28,card28,0,warrior/28S,warrior/28D,黄巾军的首领，和亲兄弟张宝张梁一起起义。以道士的形象出现，自称天公将军，大贤良师，为大平道总首领，宣扬“苍天已死，黄天当立”。
29,魏延,29,0,0,0,2,3,0,3,2,1,1,1|2|0|0|0|0,1,10291,10291,10292,10293,10294,1408,508,-1,55811,55812,55813,55814,95,65,85,29,送葬者,72,0.2,NULL,-1,-1,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard29,card29,0,warrior/29S,warrior/29D,蜀国主力战将，凭过人武技、擅长兵法深得刘备重用。只可惜情商太低，领导同事之间的关系都很僵硬。更可悲的是和诸葛亮气场不合，最后被其用遗计所杀。
30,姜维,30,0,0,0,2,3,0,3,0,3,1,0|0|3|0|5|0,1,10301,10301,10302,10303,10304,208,508,-1,55211,55212,55213,55214,82,80,82,30,衣钵传人,3,0.25,师母,67,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard30,card30,0,warrior/30S,warrior/30D,蜀汉末期最重要的军事统领。他写得了小说，战得了沙场，理得了政务，美可堪周郎。这继承了诸葛孔明衣钵的年少英雄本该是人生赢家，却奈何此时蜀国式微，未完成克复中原之愿战死沙场。
31,许褚,31,0,0,0,1,4,0,4,0,1,1,1|0|3|0|0|0,1,10311,10311,10312,10313,10314,1008,-1,-1,51421,51421,51421,51421,97,65,80,31,接班人,15,0.25,点拨之恩,16,0.25,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard31,card31,0,warrior/31S,warrior/31D,前后任曹操曹丕俩父子贴身保镖，曾只靠瞪眼吓的阵前马超不敢动弹。膀大腰圆勇猛如虎，天生神力，战斗时大吼酣战，气势非凡，可惜智商却不是很高，被称为虎痴。
32,周泰,32,0,0,0,3,3,0,3,0,2,1,0|2|3|0|0|0,1,30321,30321,30322,30323,30324,1008,408,-1,55511,55512,55513,55514,81,68,91,32,舍身取义,57,0.2,并肩辅佐,71,0.2,黄金搭档,87,0.2,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard32,card32,0,warrior/32S,warrior/32D,东吴大将，早先是强盗头子，以打家劫舍为生。跟随孙权后四处征战，数次身中刀伤，却总能坚强地活下来。每一道伤疤都是这个男人的荣耀。
33,关兴,33,0,0,0,2,3,0,3,0,1,1,0|0|3|4|0|0,1,10331,10331,10332,10333,10334,1108,-1,-1,55511,55512,55513,55514,86,72,81,33,武神后人,50,0.2,竞争者,75,0.2,NULL,-1,0,NULL,-1,0,NULL,-1,0,NULL,-1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard33,card33,0,warrior/33S,warrior/33D,蜀国将军，关羽次子。自幼习武，弓马娴熟，深得诸葛亮的器重。望着父亲忠义的背影终身追随，也被父亲的光辉遮蔽一生。
