序号,卡片品质,卡片等级ID,进阶等级,升星后等级,升星后进阶等级（普卡：0，真卡：1）,消耗印玉,消耗卡魂
id,nQuality,nCardLevel,nStage,nFinalLevel,nFinalAdvLevel,nJade,nCardSoul
int,int,int,int,int,int,int,int
1,4,80,2,1,0,300,3000000
2,4,81,2,1,0,300,2850000
3,4,82,2,1,0,300,2700000
4,4,83,2,1,0,300,2550000
5,4,84,2,1,0,300,2400000
6,4,85,2,2,0,300,2250000
7,4,86,2,2,0,300,2100000
8,4,87,2,2,0,300,1950000
9,4,88,2,2,0,300,1800000
10,4,89,2,2,0,300,1650000
11,4,90,2,3,0,300,1500000
12,4,91,2,3,0,300,1350000
13,4,92,2,3,0,300,1200000
14,4,93,2,3,0,300,1050000
15,4,94,2,3,0,300,900000
16,4,95,2,4,0,300,750000
17,4,96,2,4,0,300,600000
18,4,97,2,4,0,300,450000
19,4,98,2,4,0,300,300000
20,4,99,2,4,0,300,150000
21,4,100,2,5,0,300,0
22,4,101,2,6,0,300,0
23,4,102,2,6,0,300,0
24,4,103,2,6,0,300,0
25,4,104,2,6,0,300,0
26,4,105,2,7,0,300,0
27,4,106,2,7,0,300,0
28,4,107,2,7,0,300,0
29,4,108,2,7,0,300,0
30,4,109,2,8,0,300,0
31,4,110,2,8,0,300,0
32,4,111,2,8,0,300,0
33,4,112,2,8,0,300,0
34,4,113,2,9,0,300,0
35,4,114,2,9,0,300,0
36,4,115,2,9,0,300,0
37,4,116,2,9,0,300,0
38,4,117,2,10,0,300,0
39,4,118,2,10,0,300,0
40,4,119,2,10,0,300,0
41,4,120,2,11,0,300,0
42,4,80,3,30,0,300,3000000
43,4,81,3,30,0,300,2850000
44,4,82,3,30,0,300,2700000
45,4,83,3,30,0,300,2550000
46,4,84,3,30,0,300,2400000
47,4,85,3,31,0,300,2250000
48,4,86,3,31,0,300,2100000
49,4,87,3,31,0,300,1950000
50,4,88,3,31,0,300,1800000
51,4,89,3,31,0,300,1650000
52,4,90,3,32,0,300,1500000
53,4,91,3,32,0,300,1350000
54,4,92,3,32,0,300,1200000
55,4,93,3,32,0,300,1050000
56,4,94,3,32,0,300,900000
57,4,95,3,33,0,300,750000
58,4,96,3,33,0,300,600000
59,4,97,3,33,0,300,450000
60,4,98,3,33,0,300,300000
61,4,99,3,33,0,300,150000
62,4,100,3,34,0,300,0
63,4,101,3,35,0,300,0
64,4,102,3,35,0,300,0
65,4,103,3,35,0,300,0
66,4,104,3,35,0,300,0
67,4,105,3,36,0,300,0
68,4,106,3,36,0,300,0
69,4,107,3,36,0,300,0
70,4,108,3,36,0,300,0
71,4,109,3,37,0,300,0
72,4,110,3,37,0,300,0
73,4,111,3,37,0,300,0
74,4,112,3,37,0,300,0
75,4,113,3,38,0,300,0
76,4,114,3,38,0,300,0
77,4,115,3,38,0,300,0
78,4,116,3,38,0,300,0
79,4,117,3,39,0,300,0
80,4,118,3,39,0,300,0
81,4,119,3,39,0,300,0
82,4,120,3,40,0,300,0
83,3,30,2,30,0,120,250000
84,3,31,2,31,0,120,250000
85,3,32,2,32,0,120,250000
86,3,33,2,33,0,120,250000
87,3,34,2,34,0,120,250000
88,3,35,2,35,0,120,250000
89,3,36,2,36,0,120,250000
90,3,37,2,37,0,120,250000
91,3,38,2,38,0,120,250000
92,3,39,2,39,0,120,250000
93,3,40,2,40,0,120,250000
94,3,41,2,41,0,120,250000
95,3,42,2,42,0,120,250000
96,3,43,2,43,0,120,250000
97,3,44,2,44,0,120,250000
98,3,45,2,45,0,120,250000
99,3,46,2,46,0,120,250000
100,3,47,2,47,0,120,250000
101,3,48,2,48,0,120,250000
102,3,49,2,49,0,120,250000
103,3,50,2,50,0,120,250000
104,3,51,2,51,0,120,250000
105,3,52,2,52,0,120,250000
106,3,53,2,53,0,120,250000
107,3,54,2,54,0,120,250000
108,3,55,2,55,0,120,250000
109,3,56,2,56,0,120,250000
110,3,57,2,57,0,120,250000
111,3,58,2,58,0,120,250000
112,3,59,2,59,0,120,250000
113,3,60,2,60,0,120,250000
114,3,61,2,61,0,120,250000
115,3,62,2,62,0,120,250000
116,3,63,2,63,0,120,250000
117,3,64,2,64,0,120,250000
118,3,65,2,65,0,120,250000
119,3,66,2,66,0,120,250000
120,3,67,2,67,0,120,250000
121,3,68,2,68,0,120,250000
122,3,69,2,69,0,120,250000
123,3,70,2,70,0,120,250000
124,3,71,2,71,0,120,250000
125,3,72,2,72,0,120,250000
126,3,73,2,73,0,120,250000
127,3,74,2,74,0,120,250000
128,3,75,2,75,0,120,250000
129,3,76,2,76,0,120,250000
130,3,77,2,77,0,120,250000
131,3,78,2,78,0,120,250000
132,3,79,2,79,0,120,250000
133,3,80,2,80,0,120,250000
134,3,81,2,81,0,120,250000
135,3,82,2,82,0,120,250000
