序号,半身头像,使用背景图,姓名_用于备注
id,avatarId,bgId,strName
int,string,string,string
1,npc41,Bg_small01_Tex,曹操
2,npc37,Bg_small01_Tex,关羽
3,npc83,Bg_small02_Tex,诸葛亮
4,npc43,Bg_small01_Tex,赵云
5,npc130,Bg_small02_Tex,司马懿
6,npc69,Bg_small02_Tex,孙权
7,npc84,Bg_small01_Tex,夏侯惇
8,npc39,Bg_small02_Tex,张辽
9,npc116,Bg_small01_Tex,太史慈
10,npc70,Bg_small02_Tex,周瑜
11,npc31,Bg_small01_Tex,孙策
12,npc69,Bg_small02_Tex,陆逊
13,npc61,Bg_small01_Tex,马超
14,npc103,Bg_small02_Tex,孙坚
15,npc41,Bg_small01_Tex,典韦
16,npc54,Bg_small02_Tex,荀彧
17,npc85,Bg_small01_Tex,夏侯渊
18,npc42,Bg_small01_Tex,刘备
19,npc17,Bg_small02_Tex,吕布
20,npc68,Bg_small03_Tex,孙尚香
21,npc25,Bg_small01_Tex,董卓
22,npc42,Bg_small02_Tex,张飞
23,npc42,Bg_small01_Tex,庞统
24,npc42,Bg_small02_Tex,黄忠
25,npc47,Bg_small01_Tex,郭嘉
26,npc123,Bg_small02_Tex,凌统
27,npc41,Bg_small01_Tex,贾诩
28,npc25,Bg_small02_Tex,张角
29,npc42,Bg_small01_Tex,魏延
30,npc42,Bg_small02_Tex,姜维
31,npc81,Bg_small01_Tex,许褚
32,npc69,Bg_small02_Tex,周泰
33,npc42,Bg_small01_Tex,关兴
34,npc7,Bg_small03_Tex,貂蝉
35,npc50,Bg_small01_Tex,文丑
36,npc121,Bg_small02_Tex,甘宁
37,npc42,Bg_small01_Tex,徐庶
38,npc41,Bg_small02_Tex,乐进
39,npc62,Bg_small01_Tex,庞德
40,npc91,Bg_small03_Tex,祝融夫人
41,npc69,Bg_small02_Tex,程普
42,npc41,Bg_small02_Tex,曹真
43,npc129,Bg_small01_Tex,曹丕
44,npc100,Bg_small03_Tex,吕玲绮
45,npc41,Bg_small01_Tex,钟会
46,npc124,Bg_small03_Tex,小乔
47,npc41,Bg_small01_Tex,司马昭
48,npc69,Bg_small03_Tex,吴夫人
49,npc80,Bg_small02_Tex,曹仁
50,npc60,Bg_small01_Tex,关平
51,npc41,Bg_small02_Tex,于禁
52,npc53,Bg_small01_Tex,袁绍
53,npc77,Bg_small02_Tex,程昱
54,npc41,Bg_small01_Tex,羊祜
55,npc75,Bg_small02_Tex,鲁肃
56,npc15,Bg_small01_Tex,华雄
57,npc69,Bg_small02_Tex,黄盖
58,npc41,Bg_small03_Tex,张春华
59,npc49,Bg_small01_Tex,颜良
60,npc41,Bg_small01_Tex,徐晃
61,npc82,Bg_small02_Tex,孟获
62,npc93,Bg_small03_Tex,马云禄
63,npc25,Bg_small01_Tex,公孙瓒
64,npc41,Bg_small02_Tex,邓艾
65,npc41,Bg_small01_Tex,郭淮
66,npc25,Bg_small02_Tex,田丰
67,npc88,Bg_small03_Tex,黄月英
68,npc41,Bg_small01_Tex,荀攸
69,npc126,Bg_small02_Tex,吕蒙
70,npc25,Bg_small01_Tex,马腾
71,npc69,Bg_small02_Tex,陆抗
72,npc95,Bg_small01_Tex,马岱
73,npc46,Bg_small02_Tex,张郃
74,npc69,Bg_small03_Tex,大乔
75,npc96,Bg_small01_Tex,张苞
76,npc41,Bg_small02_Tex,司马师
77,npc132,Bg_small03_Tex,甄姬
78,npc25,Bg_small02_Tex,张任
79,npc97,Bg_small03_Tex,张星彩
80,npc133,Bg_small03_Tex,郭皇后
81,npc42,Bg_small03_Tex,甘皇后
82,npc44,Bg_small02_Tex,关索
83,npc42,Bg_small01_Tex,马良
84,npc41,Bg_small02_Tex,曹彰
85,npc25,Bg_small01_Tex,潘凤
86,npc25,Bg_small02_Tex,皇甫嵩
87,npc69,Bg_small01_Tex,韩当
88,npc25,Bg_small01_Tex,卢植
89,npc25,Bg_small02_Tex,高顺
90,npc57,Bg_small03_Tex,关凤
91,npc42,Bg_small01_Tex,严颜
92,npc42,Bg_small02_Tex,马谡
93,npc41,Bg_small02_Tex,王双
94,npc79,Bg_small01_Tex,李典
95,npc42,Bg_small02_Tex,邓芝
96,npc42,Bg_small01_Tex,法正
97,npc25,Bg_small02_Tex,陈宫
98,npc42,Bg_small02_Tex,周仓
99,npc42,Bg_small01_Tex,王平
100,npc69,Bg_small02_Tex,潘璋
101,npc42,Bg_small01_Tex,吴懿
102,npc41,Bg_small02_Tex,郝昭
103,npc41,Bg_small01_Tex,文聘
104,npc69,Bg_small02_Tex,虞翻
105,npc127,Bg_small01_Tex,曹植
106,npc41,Bg_small02_Tex,夏侯霸
107,npc59,Bg_small03_Tex,鲍三娘
108,npc25,Bg_small01_Tex,徐荣
109,npc25,Bg_small02_Tex,李儒
110,npc42,Bg_small01_Tex,李恢
111,npc41,Bg_small02_Tex,黄权
112,npc74,Bg_small01_Tex,蔡瑁
113,npc69,Bg_small02_Tex,凌操
114,npc41,Bg_small01_Tex,杨修
115,npc41,Bg_small02_Tex,陈泰
116,npc25,Bg_small01_Tex,高览
117,npc41,Bg_small02_Tex,满宠
118,npc8,Bg_small03_Tex,董白
119,npc25,Bg_small01_Tex,审配
120,npc25,Bg_small02_Tex,冷苞
121,npc78,Bg_small01_Tex,曹洪
