卡片等级ID,所需卡魂,当前等级所需卡魂总数,五星所需卡魂,五星所需卡魂总数,所需血玉,当前等级所需血玉总数
id,nNeedCardSoul,nTotalCardSoul,nFSNeedCardSoul,nFSTotalCardSoul,nNeedBloodJade,nTotalBloodJade
int,int,int,int,int,int,int
1,0,0,0,0,0,0
2,47,47,128571,128571,3,3
3,52,99,129657,258228,3,6
4,58,157,130743,388971,3,9
5,65,222,131829,520800,3,12
6,72,294,132915,653715,3,15
7,80,374,134001,787716,3,18
8,89,463,135087,922803,3,21
9,99,562,136173,1058976,3,24
10,110,672,137259,1196235,3,27
11,122,794,138345,1334580,3,30
12,136,930,139431,1474011,3,33
13,151,1081,140517,1614528,3,36
14,168,1249,141603,1756131,3,39
15,187,1436,142689,1898820,3,42
16,208,1644,143775,2042595,3,45
17,231,1875,144861,2187456,3,48
18,257,2132,145947,2333403,3,51
19,285,2417,147033,2480436,3,54
20,317,2734,148119,2628555,3,57
21,352,3086,149205,2777760,3,60
22,391,3477,150291,2928051,3,63
23,501,3978,151377,3079428,3,66
24,616,4594,152463,3231891,3,69
25,737,5331,153549,3385440,3,72
26,864,6195,154635,3540075,4,76
27,1206,7401,155721,3695796,4,80
28,1376,8777,156807,3852603,4,84
29,1556,10333,157893,4010496,4,88
30,1747,12080,158979,4169475,4,92
31,1949,14029,160065,4329540,4,96
32,2537,16566,161151,4490691,4,100
33,2806,19372,162237,4652928,4,104
34,3092,22464,163323,4816251,4,108
35,3399,25863,164409,4980660,4,112
36,3728,29591,165495,5146155,4,116
37,4868,34459,166581,5312736,4,120
38,5325,39784,167667,5480403,4,124
39,5820,45604,168753,5649156,4,128
40,6358,51962,169839,5818995,4,132
41,6947,58909,170925,5989920,4,136
42,9361,68270,172011,6161931,4,140
43,10238,78508,173097,6335028,4,144
44,11211,89719,174183,6509211,4,148
45,12296,102015,175269,6684480,4,152
46,13514,115529,176355,6860835,4,156
47,17944,133473,177441,7038276,4,160
48,18516,151989,178527,7216803,4,164
49,19084,171073,179613,7396416,4,168
50,19649,190722,180699,7577115,4,172
51,20211,210933,181785,7758900,4,176
52,25354,236287,182871,7941771,4,180
53,26032,262319,183957,8125728,4,184
54,26707,289026,185043,8310771,4,188
55,27377,316403,186129,8496900,4,192
56,28043,344446,187215,8684115,4,196
57,36819,381265,188301,8872416,4,200
58,37664,418929,189387,9061803,4,204
59,38503,457432,190473,9252276,4,208
60,39338,496770,191559,9443835,4,212
61,40168,536938,192645,9636480,4,216
62,50531,587469,193731,9830211,5,221
63,51542,639011,194817,10025028,5,226
64,52546,691557,195903,10220931,5,231
65,53544,745101,196989,10417920,5,236
66,54537,799638,198075,10615995,5,241
67,68258,867896,199161,10815156,5,246
68,69463,937359,200247,11015403,5,251
69,70660,1008019,201333,11216736,5,256
70,71850,1079869,202419,11419155,5,261
71,73032,1152901,203505,11622660,5,266
72,91108,1244009,204591,11827251,5,271
73,92541,1336550,205677,12032928,5,276
74,93964,1430514,206763,12239691,5,281
75,95378,1525892,207849,12447540,5,286
76,96783,1622675,208935,12656475,5,291
77,121758,1744433,210021,12866496,5,296
78,123478,1867911,211107,13077603,5,301
79,125186,1993097,212193,13289796,5,306
80,126882,2119979,213279,13503075,5,311
81,128567,2248546,214365,13717440,5,316
82,161072,2409618,215451,13932891,5,321
83,163127,2572745,216537,14149428,5,326
84,165168,2737913,217623,14367051,5,331
85,167195,2905108,218709,14585760,5,336
86,169208,3074316,219795,14805555,5,341
87,171206,3245522,220881,15026436,5,346
88,173190,3418712,221967,15248403,5,351
89,175160,3593872,223053,15471456,5,356
90,177116,3770988,224139,15695595,5,361
91,179057,3950045,225225,15920820,5,366
92,223201,4173246,226311,16147131,6,372
93,225561,4398807,227397,16374528,6,378
94,227903,4626710,228483,16603011,6,384
95,230227,4856937,229569,16832580,6,390
96,232533,5089470,230655,17063235,6,396
97,234822,5324292,231741,17294976,6,402
98,237094,5561386,232827,17527803,6,408
99,239348,5800734,233913,17761716,6,414
100,241585,6042319,234999,17996715,6,420
101,243805,6286124,238085,18234800,6,426
102,293805,6579929,243170,18477970,6,432
103,296485,6876414,250260,18728230,6,438
104,299145,7175559,259340,18987570,6,444
105,301785,7477344,270430,19258000,6,450
106,304405,7781749,283520,19541520,6,456
107,307005,8088754,298600,19840120,6,462
108,309585,8398339,315690,20155810,6,468
109,312145,8710484,334770,20490580,6,474
110,314685,9025169,355860,20846440,6,480
111,317205,9342374,378950,21225390,6,486
112,372205,9714579,404030,21629420,6,492
113,375274,10089853,431120,22060540,6,498
114,378320,10468173,460200,22520740,6,504
115,381343,10849516,491290,23012030,6,510
116,384343,11233859,524380,23536410,6,516
117,387320,11621179,559460,24095870,6,522
118,390274,12011453,596550,24692420,6,528
119,393205,12404658,635630,25328050,6,534
120,396113,12800771,676720,26004770,6,540
