序号,主卡ID,推荐卡片1,推荐卡片2,推荐卡片3,推荐卡片4
id,nCardId,nRecommendId1,nRecommendId2,nRecommendId3,nRecommendId4
int,int,int,int,int,int
1,19,74,46,26,0
2,13,74,46,26,0
3,22,74,46,18,0
4,4,74,46,18,0
5,11,74,46,14,0
6,3,46,55,142,0
7,10,46,55,142,0
8,5,55,25,46,0
9,1,7,8,316,0
10,7,1,8,316,0
11,8,7,1,316,0
12,316,1,7,8,0
13,21,19,63,8,0
14,25,5,55,1,0
15,2,18,315,4,0
16,18,2,315,4,0
17,315,18,2,4,0
18,14,11,6,55,0
19,6,14,11,55,0
20,9,6,14,11,0
21,55,14,10,5,0
22,256,334,313,316,0
23,257,458,431,499,0
24,260,335,321,272,0
25,261,272,339,357,0
26,264,285,325,315,0
27,265,55,285,315,0
28,268,348,342,276,0
29,269,277,343,348,0
30,272,260,261,339,0
31,273,297,289,293,0
32,276,342,349,269,0
33,277,343,349,269,0
34,285,305,264,265,0
35,286,256,334,313,0
36,289,46,55,142,0
37,290,297,0,0,0
38,293,25,46,55,0
39,294,289,0,0,0
40,297,348,46,55,0
41,298,293,0,0,0
42,305,264,285,74,0
43,306,272,339,0,0
44,309,273,46,55,0
45,313,256,334,316,0
46,314,256,334,316,0
47,320,260,0,0,0
48,321,357,260,335,0
49,324,321,74,46,0
50,325,264,285,315,0
51,334,313,256,293,0
52,335,260,261,321,0
53,338,321,74,46,0
54,339,272,313,334,0
55,342,276,348,268,0
56,343,277,276,321,0
57,348,342,268,297,0
58,349,343,276,342,0
59,356,257,46,55,0
60,357,260,335,339,0
61,360,342,46,55,0
62,361,342,348,268,0
63,367,264,305,343,0
64,368,264,338,0,0
65,373,46,74,0,0
66,374,260,286,334,0
67,379,260,383,0,0
68,383,260,379,0,0
69,386,264,285,324,0
70,387,305,338,324,0
71,390,256,334,313,0
72,391,257,313,0,0
73,378,470,394,357,0
74,382,260,379,321,0
75,394,378,399,321,0
76,395,269,276,343,0
77,398,305,46,0,0
78,399,394,378,382,0
79,403,342,424,395,0
80,404,343,276,395,0
81,407,256,313,390,0
82,408,293,335,338,0
83,411,256,313,334,0
84,412,257,391,15,0
85,415,419,272,339,0
86,416,420,379,441,0
87,419,415,305,412,0
88,420,416,379,441,0
89,423,260,334,338,0
90,424,342,348,276,0
91,427,374,408,305,0
92,428,367,264,338,0
93,431,412,257,499,0
94,432,411,390,313,0
95,437,342,276,348,0
96,438,335,342,423,0
97,441,272,335,379,0
98,442,273,357,378,0
99,445,348,395,342,0
100,446,437,277,343,0
101,449,338,387,368,0
102,450,265,285,0,0
103,459,342,276,348,0
104,460,272,335,379,0
105,461,256,313,334,0
106,462,305,338,324,0
107,457,432,390,313,0
108,458,305,437,257,0
109,466,342,260,431,0
110,478,297,289,293,0
111,506,334,390,0,0
112,508,419,415,378,0
113,510,506,379,338,0
114,512,338,367,335,0
115,513,348,342,277,0
116,514,342,437,268,0
117,517,449,387,338,0
118,518,512,508,502,0
119,521,437,446,0,0
120,522,508,512,502,0
121,1260,335,321,272,0
122,1285,305,264,265,0
123,1334,313,256,293,0
124,1342,276,348,268,0
125,1276,342,349,269,0
126,1305,264,285,74,0
127,1313,256,334,316,0
128,1339,272,313,334,0
129,1289,46,55,142,0
130,1293,25,46,55,0
131,1297,348,46,55,0
132,1320,260,0,0,0
133,1256,334,313,316,0
134,1264,285,325,315,0
135,1272,260,261,339,0
136,1348,342,268,297,0
137,1361,342,348,268,0
138,1373,46,74,0,0
139,1379,260,383,0,0
140,1394,378,399,321,0
141,1367,264,305,343,0
142,1378,470,394,357,0
143,1268,348,342,276,0
144,1335,260,261,321,0
145,1390,256,334,313,0
146,1269,277,343,348,0
147,1374,260,286,334,0
148,1386,264,285,324,0
149,1383,260,379,0,0
150,1424,342,348,276,0
151,1321,357,260,335,0
152,1399,394,378,382,0
153,1257,458,431,499,0
154,1343,277,276,321,0
155,1338,321,74,46,0
156,1382,260,379,321,0
157,1314,256,334,316,0
158,1423,260,334,338,0
159,1357,260,335,339,0
160,1265,55,285,315,0
161,470,394,367,378,399
162,475,314,431,390,0
163,1431,412,257,499,0
164,1438,335,342,423,0
165,483,272,379,441,0
166,487,387,449,338,0
167,491,445,269,348,0
168,1449,338,387,368,0
169,1309,273,46,55,0
170,499,257,458,475,0
171,495,260,309,335,0
172,1458,305,437,453,0
173,1445,348,395,342,0
174,534,314,431,390,0
175,535,394,367,378,399
176,536,445,269,348,0
177,537,272,379,441,0
178,527,297,348,458,0
