卡片ID,原卡ID,异化卡特效
id,nSrcCardID,strFX
int,int,string
1260,260,Effect/Card/FX_Golden_Cards_002
1285,285,Effect/Card/FX_Golden_Cards_001
1334,334,Effect/Card/FX_Golden_Cards_003
1342,342,Effect/Card/FX_Golden_Cards_004
1276,276,Effect/Card/FX_Golden_Cards_005
1313,313,Effect/Card/FX_Golden_Cards_006
1305,305,Effect/Card/FX_Golden_Cards_007
1339,339,Effect/Card/FX_Golden_Cards_008
1289,289,Effect/Card/FX_Golden_Cards_010
1293,293,Effect/Card/FX_Golden_Cards_012
1297,297,Effect/Card/FX_Golden_Cards_009
1320,320,Effect/Card/FX_Golden_Cards_011
1256,256,Effect/Card/FX_Golden_Cards_014
1264,264,Effect/Card/FX_Golden_Cards_015
1272,272,Effect/Card/FX_Golden_Cards_016
1348,348,Effect/Card/FX_Golden_Cards_013
1361,361,Effect/Card/FX_Golden_Cards_019
1373,373,Effect/Card/FX_Golden_Cards_017
1379,379,Effect/Card/FX_Golden_Cards_018
1394,394,Effect/Card/FX_Golden_Cards_020
1367,367,Effect/Card/FX_Golden_Cards_021
1378,378,Effect/Card/FX_Golden_Cards_022
1268,268,Effect/Card/FX_Golden_Cards_026
1335,335,Effect/Card/FX_Golden_Cards_024
1390,390,Effect/Card/FX_Golden_Cards_025
1269,269,Effect/Card/FX_Golden_Cards_023
1374,374,Effect/Card/FX_Golden_Cards_028
1386,386,Effect/Card/FX_Golden_Cards_027
1383,383,Effect/Card/FX_Golden_Cards_029
1424,424,Effect/Card/FX_Golden_Cards_030
1321,321,Effect/Card/FX_Golden_Cards_031
1399,399,Effect/Card/FX_Golden_Cards_032
1257,257,Effect/Card/FX_Golden_Cards_033
1343,343,Effect/Card/FX_Golden_Cards_034
1382,382,Effect/Card/FX_Golden_Cards_035
1338,338,Effect/Card/FX_Golden_Cards_036
1314,314,Effect/Card/FX_Golden_Cards_038
1423,423,Effect/Card/FX_Golden_Cards_037
1357,357,Effect/Card/FX_Golden_Cards_040
1265,265,Effect/Card/FX_Golden_Cards_039
1431,431,Effect/Card/FX_Golden_Cards_042
1438,438,Effect/Card/FX_Golden_Cards_041
1309,309,Effect/Card/FX_Golden_Cards_043
1449,449,Effect/Card/FX_Golden_Cards_044
1458,458,Effect/Card/FX_Golden_Cards_045
1445,445,Prefab/FX_Golden_Cards_047
