礼包ID,礼包名称,礼包名称(公告界面UI显示),原价,刷新类型0不刷新1每日刷新2每周刷新,一次生命周期内购买次数,礼包类型,开启条件,开启条件关系 0或1与,持续时间（单位小时，-1是永久）,排序ID,显示开关,礼包背景底图,礼包图片,灯光效果,礼包提示界面,礼包提示名称,礼包提示优先级（越小优先级越高，可以为负值。每天只有第一次登录时弹出。）,礼包提示信息,奖励1,奖励2,奖励3,奖励4,奖励5,奖励6,奖励7
id,sGiftName,sUIGiftName,fOriginalPrice,nRefreshType,nLimitedGiftBuyCount,nGiftType,strOpenCondition,nConditionsTie,iHoldTime,nSortID,nDisplaySwitch,sTexGiftBackground,sTexGiftPicture,nLight,sReminderPic,sReminderName,nReminderPriority,sReminderInfo,sReward1,sReward2,sReward3,sReward4,sReward5,sReward6,sReward7
int,string,string,float,int,int,int,string,int,int,int,int,string,string,int,string,string,int,string,string,string,string,string,string,string,string
1,每日优惠礼包,每日优惠礼包,30,1,1,1,1,1,-1,10101,1,UI/Store/bg_Gift01_Tex,UI/Store/icon_Gift02_Tex,0,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label02_Tex,101,超值5倍返利，内含金币等稀有道具,26|1|1,2|200000|1,28|30|1,,,,
2,每日福利礼包,每日福利礼包,50,1,1,1,2,1,-1,10102,1,UI/Store/bg_Gift02_Tex,UI/Store/icon_Gift01_Tex,0,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label03_Tex,102,超值5倍返利，内含玉牌，血玉等稀有道具,53|1|1,2|400000|1,29|2|1,,,,
3,春节礼包,,300,0,7,2,3,1,168,20101,1,UI/Store/bg_Gift_NewYear_Tex,null,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,1,新年好运来，限时七天，海量天运等着你,13|888|1,27|10|1,2|1000000|1,,,,
4,元宵礼包,,300,0,3,2,4,1,72,20102,1,UI/Store/bg_Gift_Labtern_Tex,null,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label04_Tex,2,元宵团聚，限时3天，超多福利等着你,26|6|1,27|20|1,2|2000000|1,,,,
5,女将礼包,,300,0,1,2,5,1,24,20103,1,UI/Store/bg_Gift_Woman_Tex,null,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label05_Tex,3,巾帼来袭，天命所归，包含天命卡，血玉等稀有道具,1|7006 1 0|1,29|15|1,2|1000000|1,,,,
6,暖冬礼包,暖冬礼包,380,0,8,2,6,1,96,20104,1,UI/Activity/Bg_Gift_Labelnuandong_Tex,null,1,UI/Activity/Bg_Gift_Tex,UI/Activity/bg_Gift_nuandong_Tex,4,暖冬礼包等着你，礼包内含[FED655]卡魂、银币[-]等道具,2|0|60000000,1|7011 1 0|6,27|0|20,,,,
7,国庆礼包,国庆礼包,300,0,6,2,7,1,72,20105,1,UI/Activity/bg_Gift_guoqing_Tex,null,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Labelguoqing_Tex,5,安国富民国庆限定礼包等着你，礼包内含[FED655]幸运币、洗炼石、金钥匙、传承券[-]等稀有道具,200|67|10,200|68|200,34|0|2,23|0|100,,,
8,壮士礼包,壮士礼包,80,0,1,3,8,1,-1,30101,1,UI/Store/bg_Gift03_Tex,UI/Store/icon_Gift001_Tex,0,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,103,壮士礼包，超多福利等着你,13|300|1,2|200000|1,,,,,
9,豪杰礼包,豪杰礼包,280,0,1,3,9|10,1,-1,30102,1,UI/Store/bg_Gift03_Tex,UI/Store/icon_Gift002_Tex,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,104,豪杰礼包，超多福利等着你,28|100|1,16|10|1,17|10|1,18|10|1,,,
10,诸侯礼包,诸侯礼包,600,0,1,3,11|12,1,-1,30103,1,UI/Store/bg_Gift03_Tex,UI/Store/icon_Gift003_Tex,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,105,诸侯礼包，超多福利等着你,28|150|1,29|20|1,2|4000000|1,,,,
11,王候礼包,王候礼包,1280,0,1,3,13|14,1,-1,30104,1,UI/Store/bg_Gift03_Tex,UI/Store/icon_Gift004_Tex,1,UI/Activity/Bg_Gift_Tex,UI/Activity/Bg_Gift_Label01_Tex,106,王候礼包，超多福利等着你,29|60|1,16|20|1,17|20|1,18|20|1,,,
