材料卡ID,所需碎片数量-勇,所需碎片数量-智,所需碎片数量-力,所需碎片数量-体,所需碎片数量-心
id,nNeedItemNumYong,nNeedItemNumZhi,nNeedItemNumLi,nNeedItemNumTi,nNeedItemNumXin
int,int,int,int,int,int
254,25,25,20,25,25
255,25,25,20,25,25
258,25,15,35,25,20
259,25,15,35,25,20
262,25,25,20,25,25
263,25,25,20,25,25
266,20,20,25,30,25
267,20,20,25,30,25
270,20,20,35,25,20
271,20,20,35,25,20
274,30,20,30,25,15
275,30,20,30,25,15
291,25,35,20,20,20
292,25,35,20,20,20
287,20,40,15,15,30
288,20,40,15,15,30
295,25,35,25,15,20
296,25,35,25,15,20
283,30,20,30,20,20
284,30,20,30,20,20
303,30,25,20,20,25
304,30,25,20,20,25
307,25,30,25,20,20
308,25,30,25,20,20
322,30,20,30,20,20
323,30,20,30,20,20
336,25,20,30,25,20
337,25,20,30,25,20
358,20,30,25,20,25
359,20,30,25,20,25
365,25,20,30,25,20
366,25,20,30,25,20
311,35,20,30,20,15
312,35,20,30,20,15
329,30,15,30,20,25
330,25,20,25,30,20
371,20,35,15,20,30
372,20,30,20,20,30
354,15,30,20,30,25
355,25,30,25,20,20
340,30,25,20,20,25
341,25,20,30,25,20
346,25,20,30,25,20
347,25,20,30,25,20
376,25,20,30,25,20
377,30,15,30,20,25
380,30,25,20,20,25
381,30,25,20,20,25
384,20,25,30,20,25
385,20,25,30,20,25
388,30,15,30,20,25
389,30,20,30,20,20
429,20,20,25,30,25
430,20,20,25,30,25
405,30,15,30,20,25
406,25,20,25,30,20
425,25,20,30,25,20
426,35,20,30,20,15
421,25,30,25,20,20
422,30,25,20,20,25
439,15,30,20,30,25
440,25,30,25,20,20
