序号,索引,文件路径,表情占用空格数
id,StrIndex,strPath,iOffset
int,string,string,int
1,/ay,UI/Chat/icon_ay_Tex,5
2,/jg,UI/Chat/icon_jg_Tex,5
3,/bs,UI/Chat/icon_bs_Tex,5
4,/dc,UI/Chat/icon_dc_Tex,5
5,/dk,UI/Chat/icon_dk_Tex,5
6,/dx,UI/Chat/icon_dx_Tex,5
7,/fd,UI/Chat/icon_fd_Tex,5
8,/fn,UI/Chat/icon_fn_Tex,5
9,/fw,UI/Chat/icon_fw_Tex,5
10,/gl,UI/Chat/icon_gl_Tex,5
11,/am,UI/Chat/icon_gm_Tex,5
12,/hq,UI/Chat/icon_hq_Tex,5
13,/hs,UI/Chat/icon_hs_Tex,5
14,/ka,UI/Chat/icon_ka_Tex,5
15,/kq,UI/Chat/icon_kq_Tex,5
16,/lh,UI/Chat/icon_lh_Tex,5
17,/ll,UI/Chat/icon_ll_Tex,5
18,/nq,UI/Chat/icon_nq_Tex,5
19,/pz,UI/Chat/icon_pz_Tex,5
20,/sx,UI/Chat/icon_sx_Tex,5
21,/tl,UI/Chat/icon_tl_Tex,5
22,/tq,UI/Chat/icon_tq_Tex,5
23,/xd,UI/Chat/icon_xd_Tex,5
24,/xy,UI/Chat/icon_xy_Tex,5
25,/ym,UI/Chat/icon_ym_Tex,5
26,/zy,UI/Chat/icon_zy_Tex,5
