资源获取途径,资源类型(备注列),资源描述(备注列),资源获取(systemlimit),资源获取,资源获取标题,资源获取描述,资源获取图标
id,nResType,strResDesc,nGainSys,nGainUI,strGainUITitle,strGainUIDesc,strGainUIIcon
int,int,string,int,int[3],string,string,string
1,5,钻石,0,11|0|-1,商店购买,充值,UI/FunctionIcon/ShangCheng01_Tex
2,5,,0,17|-1|-1,活动,部分活动中可获取,UI/Main/HuoDong
11,2,卡魂,0,140|0|-1,日常,【富商快跑】活动中获取,UI/Main/FuBen
12,2,,3,9|-1|-1,封地,封地中产出,UI/Main/FengDi
13,2,,7,6|1|-1,卡片,分解多余卡片,UI/Main/FenJie
14,2,,25,59|-1|-1,机器人涛涛,去砸【机关人】,npc/icon/npc307
15,2,,1007,39|9|-1,国战商店,使用战功卷兑换,UI/FunctionIcon/ShangCheng01_Tex
21,3,军令,14,20|-1|-1,好友,好友赠送军令,UI/Main/HaoYou
22,3,,22,-1|-1|-1,公会,公会【聚宝盆】\n公会【成员拜访】,UI/Main/GongHui
23,3,,0,11|2|-1,商店购买,使用钻石购买,UI/FunctionIcon/ShangCheng01_Tex
31,29,血玉,7,6|1|-1,卡片,分解多余四星及以上卡片,UI/Main/FenJie
32,29,,25,59|-1|-1,机器人涛涛,转化多余三星及以上卡片,npc/icon/npc307
41,28,印玉,9,10|-1|-1,挑战,挑战武将,UI/Main/TiaoZhan
42,28,,22,39|2|-1,公会商店,使用贡献值兑换,UI/FunctionIcon/ShangCheng01_Tex
43,28,,1007,39|9|-1,国战商店,使用战功卷兑换,UI/FunctionIcon/ShangCheng01_Tex
51,16,青龙石,16,139|-1|-1,竞技,参加【竞技场】几率获得,UI/Main/JingJi
52,16,,17,39|1|-1,圣石商店,使用玄武石兑换,UI/FunctionIcon/ShangCheng01_Tex
53,16,,0,140|0|-1,日常,【圣石漆盘】活动中获取,UI/Main/FuBen
61,17,白虎石,16,139|-1|-1,竞技,参加【竞技场】几率获得,UI/Main/JingJi
62,17,,17,39|1|-1,圣石商店,使用玄武石兑换,UI/FunctionIcon/ShangCheng01_Tex
63,17,,0,140|0|-1,日常,【圣石漆盘】活动中获取,UI/Main/FuBen
71,18,朱雀石,16,139|-1|-1,竞技,参加【竞技场】几率获得,UI/Main/JingJi
72,18,,17,39|1|-1,圣石商店,使用玄武石兑换,UI/FunctionIcon/ShangCheng01_Tex
73,18,,0,140|0|-1,日常,【圣石漆盘】活动中获取,UI/Main/FuBen
81,19,玄武石,16,139|-1|-1,竞技,参加【竞技场】几率获得,UI/Main/JingJi
82,19,,0,140|0|-1,日常,【圣石漆盘】活动中获取,UI/Main/FuBen
91,14,科技点,0,11|2|0,商店购买,钻石购买,UI/FunctionIcon/ShangCheng01_Tex
92,14,,0,1|0|0,普通推图,推图宝箱,UI/Main/7
93,14,,12,1|1|0,精英推图,推图宝箱,UI/Main/7
101,47,杨木,0,140|0|-1,日常,【工坊训练营-战术篇】获取,UI/Main/FuBen
102,47,,27,11|2|0,商店购买,钻石购买,UI/FunctionIcon/ShangCheng01_Tex
111,44,生铁,0,140|0|-1,日常,【工坊训练营-伤害篇】获取,UI/Main/FuBen
112,44,,27,11|2|0,商店购买,钻石购买,UI/FunctionIcon/ShangCheng01_Tex
121,43,工坊设计图,16,139|-1|-1,竞技,参加【竞技场】几率获得,UI/Main/JingJi
122,43,,27,11|2|0,商店购买,钻石购买,UI/FunctionIcon/ShangCheng01_Tex
131,36,声望,23,49|-1|-1,派遣,【派遣任务】得声望,UI/Main/ShiJian
141,50,荣誉值,0,140|0|-1,日常,周末【大乱斗】中获取,UI/Main/FuBen
151,51,战功券,16,139|-1|-1,竞技,参加【国战】,UI/Main/JingJi
161,35,贡献值,22,-1|-1|-1,公会,每日【公会捐赠】\n【公会战】,UI/Main/GongHui
171,38,板砖,25,59|-1|-1,机器人涛涛,分解卡牌几率获取,npc/icon/npc307
172,38,,0,17|-1|-1,活动,部分活动中可获取,UI/Main/HuoDong
181,39,齿轮,23,49|-1|-1,派遣,派遣任务宝箱,UI/Main/ShiJian
182,39,,0,11|2|-1,商店购买,使用钻石购买,UI/FunctionIcon/ShangCheng01_Tex
191,53,玉牌,3,9|-1|-1,封地,可在【封地】中产出,UI/Main/FengDi
192,53,,0,17|-1|-1,活动,部分活动中可获取,UI/Main/HuoDong
201,26,金币,16,139|-1|-1,竞技,【竞技场】赛季结算奖励、王者奖励,UI/Main/JingJi
