赛季ID,预选赛简介,淘汰选赛简介,开始时间(所有时间必须为两位数）,结束时间（所有时间必须为两位数）
id,strPrimaryTime,strAdvancedTime,strStartTime,strEndTime
int,string,string,string,string
0,9月15日20:30—21:20,9月16日—9月19日,2014|09|08|00|00|00,2014|09|19|23|59|00
1,9月29日20:30—21:20,9月30日—10月3日,2014|09|20|00|00|00,2014|10|03|23|59|00
2,10月13日20:30—21:20,10月14日—10月17日,2014|10|04|00|00|00,2014|10|17|23|59|00
3,10月27日20:30—21:20,10月28日—10月31日,2014|10|20|00|00|00,2014|10|31|23|59|00
4,11月10日20:30—21:20,11月11日—11月14日,2014|11|01|00|00|00,2014|11|14|23|59|00
5,11月24日20:30—21:20,11月25日—11月28日,2014|11|15|00|00|00,2014|11|28|23|59|00
6,12月8日20:30—21:20,12月9日—12月12日,2014|11|29|00|00|00,2014|12|12|23|59|00
7,12月22日20:30—21:20,12月23日—12月26日,2014|12|13|00|00|00,2014|12|26|23|59|00
8,1月5日20:30—21:20,1月6日—1月9日,2014|12|27|00|00|00,2015|01|09|23|59|00
9,1月19日20:30—21:20,1月20日—1月23日,2015|01|10|00|00|00,2015|01|23|23|59|00
10,2月2日20:30—21:20,2月3日—2月6日,2015|01|24|00|00|00,2015|02|06|23|59|00
11,2月16日20:30—21:20,2月17日—2月20日,2015|02|07|00|00|00,2015|02|20|23|59|00
12,3月2日20:30—21:20,3月3日—3月6日,2015|02|21|00|00|00,2015|03|06|23|59|00
13,3月16日20:30—21:20,3月17日—3月20日,2015|03|07|00|00|00,2015|03|20|23|59|00
14,3月30日20:30—21:20,3月31日—4月3日,2015|03|21|00|00|00,2015|04|03|23|59|00
15,4月27日20:30—21:20,4月28日—5月1日,2015|04|04|00|00|00,2015|05|01|23|59|00
16,5月25日20:30—21:20,5月26日—5月29日,2015|05|02|00|00|00,2015|05|29|23|59|00
17,6月29日20:30—21:20,6月30日—7月3日,2015|05|30|00|00|00,2015|07|03|23|59|00
18,7月27日20:30—21:20,7月28日—7月31日,2015|07|04|00|00|00,2015|07|31|23|59|00
19,8月24日20:30—21:20,8月25日—8月28日,2015|08|01|00|00|00,2015|08|28|23|59|00
20,9月21日20:30—21:20,9月22日—9月25日,2015|08|29|00|00|00,2015|09|25|23|59|00
21,10月19日20:30—21:20,10月20日—10月23日,2015|09|26|00|00|00,2015|10|23|23|59|00
22,11月16日20:30—21:20,11月17日—11月20日,2015|10|24|00|00|00,2015|11|20|23|59|00
23,12月14日20:30—21:20,12月15日—12月18日,2015|11|21|00|00|00,2015|12|18|23|59|00
24,1月11日20:30—21:20,1月12日—1月15日,2015|12|19|00|00|00,2016|01|15|23|59|00
25,2月8日20:30—21:20,2月9日—2月12日,2016|01|16|00|00|00,2016|02|12|23|59|00
26,3月7日20:30—21:20,3月8日—3月11日,2016|02|13|00|00|00,2016|03|11|23|59|00
27,4月4日20:30—21:20,4月5日—4月8日,2016|03|12|00|00|00,2016|04|08|23|59|00
28,5月2日20:30—21:20,5月3日—5月6日,2016|04|09|00|00|00,2016|05|06|23|59|00
29,5月30日20:30—21:20,5月31日—6月3日,2016|05|07|00|00|00,2016|06|03|23|59|00
