序号,分组ID,开启条件,标题,功能(1开界面|2商店|3对话),图标
id,nGroupID,strCheckOpen,strTitle,nContent,nIcon
int,int,string,string,string,string
100,10,,打个招呼,3|11,
101,11,,要珍惜你在城里遇到的所有人，哪怕是敌对公会的，因为到了国战的战场上，他们就都是战友了。,,
106,10,,中秋花影商店,2|4006,UI/FunctionIcon/ShangChengN_Tex
107,10,,七彩商店,2|20,UI/FunctionIcon/ShangChengN_Tex
108,10,,玄武石商店,2|4008,UI/FunctionIcon/ShangChengN_Tex
300,30,,查看排行榜,1|40,UI/FunctionIcon/listN_Tex
301,30,,战功商店,2|9,UI/FunctionIcon/ShangChengN_Tex
302,30,,神将商店,2|14,UI/FunctionIcon/ShangChengN_Tex
303,31,,最近突然冒出好多人自称是奉了天子之命，但是小英雄，你要相信，我只为你一个人转身了而已。,,
400,40,,圣石商店,2|1,UI/FunctionIcon/ShangChengN_Tex
408,40,,限定商店,2|11,UI/FunctionIcon/ShangChengN_Tex
409,40,,佣金商店,2|2002,UI/FunctionIcon/ShangChengN_Tex
500,50,4|6600,我要转化！,1|59,
501,50,4|6600,我要打你！,1|59|1,
502,50,,你是谁？,3|51,
503,51,,你好，我是涛涛，其实我应该胖不起来才对，因为整天挨揍……对了，我长得有那么欠揍吗？,,
800,80,,战器库,2|8000,UI/FunctionIcon/ShangChengN_Tex
801,80,,关于国战,3|81,
802,81,,在国战里，拼得可都是硬实力，连俺都没见过这么大阵仗！不多说了，赶紧换把战器压压惊。,,
900,90,3|28,天降神“兵”,4|1000,UI/FunctionIcon/BookStoreN_Tex
901,90,,打听八卦,3|91,
902,91,,最近流行女将阵容，连城东郭富商家的女儿都跑去参军了！不过呀，他们都及不上我女儿~,,
1001,100,,神秘商店,2|3000,UI/FunctionIcon/ShangChengN_Tex
1002,100,,庆典商店,2|1001,UI/FunctionIcon/ShangChengN_Tex
1003,100,,精选商店,2|1002,UI/FunctionIcon/ShangChengN_Tex
1004,92,1|9993,挂红灯笼,1|156|1,
1005,92,1|9993,放飞莲灯,1|156|2,
1006,92,1|9993,放飞孔明灯,1|156|3,
1007,10,,周年商店,2|1003,UI/FunctionIcon/ShangChengN_Tex
1008,92,,庆典活动,3|93,
1009,93,,五周年庆典时间为2018年12月20日到2019年2月14日23点59分，活动多多，福利多多，欢迎大家踊跃参加哟~_~,,
