id,建筑名,初始阵营,山贼位置,城防初始值,城防攻占给予,城防最大值,土著初始值,驻守军数量,资源产出|铁木粮草,筑城消耗|铁木粮草,增强战器类型,攻城增益上限,守城增益上限,占城奖励加成系数,山贼初始数量下限,山贼初始数量上限,[废弃]山贼集结完成数量,筑城回复速度[绝对值],最大等级,山贼兵力增加值
id,strName,nFaction,strShanzeiPos,nCfInit,nCfGzValue,nCfMax,nTuzhuInit,nZhshoujun,nResRate,arrResZc,nQixieType,nAttackZengyiMax,nDefenceZengyiMax,dRewardCoeff,nShanzeiMin,nShanzeiMax,nShanzeiGatheredCount,nZhuchengRecoverSpeed,nLevelMax,nSZAddValue
int,string,int,string,int,int,int,int,int,int[3],int[6],int,int,int,double,int,int,int,int,int,int
1,西凉,4,343.02|9.244|781.455,10760000,7680000,15360000,0,1215,8|8|10,10|500|10|500|10|500,3,3600,2400,0.05,260,420,520,17066,2,78
2,西平,4,257.1013|9.668|709.9165,6050000,4320000,8640000,0,810,2|0|4,10|500|10|500|10|500,3,3000,2000,0.03,260,420,520,9600,2,78
3,陇西,4,353.6827|8.193|607.028,6050000,4320000,8640000,0,810,0|0|3,10|500|10|500|10|500,3,3000,2000,0.03,260,420,520,9600,2,78
4,天水,103,407.8365|8.979|538.362,3360000,2400000,4800000,162,205,2|0|3,10|500|10|500|10|500,3,2100,1400,0.03,280,490,700,5333,2,105
5,陈仓,103,442.1316|8.979|489.4604,2020000,1440000,2880000,204,170,0|1|3,10|500|10|500|10|500,3,1500,1000,0.02,260,420,520,3200,2,78
6,阳平关,103,464.3297|22.5813|408.9757,4710000,3360000,6720000,90,205,0|0|2,10|500|10|500|10|500,0,2400,1600,0.02,260,420,520,7466,2,78
7,汉中,103,564.6854|8.979|375.4169,4710000,3360000,6720000,732,300,1|1|4,10|500|10|500|10|500,3,2400,1600,0.04,320,630,1050,7466,2,158
8,江油,103,509.837|8.979|316.616,6050000,4320000,8640000,810,350,2|2|4,10|500|10|500|10|500,3,3000,2000,0.03,280,490,700,9600,2,105
9,梓潼,2,380.666|8.979|310.829,6050000,4320000,8640000,0,810,0|0|5,10|500|10|500|10|500,3,3000,2000,0.03,260,420,520,9600,2,78
10,成都,2,222.0796|9.86|194.4281,10760000,7680000,15360000,0,1215,8|8|10,10|500|10|500|10|500,3,3600,2400,0.05,260,420,520,17066,2,78
11,雒城,2,390.940|8.892|154.473,6050000,4320000,8640000,0,810,1|1|4,10|500|10|500|10|500,3,3000,2000,0.03,260,420,520,9600,2,78
12,江州,103,534.442|7.974|46.596,2690000,1920000,3840000,270,170,1|0|2,10|500|10|500|10|500,3,1800,1200,0.02,260,420,520,4266,2,78
13,长安,103,634.0369|11.897|531.7896,6050000,4320000,8640000,270,300,2|2|4,10|500|10|500|10|500,3,3000,2000,0.05,380,770,1530,9600,2,230
14,上庸,103,667.7452|11.897|345.8831,6050000,4320000,8640000,810,300,1|0|4,10|500|10|500|10|500,2,3000,2000,0.06,750,1500,3000,9600,2,450
15,澶溪,103,685.1458|11.869|293.9073,4710000,3360000,6720000,732,300,1|0|3,10|500|10|500|10|500,3,2400,1600,0.05,380,770,1530,7466,2,230
16,永安,103,653.594|9.944|75.195,2690000,1920000,3840000,270,170,1|0|4,10|500|10|500|10|500,3,1800,1200,0.02,260,420,520,4266,2,78
17,夷陵,103,702.1362|12.99|62.4508,2690000,1920000,3840000,270,170,0|1|4,10|500|10|500|10|500,3,1800,1200,0.02,260,420,520,4266,2,78
18,上党,1,672.131|7.409|697.946,6050000,4320000,8640000,0,810,0|0|5,10|500|10|500|10|500,3,3000,2000,0.03,260,420,520,9600,2,78
19,弘农,103,757.4296|15.8701|612.23,2690000,1920000,3840000,270,300,1|0|2,10|500|10|500|10|500,3,1800,1200,0.03,280,490,700,4266,2,105
20,洛阳,103,723.909|7.409|514.749,6050000,4320000,8640000,810,350,2|2|4,10|500|10|500|10|500,3,3000,2000,0.04,320,630,1050,9600,2,158
21,宛城,103,759.254|8.619|427.516,4710000,3360000,6720000,732,300,2|0|3,10|500|10|500|10|500,3,2400,1600,0.06,750,1500,3000,7466,2,450
22,虎牢关,103,798.32|24.035|419.1895,4710000,3360000,6720000,162,135,0|0|2,10|500|10|500|10|500,1,2400,1600,0.03,280,490,700,7466,2,105
23,新野,103,809.593|8.619|373.511,6050000,4320000,8640000,810,350,0|1|4,10|500|10|500|10|500,3,3000,2000,0.05,380,770,1530,9600,2,230
24,荆州,103,821.067|8.619|113.258,6050000,4320000,8640000,810,350,2|2|4,10|500|10|500|10|500,3,3000,2000,0.03,280,490,700,9600,2,105
25,邺城,1,886.853|8.619|616.251,6050000,4320000,8640000,0,1215,0|0|5,10|500|10|500|10|500,3,3000,2000,0.03,260,420,520,9600,2,78
