id,起点城市,终点城市,路径点1,路径点2,路径点3,路径点4,路径点5,路径点6,路径点7,路径点8,路径点9,路径点10,路径点11,路径点12,路径点13,路径点14,路径点15,路径点16,路径点17,路径点18,路径点19,路径点20,路径点21,路径点22,路径点23,路径点24,路径点25
id,nFromCity,nTarCity,strPath1,strPath2,strPath3,strPath4,strPath5,strPath6,strPath7,strPath8,strPath9,strPath10,strPath11,strPath12,strPath13,strPath14,strPath15,strPath16,strPath17,strPath18,strPath19,strPath20,strPath21,strPath22,strPath23,strPath24,strPath25
int,int,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1,1,2,297.4253|7.890472|805.4733,292.3905|7.890472|799.6154,287.1201|8.030312|791.1262,284.5428|7.890472|784.8912,287.504|7.890472|774.4936,292.3628|7.780357|769.373,298.2235|6.555328|763.6146,302.8588|6.018784|756.9387,308.2357|6.741608|750.6942,311.6208|7.947552|743.7139,315.47|7.890472|735.3353,317.7423|7.890472|727.4564,320.1145|8.105179|717.712,321.0639|8.191551|708.8793,318.6516|8.018036|700.4878,312.0321|7.890472|705.4219,306.4666|7.979568|709.9833,300.3039|7.891663|714.5248,296.7763|7.954445|721.5961,294.964|8.002304|726.5673,291.3077|7.890472|731.9057,285.4494|7.890472|737.8464,NULL,NULL,NULL
2,1,3,297.4253|7.890472|805.4733,292.3905|7.890472|799.6154,287.8343|7.890472|791.6864,284.3692|7.890468|786.0607,285.1916|7.890468|778.7095,290.0504|7.853042|773.5889,295.9111|7.382423|767.8304,300.5464|6.522647|761.1546,305.9233|5.476047|754.9101,309.3083|7.392257|747.9297,313.1576|7.967121|739.5512,315.4298|7.890472|731.6723,317.802|7.890472|721.9279,318.7515|7.890472|713.0952,316.3392|7.813823|704.7037,322.0582|7.890472|695.9223,329.1541|7.890472|688.7796,334.8817|7.890472|681.033,340.2126|7.890472|672.6694,346.3021|7.890472|663.3353,352.3862|7.890472|653.5854,358.9374|7.890472|649.3532,367.0705|7.890472|647.2455,372.8168|7.890472|642.1805,377.7137|7.890472|636.8953
3,2,3,285.4494|7.890472|737.8464,275.7199|7.890472|732.5457,270.7933|7.890468|724.3434,271.5237|7.890472|715.4601,282.186|7.948974|710.5374,291.4953|7.890474|711.2635,299.3417|7.890468|712.5125,305.9336|7.890472|709.4793,317.3002|7.890472|699.5544,329.9364|7.890472|684.4609,340.1241|7.890472|669.4425,350.3046|7.890472|654.7929,360.2514|7.890472|648.9308,367.4767|7.890472|646.7588,372.8168|7.890472|642.1805,377.7137|7.890472|636.8953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,3,4,377.7137|8.429131|636.8953,385.7926|8.401085|630.6338,393.7573|8.574173|620.6207,399.1135|8.70956|607.1266,404.0641|8.709557|595.0439,409.1588|9.146397|582.9379,415.3419|9.200989|571.6834,423.6219|9.213493|562.2684,436.4824|8.478817|556.5599,448.2549|8.567051|546.1981,NULL,NULL,320.1145|8.105179|717.712,321.0639|8.191551|708.8793,318.6516|8.018036|700.4878,312.0321|7.890472|705.4219,306.4666|7.979568|709.9833,300.3039|7.891663|714.5248,296.7763|7.954445|721.5961,294.964|8.002304|726.5673,291.3077|7.890472|731.9057,285.4494|7.890472|737.8464,NULL,NULL,NULL
5,4,5,448.2549|8.259228|546.1981,459.2147|7.92873|536.9351,464.4117|7.951401|526.1356,467.2687|7.951401|518.1598,469.2924|7.951401|510.5411,471.3161|7.951397|503.3985,475.7207|7.87985|495.7798,481.0776|7.890581|490.78,487.2678|8.520943|486.0184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,4,13,448.2549|8.259228|546.1981,459.2147|7.92873|536.9351,468.9021|7.951401|532.694,478.1297|7.951401|530.0552,486.6701|7.951401|529.4703,495.6241|7.951397|529.7753,506.5453|7.87985|531.2592,516.7822|7.890581|532.1309,526.3982|8.038723|531.8223,538.9993|7.894062|530.7266,551.6003|7.894062|529.85,565.845|7.797619|528.5352,579.213|7.894062|527.1107,592.9098|8.370106|523.933,601.1279|8.520943|517.1394,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,5,6,487.2678|8.520943|486.0184,481.4793|8.520943|478.3974,474.8519|7.830433|470.666,478.6936|8.060608|463.7157,487.7804|8.060604|456.2643,495.8178|7.945518|451.6834,500.8475|7.971691|443.3869,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,6,7,500.8475|7.971691|443.3869,510.0022|7.971691|432.835,520.7516|8.003918|429.2443,533.1049|7.971691|427.8956,545.1729|7.971691|424.4819,554.2747|7.971691|418.4026,563.5477|8.166431|414.6999,579.7452|9.096799|417.4676,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,6,8,500.8475|7.971691|443.3869,510.0022|7.971691|432.835,512.0778|8.003918|420.9326,514.553|7.971691|409.6843,517.0334|7.971691|398.244,524.2591|7.971691|389.6301,528.939|8.166431|380.9227,530.3102|7.876264|368.6218,528.9091|7.835179|355.2558,527.49|7.924199|345.2368,529.0491|7.935922|334.3461,531.0814|8.838414|322.9898,533.5771|9.096799|309.79,542.0234|9.096799|300.5534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,7,13,579.7452|9.096799|417.4676,582.402|9.096799|429.9437,583.3047|9.096799|441.5704,583.7207|7.891805|454.5854,588.8034|7.984494|469.139,588.4182|7.960256|481.9465,587.8812|7.960256|494.3195,591.2413|8.113629|505.3315,600.9243|9.096799|517.0598,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,7,14,579.7452|9.096799|417.4676,595.0352|8.848935|411.7624,611.0099|7.85748|410.6213,624.0179|8.105344|410.1649,631.3206|8.105344|414.5009,638.1669|8.150464|406.5136,647.2952|8.022527|399.2108,656.4236|9.096799|392.821,663.9545|8.880544|386.0342,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,7,15,579.7452|9.096799|417.4676,586.4762|9.096799|410.3398,592.4543|7.971444|397.7345,597.106|8.020375|386.0613,600.5759|7.873586|374.0663,602.856|7.922513|360.3397,608.0352|7.873582|347.8479,618.239|7.922517|335.774,625.2413|7.873586|329.4611,630.9478|7.922521|315.938,636.1932|8.020375|301.8097,638.028|8.020371|289.9728,648.0822|8.362882|285.0384,663.9528|9.096799|272.5629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,7,20,579.7452|9.096799|417.4676,597.7734|8.752248|414.0481,617.1429|8.1018|409.945,628.4194|7.962686|411.7064,635.1563|7.95255|424.0307,641.8773|8.052049|434.2231,653.9202|8.1018|440.4275,668.6865|7.888425|447.3739,684.4756|8.1018|448.664,701.2941|8.1018|455.1631,719.2538|8.1018|456.806,737.8776|7.95955|460.7585,740.0816|8.1018|473.4727,752.3066|8.1018|487.5328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,7,21,579.7452|9.096799|417.4676,597.7734|8.752248|414.0481,617.1429|8.1018|409.945,628.4194|8.101796|411.7064,635.1563|7.95255|424.0307,641.8773|8.052049|434.2231,653.9202|8.1018|440.4275,666.0575|7.95255|437.368,676.7512|7.952554|427.6324,687.1945|7.95255|421.8591,700.7623|8.002297|420.3261,711.9814|7.967607|421.4227,721.812|8.394078|422.2455,730.7764|9.096799|430.9045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,8,9,542.0234|9.096799|300.5534,528.4943|8.202981|288.565,517.6952|8.024217|279.0643,504.0167|8.083787|269.9627,491.5521|7.905046|262.0336,477.1554|7.992368|259.1733,463.896|8.115064|262.9468,449.9653|8.176412|270.2314,435.2542|8.483209|273.7493,412.7066|9.096799|286.3214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,9,10,412.7066|9.096799|286.3214,402.4683|8.040814|270.9742,400.6128|8.040814|253.9017,391.4925|8.122045|240.2651,371.5027|7.878346|221.9713,366.7187|8.284497|214.5791,364.6034|8.122045|197.127,339.1118|8.122037|194.8083,327.2029|8.122045|188.6328,308.6302|8.040799|186.8611,280.3584|8.284505|188.8739,264.7015|9.096799|185.1228,257.8518|9.096799|176.7328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,9,11,412.7066|9.096799|286.3214,402.4683|8.040814|270.9742,400.6128|8.040814|253.9017,394.9284|7.907998|243.6856,392.8906|8.572186|222.4678,398.9083|8.040814|208,397.8811|8.704968|191.5407,405.8733|8.097585|184.5262,417.6339|9.305837|174.9138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,10,11,257.8518|9.096799|176.7328,264.7015|9.096799|185.1228,280.3584|8.284505|188.8739,308.6302|8.040799|186.8611,327.2029|8.122045|188.6328,339.1118|8.122037|194.8083,364.6034|7.918401|197.127,384.4352|8.122151|188.2882,405.8733|8.097585|184.5262,417.6339|9.305837|174.9138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,11,12,417.6339|9.305837|174.9138,427.3354|9.305837|161.4189,440.6934|7.992661|155.4794,447.5933|7.923699|148.5799,450.7008|8.061738|130.2063,460.4696|7.923539|115.3011,477.7995|8.061715|106.2629,487.8281|11.72497|94.37401,503.3192|9.858808|75.18916,512.1742|9.090508|62.22292,536.6339|9.090375|54.27911,547.2726|9.162351|53.3801,552.4588|9.305837|59.13686,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,12,16,552.4588|9.305837|59.13686,579.298|9.305837|56.6456,595.3299|9.305837|60.01922,613.2831|9.305837|60.56638,625.3786|9.305837|72.85447,634.7708|9.305837|84.1162,646.3642|9.305837|89.56187,657.9034|9.305837|86.4446,663.8104|9.305837|92.82585,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,13,20,600.9243|9.096799|517.0598,614.3565|9.096799|506.3752,655.6027|8.477864|494.5277,697.4478|8.020429|500.4865,730.4919|9.096799|500.0592,752.3066|8.1018|487.5328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
