ID,赛季id,服务器ID,服务器名字,分组ID(>0),阵营
id,nSeasonID,nServerID,nServerName,nCupCountryGroupID,nFaction
int,int,int,string,int,int
4701,80,10000331,s1,1,2
4702,80,30003058,s28,1,2
4703,80,30003063,s33,1,2
4704,80,30003072,s42,1,2
4705,80,30003080,s50,1,2
4706,80,30003087,s57,1,2
4707,80,30003104,s74,1,2
4708,80,30003107,s77,1,2
4709,80,30003109,s79,1,2
4710,80,30003113,s83,1,2
4711,80,30003134,s104,1,2
4712,80,30003144,s114,1,2
4713,80,30003147,s117,1,2
4714,80,30003155,s125,1,2
4715,80,30003157,s127,1,2
4716,80,30003162,s132,1,2
4717,80,30003196,s166,1,2
4718,80,30003198,s168,1,2
4719,80,30003210,s180,1,2
4720,80,30003224,s194,1,2
4721,80,30003249,s219,1,2
4722,80,30003260,s230,1,2
4723,80,30003263,s233,1,2
4724,80,30003264,s234,1,2
4725,80,30003290,s260,1,2
4726,80,30003297,s267,1,2
4727,80,30003303,s273,1,2
4728,80,30003313,s283,1,2
4729,80,30003341,s311,1,2
4730,80,30003344,s314,1,2
4731,80,30003391,s352,1,2
4732,80,30003414,s375,1,2
4733,80,30003437,s398,1,2
4734,80,30003445,s406,1,2
4735,80,30003488,s449,1,2
4736,80,30003490,s451,1,2
4737,80,30003502,s463,1,2
4738,80,30003517,s478,1,2
4739,80,30003521,s482,1,2
4740,80,30003523,s484,1,2
4741,80,10000332,s2,1,3
4742,80,10000335,s5,1,3
4743,80,10000341,s11,1,3
4744,80,30003064,s34,1,3
4745,80,30003070,s40,1,3
4746,80,30003097,s67,1,3
4747,80,30003099,s69,1,3
4748,80,30003120,s90,1,3
4749,80,30003121,s91,1,3
4750,80,30003122,s92,1,3
4751,80,30003148,s118,1,3
4752,80,30003161,s131,1,3
4753,80,30003165,s135,1,3
4754,80,30003175,s145,1,3
4755,80,30003180,s150,1,3
4756,80,30003202,s172,1,3
4757,80,30003206,s176,1,3
4758,80,30003229,s199,1,3
4759,80,30003243,s213,1,3
4760,80,30003266,s236,1,3
4761,80,30003274,s244,1,3
4762,80,30003283,s253,1,3
4763,80,30003300,s270,1,3
4764,80,30003307,s277,1,3
4765,80,30003317,s287,1,3
4766,80,30003332,s302,1,3
4767,80,30003337,s307,1,3
4768,80,30003364,s325,1,3
4769,80,30003371,s332,1,3
4770,80,30003381,s342,1,3
4771,80,30003393,s354,1,3
4772,80,30003400,s361,1,3
4773,80,30003427,s388,1,3
4774,80,30003432,s393,1,3
4775,80,30003442,s403,1,3
4776,80,30003463,s424,1,3
4777,80,30003481,s442,1,3
4778,80,30003499,s460,1,3
4779,80,30003504,s465,1,3
4780,80,30003510,s471,1,3
4781,80,30003511,s472,1,3
4782,80,10000351,s21,1,4
4783,80,30003068,s38,1,4
4784,80,30003085,s55,1,4
4785,80,30003090,s60,1,4
4786,80,30003093,s63,1,4
4787,80,30003117,s87,1,4
4788,80,30003132,s102,1,4
4789,80,30003136,s106,1,4
4790,80,30003140,s110,1,4
4791,80,30003149,s119,1,4
4792,80,30003159,s129,1,4
4793,80,30003173,s143,1,4
4794,80,30003179,s149,1,4
4795,80,30003188,s158,1,4
4796,80,30003199,s169,1,4
4797,80,30003242,s212,1,4
4798,80,30003246,s216,1,4
4799,80,30003295,s265,1,4
4800,80,30003309,s279,1,4
4801,80,30003312,s282,1,4
4802,80,30003315,s285,1,4
4803,80,30003325,s295,1,4
4804,80,30003329,s299,1,4
4805,80,30003335,s305,1,4
4806,80,30003338,s308,1,4
4807,80,30003339,s309,1,4
4808,80,30003379,s340,1,4
4809,80,30003384,s345,1,4
4810,80,30003401,s362,1,4
4811,80,30003407,s368,1,4
4812,80,30003418,s379,1,4
4813,80,30003422,s383,1,4
4814,80,30003449,s410,1,4
4815,80,30003456,s417,1,4
4816,80,30003471,s432,1,4
4817,80,30003479,s440,1,4
4818,80,30003497,s458,1,4
4819,80,30003503,s464,1,4
4820,80,30003507,s468,1,4
4821,80,30003519,s480,1,4
4822,80,10000336,s6,1,1
4823,80,10000337,s7,1,1
4824,80,10000343,s13,1,1
4825,80,30000355,s25,1,1
4826,80,30003091,s61,1,1
4827,80,30003096,s66,1,1
4828,80,30003123,s93,1,1
4829,80,30003142,s112,1,1
4830,80,30003143,s113,1,1
4831,80,30003158,s128,1,1
4832,80,30003160,s130,1,1
