兵种,进攻队伍数据[携带器械|兵力;...],防守方数据[携带器械|兵力;...],援军血,援军数量
id,strAttackInfo,strDefenceInfo,nYuanjunBingli,nYuanjunCount
int,string,string,int,int
1,0|98800;1|110000;2|79000;2|79303;1|111111;1|131112;1|69000;1|97000;0|78000;0|100000;2|98800;2|110000;2|79000;2|79303;1|111111;1|131112;1|69000;1|97000;0|78000;0|100000,1|89000;1|98000;1|110000;1|105000;0|96000;0|57000;1|68000;1|76000;2|110000;2|130000;2|79000;0|82000;0|123152;0|110000;2|89000;2|93000;2|57000;2|78000;2|78000;2|89000,980000,5
2,0|10350;2|10350;2|10350;2|10350;1|15000;1|10350;1|10350;1|10350;0|10350;0|10350;2|10350;2|10350;2|10350;2|10350;1|10350;1|10350;1|10350;1|10350;0|10350;0|10350,2|10350;1|10350;1|10350;1|10350;0|10350;0|10350;1|10350;1|10350;2|10350;2|10350;2|10350;0|10350;0|10350;0|10350;2|10350;2|10350;2|10350;2|10350;2|10350;2|10350,10350,20
3,0|12780;0|9000;0|9000;0|9000;0|15000;0|9000;0|9000;0|9000;0|9000;0|9000;0|9000;0|9000;0|9000;0|9000;0|9000;0|9000;0|9000;0|9000;0|9000;0|9000,2|10350;1|10350;1|10350;1|10350;0|10350;0|10350;1|10350;1|10350;2|10350;2|10350;2|10350;0|10350;0|10350;0|10350;2|10350;2|10350;2|10350;2|10350;2|10350;2|10350,10350,20
4,1|12780;1|9000;1|9000;1|9000;1|15000;1|9000;1|9000;1|9000;1|9000;1|9000;1|9000;1|9000;1|9000;1|9000;1|9000;1|9000;1|9000;1|9000;1|9000;1|9000,2|10350;1|10350;1|10350;1|10350;0|10350;0|10350;1|10350;1|10350;2|10350;2|10350;2|10350;0|10350;0|10350;0|10350;2|10350;2|10350;2|10350;2|10350;2|10350;2|10350,10350,20
5,2|12780;2|9000;2|9000;2|9000;2|15000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000,2|10350;1|10350;1|10350;1|10350;0|10350;0|10350;1|10350;1|10350;2|10350;2|10350;2|10350;0|10350;0|10350;0|10350;2|10350;2|10350;2|10350;2|10350;2|10350;2|10350,10350,20
6,2|5000;2|900;2|90000;2|900;2|900;2|900;0|23500;2|900;2|900;2|900;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000;2|9000,2|5000;1|5000;1|5000;1|5000;0|5000;0|5000;1|5000;1|5000;2|5000;2|5000;2|5000;0|5000;0|5000;0|5000;2|5000;2|5000;2|5000;2|5000;2|5000;2|5000,5000,2
7,2|20700;2|20700;2|20700;2|20700;2|15000;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,2|20700;2|20700;2|20700;2|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
8,1|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700;0|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
9,0|20700;0|20700;0|20700;0|20700;0|15000;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700,0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
10,1|190000;0|20700;0|20700;0|20700;1|15000;1|20700;0|20700;1|20700;0|20700;1|20700;0|20700;0|20700;0|20700;0|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
11,2|190000;0|20700;0|20700;0|20700;1|15000;1|20700;0|20700;1|20700;0|20700;1|20700;0|20700;0|20700;0|20700;0|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
12,0|190000;0|20700;0|20700;0|20700;1|15000;1|20700;0|20700;1|20700;0|20700;1|20700;0|20700;0|20700;0|20700;0|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
13,2|190000;0|20700;0|20700;0|20700;1|15000;1|20700;0|20700;1|20700;0|20700;1|20700;0|20700;0|20700;0|20700;0|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700,1|5000;1|5000;1|5000;1|5000;1|5000;0|5000;1|5000;1|5000;2|5000;2|5000;2|5000;0|5000;0|5000;0|5000;2|5000;2|5000;2|5000;2|5000;2|5000;2|5000,5000,0
14,0|20700;2|20700;2|20700;2|20700;1|15000;1|20700;1|20700;1|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700,2|45000;1|45000;1|45000;1|45000;0|45000;0|45000;1|45000;1|45000;2|45000;2|45000;2|45000;0|45000;0|45000;0|45000;2|45000;2|45000;2|45000;2|45000;2|45000;2|45000,45000,20
15,0|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
16,1|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
17,2|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
18,0|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|200000;0|20700;2|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
19,1|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|200000;1|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
20,2|20700;2|20700;2|20700;2|200000;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700;2|200000;2|20700;2|20700;2|20700;1|20700;1|20700;1|20700;1|20700;0|20700;0|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
21,1|19000000;0|20700;0|20700;0|20700;1|15000;1|20700;0|20700;1|20700;0|20700;1|20700;0|20700;0|20700;0|20700;0|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20000
22,0|9000000;0|20700;0|20700;0|20700;1|15000;1|20700;0|20700;1|20700;0|20700;1|20700;0|20700;0|20700;0|20700;0|20700;1|20700;1|20700;1|20700;1|20700;1|20700;1|20700,2|20700;1|20700;1|20700;1|20700;0|20700;0|20700;1|20700;1|20700;2|20700;2|20700;2|20700;0|20700;0|20700;0|20700;2|20700;2|20700;2|20700;2|20700;2|20700;2|20700,20700,20
