id,特殊增益,消耗木,消耗石,增益比例,文字描述
id,bSpecial,costTie,costMu,nAddRate,strDesc
int,int,int,int,int,string
1,0,80,80,20000,消耗木头石块，增强获得资源
2,0,80,80,20000,消耗木头石块，增强获得资源
3,0,80,80,20000,消耗木头石块，增强获得资源
4,0,80,80,20000,消耗木头石块，增强获得资源
5,0,80,80,20000,消耗木头石块，增强获得资源
6,0,60,60,20000,消耗木头石块，增强获得资源
7,0,60,60,20000,消耗木头石块，增强获得资源
8,0,60,60,20000,消耗木头石块，增强获得资源
9,1,40,40,20000,消耗木头石块，增强获得资源
10,1,40,40,20000,消耗木头石块，增强获得资源
11,0,80,80,10000,消耗木头石块，增强获得资源
12,0,80,80,10000,消耗木头石块，增强获得资源
13,0,60,60,10000,消耗木头石块，增强获得资源
14,0,60,60,10000,消耗木头石块，增强获得资源
15,0,60,60,10000,消耗木头石块，增强获得资源
16,0,60,60,10000,消耗木头石块，增强获得资源
17,0,40,40,10000,消耗木头石块，增强获得资源
18,0,40,40,10000,消耗木头石块，增强获得资源
19,0,40,40,10000,消耗木头石块，增强获得资源
20,0,40,40,10000,消耗木头石块，增强获得资源
