兵种,阵型1[x|y|兵种],阵型2,阵型3,阵型4
id,arrZhenxing1,arrZhenxing2,arrZhenxing3,arrZhenxing4
int,int[3],int[3],int[3],int[3]
1,-3|50,160|-30,565|62,580|180
2,-3|-50,160|30,580|62,595|180
3,,160|-45,557|75,572|167
4,,160|45,587|75,602|167
5,,140|-60,535|62,550|180
6,,140|60,610|62,625|180
7,,160|-75,542|75,557|167
8,,160|75,602|75,617|167
9,,140|-90,520|75,535|167
10,,140|90,625|75,640|167
11,-10|-60|1,220|-10,557|50,572|192
12,-10|-40|1,220|10,617|50,632|192
13,-10|40|1,220|-30,542|50,557|192
14,-10|60|1,220|30,632|50,647|192
15,,220|-60,565|62,580|180
16,,220|60,610|62,625|180
17,,220|-70,527|50,542|192
18,,220|70,647|50,662|192
19,,180|-80,572|50,587|192
20,,180|80,602|50,617|192
21,20|-30,170|-90,580|25,595|217
22,20|30,165|75,610|25,625|217
23,13|60,190|-75,572|37,587|205
24,13|-60,170|90,617|37,632|205
25,,160|0,550|25,565|217
26,,190|60,640|25,655|217
27,,190|-60,565|12,580|230
28,,190|-45,625|12,640|230
29,,155|18,535|12,550|230
30,,155|-18,655|12,670|230
