必读：此列上线后只能增、删，不能改，否则玩家数据对不上号,月份,天数,奖励1,奖励2,奖励3,特殊标记（0否1是）,奖励4,奖励5,奖励6,奖励7
id,nMon,nDay,strReward1,strReward2,strReward3,nMark,strReward4,strReward5,strReward6,strReward7
int,int,int,string,string,string,int,string,string,string,string
1,1,1,5|30|1,3|20|1,2|50000|1,0,26|1|1,null,null,null
2,1,2,5|30|1,3|25|1,2|60000|1,0,27|5|1,null,null,null
3,1,3,5|30|1,3|25|1,2|70000|1,1,200|59|2,null,null,null
4,1,4,5|30|1,3|25|1,2|80000|1,0,24|3|1,null,null,null
5,1,5,5|30|1,3|25|1,2|90000|1,0,13|50|1,null,null,null
6,1,6,5|35|1,3|25|1,2|100000|1,0,19|10|1,null,null,null
7,1,7,5|35|1,3|25|1,2|100000|1,0,200|58|100,null,null,null
8,1,8,5|35|1,3|25|1,2|100000|1,1,53|1|1,null,null,null
9,1,9,5|35|1,3|30|1,2|100000|1,0,39|5|1,null,null,null
10,1,10,5|35|1,3|30|1,2|100000|1,0,28|20|1,null,null,null
11,1,11,5|40|1,3|30|1,2|150000|1,0,13|100|1,null,null,null
12,1,12,5|40|1,3|30|1,2|150000|1,0,36|300|1,null,null,null
13,1,13,5|40|1,3|30|1,2|150000|1,0,18|3|1,null,null,null
14,1,14,5|40|1,3|30|1,2|150000|1,0,200|58|200,null,null,null
15,1,15,5|40|1,3|30|1,2|150000|1,0,27|2|1,null,null,null
16,1,16,5|45|1,3|35|1,2|200000|1,0,23|1|1,null,null,null
17,1,17,5|45|1,3|35|1,2|200000|1,0,29|1|1,null,null,null
18,1,18,5|45|1,3|35|1,2|200000|1,0,34|1|1,null,null,null
19,1,19,5|45|1,3|35|1,2|200000|1,0,2|500000|1,null,null,null
20,1,20,5|45|1,3|35|1,2|200000|1,0,200|58|300,null,null,null
21,1,21,5|50|1,3|35|1,2|250000|1,1,16|3|1,null,null,null
22,1,22,5|50|1,3|35|1,2|250000|1,0,23|3|1,null,null,null
23,1,23,5|50|1,3|40|1,2|250000|1,0,34|1|1,null,null,null
24,1,24,5|50|1,3|40|1,2|250000|1,0,28|50|1,null,null,null
25,1,25,5|50|1,3|40|1,2|250000|1,1,1|34 1 0|1,5|200|1,null,null
323,1,26,5|50|1,3|40|1,2|300000|1,1,1|318 1 0|1,null,null,null
324,1,27,5|50|1,3|40|1,2|300000|1,0,18|3|1,null,null,null
