序号,器械名字,器械星级,最大星级,基本类型ID,触发类型,设置数量上限,下级ID,图标路径,"图标偏移(x,y,scale)",总描述,开启所需资源,属性1类型,附加属性1效果（数值扩大1000倍填）,属性2类型,附加属性2效果（数值扩大1000倍填）,属性3类型,附加属性3效果（数值扩大1000倍填）,属性1等级0升级条件,属性1等级1升级条件,属性1等级2升级条件,属性2等级0升级条件,属性2等级1升级条件,属性2等级2升级条件,属性3等级0升级条件,属性3等级1升级条件,属性3等级2升级条件,属性1等级0描述,属性1等级1描述,属性1等级2描述,属性2等级0描述,属性2等级1描述,属性2等级2描述,属性3等级0描述,属性3等级1描述,属性3等级2描述,升星效果描述,属性升级增加战力,等级真加战力
id,strName,nStar,nMaxStar,nBaseTypeID,nEffectID,nLimitCount,nNextId,strIcon,strScale,strTotalDes,strOpenCondition,nAttrType1,strAttrParam1,nAttrType2,strAttrParam2,nAttrType3,strAttrParam3,strLevelUPParam1_0,strLevelUPParam1_1,strLevelUPParam1_2,strLevelUPParam2_0,strLevelUPParam2_1,strLevelUPParam2_2,strLevelUPParam3_0,strLevelUPParam3_1,strLevelUPParam3_2,strAttrDesParam1_0,strAttrDesParam1_1,strAttrDesParam1_2,strAttrDesParam2_0,strAttrDesParam2_1,strAttrDesParam2_2,strAttrDesParam3_0,strAttrDesParam3_1,strAttrDesParam3_2,strAdvStarDesc,nAttrZhanli,nLevelZhanli
int,string,int,int,int,int,int,int,string,string,string,string,int,string,int,string,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,int
10000,竹矛陷阱,0,2,10000,1,1,10001,UI/WarEquipment/icon_bamboo01_tex,-12 9 99|0 0 0|0 0 0,坚硬的毛竹削尖打磨制成的陷阱，对触发陷阱的敌方部队立即造成[fed655]{0}[-]点伤害,43 1 0|0 0 0|0 0 0,100,6000000|6840000|7680000|8520000,1,6000|6300|6600|6900,0,999|999|999|999,44 5 0|2 5000 0|0 0 0,44 5 0|2 5000 0|0 0 0,44 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,47 5 0|2 5000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,伤害+840,伤害+840,伤害+840,基础触发范围+5%,基础触发范围+5%,基础触发范围+5%,1,1,1,NULL,11,20
10001,竹矛陷阱,1,2,10000,1,1,10002,UI/WarEquipment/icon_bamboo01_tex,-12 9 99|0 0 0|0 0 0,坚硬的毛竹削尖打磨制成的陷阱，对触发陷阱的敌方部队立即造成[fed655]{0}[-]点伤害,43 1 0|44 3 0|47 3 0,100,9600000|10560000|11520000|12480000,1,7200|7500|7800|8100,0,999|999|999|999,44 6 0|2 8000 0|0 0 0,44 6 0|2 8000 0|0 0 0,44 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,47 6 0|2 8000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,伤害+960,伤害+960,伤害+960,基础触发范围+5%,基础触发范围+5%,基础触发范围+5%,1,1,1,伤害+1080\n触发范围+5%,13,110
10002,竹矛陷阱,2,2,10000,1,1,0,UI/WarEquipment/icon_bamboo01_tex,-12 9 99|0 0 0|0 0 0,坚硬的毛竹削尖打磨制成的陷阱，对触发陷阱的敌方部队立即造成[fed655]{0}[-]点伤害,43 1 0|44 4 0|47 4 0,0,13680000|13680000|13680000|13680000,0,8400|8400|8400|8400,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,伤害+1200\n触发范围+5%,0,216
20000,火陷阱,0,3,20000,2,2,20001,UI/WarEquipment/icon_fire01_tex,-14 7 99|0 0 0|0 0 0,改良的陷阱，使用干草等易燃品制成，引燃触发陷阱的敌方部队，每秒造成[fed655]{0}[-]点伤害持续[fed655]{1}[-]秒,43 2 0|2 50000 0|0 0 0,101,2008000|2048000|2088000|2128000,102,10000|10400|10800|11200,0,999|999|999|999,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续伤害+40,持续伤害+40,持续伤害+40,持续时间+0.4,持续时间+0.4,持续时间+0.4,1,1,1,NULL,16,30
20001,火陷阱,1,3,20000,2,2,20002,UI/WarEquipment/icon_fire01_tex,-14 7 99|0 0 0|0 0 0,改良的陷阱，使用干草等易燃品制成，引燃触发陷阱的敌方部队，每秒造成[fed655]{0}[-]点伤害持续[fed655]{1}[-]秒,43 2 0|44 6 0|47 6 0,101,2173000|2228000|2283000|2338000,102,11600|12000|12400|12800,0,999|999|999|999,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续伤害+55,持续伤害+55,持续伤害+55,持续时间+0.4,持续时间+0.4,持续时间+0.4,1,1,1,持续伤害+45\n持续时间+0.4,18,160
20002,火陷阱,2,3,20000,2,2,20003,UI/WarEquipment/icon_fire01_tex,-14 7 99|0 0 0|0 0 0,改良的陷阱，使用干草等易燃品制成，引燃触发陷阱的敌方部队，每秒造成[fed655]{0}[-]点伤害持续[fed655]{1}[-]秒,43 2 0|44 8 0|47 8 0,101,2398000|2493000|2588000|2683000,102,13300|13700|14100|14500,0,999|999|999|999,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,持续伤害+95,持续伤害+95,持续伤害+95,持续时间+0.4,持续时间+0.4,持续时间+0.4,1,1,1,持续伤害+60\n持续时间+0.5,20,306
20003,火陷阱,3,3,20000,2,2,0,UI/WarEquipment/icon_fire01_tex,-14 7 99|0 0 0|0 0 0,改良的陷阱，使用干草等易燃品制成，引燃触发陷阱的敌方部队，每秒造成[fed655]{0}[-]点伤害持续[fed655]{1}[-]秒,43 2 0|44 12 0|47 12 0,0,2783000|2783000|2783000|2783000,0,15000|15000|15000|15000,0,999|999|999|999,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,持续伤害+100\n持续时间+0.5,0,468
30000,铁刺陷阱,0,3,30000,3,1,30001,UI/WarEquipment/icon_thorn01_tex,-15 4 95|0 0 0|0 0 0,将竹矛替换成精铁打造的铁刺，触发后对影响范围内的所有敌方部队立即造成[fed655]{0}[-]点伤害,43 2 0|2 50000 0|0 0 0,100,11350000|12112000|12874000|13636000,2,10000|10500|11000|11500,0,999|999|999|999,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,44 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,47 8 0|2 15000 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,伤害+762,伤害+762,伤害+762,基础影响范围+5%,基础影响范围+5%,基础影响范围+5%,1,1,1,NULL,16,30
30001,铁刺陷阱,1,3,30000,3,1,30002,UI/WarEquipment/icon_thorn01_tex,-15 4 95|0 0 0|0 0 0,将竹矛替换成精铁打造的铁刺，触发后对影响范围内的所有敌方部队立即造成[fed655]{0}[-]点伤害,43 2 0|44 6 0|47 6 0,100,14569000|15585000|16601000|17617000,2,12000|12500|13000|13500,0,999|999|999|999,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,44 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,47 12 0|2 38000 0|29 2 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,伤害+1016,伤害+1016,伤害+1016,基础影响范围+5%,基础影响范围+5%,基础影响范围+5%,1,1,1,伤害+933\n影响范围+5%,18,160
30002,铁刺陷阱,2,3,30000,3,1,30003,UI/WarEquipment/icon_thorn01_tex,-15 4 95|0 0 0|0 0 0,将竹矛替换成精铁打造的铁刺，触发后对影响范围内的所有敌方部队立即造成[fed655]{0}[-]点伤害,43 2 0|44 8 0|47 8 0,100,18889000|20414000|21939000|23464000,2,14000|14500|15000|15500,0,999|999|999|999,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,44 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,47 18 0|2 80000 0|29 4 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,0 0 0|0 0 0|0 0 0,伤害+1525,伤害+1525,伤害+1525,基础影响范围+5%,基础影响范围+5%,基础影响范围+5%,1,1,1,伤害+1272\n影响范围+5%,20,306
