序号,名字,图标路径,描述,模型路径,触发特效,持续特效,部队触发特效,部队持续特效,"布阵显示逻辑(0,不显示,1显示触发范围,2显示作用范围,3,都显示)","战场显示逻辑(0,不显示,1显示触发范围,2显示作用范围,3,都显示)","战场敌方可见(1,可见；0,不可见)","陷阱文字显示(0,不显示，1显示)",战场陷阱触发提示（0，不显示，1，显示）,效果持续时间,触发类型,触发目标查找类型,"触发目标阵营(0,友方,1,敌方,2,双方)",触发查找范围,触发查找目标兵种(兵种类型数值加+1：123，代表枪弓骑，14，代表枪塔),触发参数1,触发参数2,释放目标查找类型,"释放目标阵营(0,友方,1,敌方,2,双方)",最大目标数,释放查找范围,释放查找目标兵种(兵种类型数值加+1：123，代表枪弓骑，14，代表枪塔),"释放类型1(1,伤害；2,Debuff；3,特殊能力开关；4,改变士气；5,召唤)",持续时间1,作用类型1,作用参数1,绑定召唤物1（0，不绑定，1，绑定）,释放类型2,持续时间2,作用类型2,作用参数2,绑定召唤物2（0，不绑定，1，绑定）,释放类型3,持续时间3,作用类型3,作用参数3,绑定召唤物3（0，不绑定，1，绑定）,释放类型4,持续时间4,作用类型4,作用参数4,绑定召唤物4（0，不绑定，1，绑定）
id,strName,strIcon,strDesc,strModel,strTriggerFx,strLasted,strTroopTriggerFx,strTroopLasted,nShowFlag,nBattleShowFlag,nVisible,nShowTrap,nShowTriggerInfo,nLifeRound,nTrigType,nTrigFindType,nTrigFindSide,fTrigRange,nTrigMiliFiter,fTrigParam1,fTrigParam2,nEffectFindType,nEffectFindSide,nMaxTarget,fEffectRange,nEffectMiliFiter,nEffectType1,nEffectRound1,nAttrType1,fEffect1,nAttachToCreature1,nEffectType2,nEffectRound2,nAttrType2,fEffect2,nAttachToCreature2,nEffectType3,nEffectRound3,nAttrType3,fEffect3,nAttachToCreature3,nEffectType4,nEffectRound4,nAttrType4,fEffect4,nAttachToCreature4
int,string,string,string,string,string,string,string,string,int,int,int,int,int,int,int,int,int,float,int,float,float,int,int,int,float,int,int,int,int,float,int,int,int,int,float,int,int,int,int,float,int,int,int,int,float,int
1,竹矛陷阱,UI/WarEquipment/icon_bamboo02_tex,竹矛陷阱,Model/Zzgf/Zzgf_xj_dj001a_prefab,,,Effect/Zzgf/Fx_Xianjing_ZuQiang_prefab,,0,1,0,1,1,0,0,0,1,8.4,12367,0,0,0,1,1,10,12367,1,0,0,13680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,火陷阱,UI/WarEquipment/icon_fire02_tex,火陷阱,Model/Zzgf/Zzgf_xj_dj002a_prefab,,,Effect/Zzgf/Fx_XianJing_HuoYan_prefab,Battlefield/SkillFxFireState_Prefab,0,1,0,1,1,5,0,0,1,8.4,12367,0,0,0,1,1,10,12367,1,15,0,2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,铁刺陷阱,UI/WarEquipment/icon_thorn02_tex,铁刺陷阱,Model/Zzgf/Zzgf_xj_dj002b_prefab,,,Effect/Zzgf/Fx_Xianjing_TieQiang_prefab,,2,1,0,1,1,0,0,0,1,8.4,12367,0,0,0,1,10,16,12367,1,0,0,25242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,爆炸陷阱,UI/WarEquipment/icon_bomb02_tex,爆炸陷阱,Model/Zzgf/Zzgf_xj_dj003a_prefab,,,Effect/Zzgf/Fx_XianJing_BaoZha_prefab,Battlefield/SkillFxFireState_Prefab,0,1,0,1,1,5,0,0,1,8.4,12367,0,0,0,1,1,10,12367,1,0,0,68940,0,1,15,0,9192,0,0,0,0,0,0,0,0,0,0,0
5,炬石陷阱,UI/WarEquipment/icon_rockfall02_tex,炬石陷阱,Model/Zzgf/Zzgf_xj_dj004a_prefab,,,Battlefield/SkillStoneRoll_Prefab,Effect/Zzgf/Fx_Xianjing_ShiQi_prefab,2,1,0,1,1,6,0,0,1,8.4,12367,0,0,0,1,1,16,12367,2,15,13,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,瞭望台,UI/WarEquipment/icon_arrow02_tex,瞭望台,,,,,,2,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,35,12367,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,箭楼,UI/WarEquipment/icon_watchtower02_tex,箭楼,,,,,,2,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,45,12367,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,连弩楼,UI/WarEquipment/icon_crossbow02_tex,连弩楼,,,,,,2,0,1,0,0,0,0,0,0,0,12367,0,0,0,1,1,45,12367,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
