序号,描述,"所属阵营(0,己方，1，敌方）",兵种,"武将特殊能力(1,不可放技能, 2,不可移动, 3,不可被物理攻击, 4,不可被技能攻击)",武力,智力,兵力,移动速度,攻击范围,技能,机关模型,图标路径,射击点高度,存活时间（0，一直存在；非0，存在秒数）,被动技能,"属性继承包含buff(0,不继承；1继承)",属性继承百分比(0，不继承属性；非0，为继承武将属性百分比，除以1000)
id,strDesc,nSide,nMilitype,nAbility,nWu,nZhi,nBing,nSpeed,nAttackRange,nSkill,strModel,strIcon,fAttackHeight,nLifeRound,nArrPassives,nInheritBuff,nArrInheritPercent
int,string,int,int,int,int,int,int,int,int,int,string,string,float,int,int[3],int,int[3]
1,瞭望台,0,3,24,5312,0,60,0,35,0,Model/Zzgf/Zzgf_dj001a_prefab,UI/WarEquipment/icon_arrow02_tex,6.5,0,-1|-1|-1,0,0|0|0
2,箭楼,0,3,24,9992,0,182,0,45,0,Model/Zzgf/Zzgf_dj002a_prefab,UI/WarEquipment/icon_watchtower02_tex,6.5,0,-1|-1|-1,0,0|0|0
3,连弩楼,0,3,24,23052,0,672,0,45,0,Model/Zzgf/Zzgf_dj004a_prefab,UI/WarEquipment/icon_crossbow02_tex,6.5,0,-1|-1|-1,0,0|0|0
4,投石台,0,4,24,9220,0,980,0,45,0,Model/Zzgf/Zzgf_dj003a_prefab,UI/WarEquipment/icon_demolisher02_tex,1,0,-1|-1|-1,0,0|0|0
610001,瞭望台,0,3,24,80,0,100,0,35,0,Model/Zzgf/Zzgf_dj001a_prefab,UI/WarEquipment/icon_arrow02_tex,6.5,0,-1|-1|-1,0,0|0|0
620001,投石台,0,4,24,1050,0,600,0,45,0,Model/Zzgf/Zzgf_dj003a_prefab,UI/WarEquipment/icon_demolisher02_tex,1,0,-1|-1|-1,0,0|0|0
620004,连弩楼,0,3,24,1500,0,750,0,40,0,Model/Zzgf/Zzgf_dj004a_prefab,UI/WarEquipment/icon_crossbow02_tex,6.5,0,-1|-1|-1,0,0|0|0
630001,投石台,0,4,24,3000,0,1500,0,45,0,Model/Zzgf/Zzgf_dj003a_prefab,UI/WarEquipment/icon_demolisher02_tex,1,0,-1|-1|-1,0,0|0|0
630002,连弩楼,0,3,24,4200,0,1800,0,40,0,Model/Zzgf/Zzgf_dj004a_prefab,UI/WarEquipment/icon_crossbow02_tex,6.5,0,-1|-1|-1,0,0|0|0
5,木牛,0,5,4,4224,0,338,3,5,0,Model/Zzgf/Zzgf_dj005a_prefab,UI/WarEquipment/icon_cattle02_tex,1,0,-1|-1|-1,0,0|0|0
6,刃车,0,6,34,4224,0,338,6,5,0,Model/Zzgf/Zzgf_dj007a_prefab,UI/WarEquipment/icon_Edgecar02_tex,1,0,-1|-1|-1,0,0|0|0
7,盾车,0,5,4,5168,0,1760,3,5,0,Model/Zzgf/Zzgf_dj006a_prefab,UI/WarEquipment/icon_shieldcar02_tex,1,0,-1|-1|-1,0,0|0|0
8,铁甲虎车,0,5,4,17232,0,958,6,5,0,Model/Zzgf/Zzgf_dj009a_prefab,UI/WarEquipment/icon_Tigercar02_tex,1,0,-1|-1|-1,0,0|0|0
9,铁冲车,0,5,4,11488,0,1960,3,5,0,Model/Zzgf/Zzgf_dj008a_prefab,UI/WarEquipment/icon_Assaultvehicle02_tex,1,0,-1|-1|-1,0,0|0|0
102408,连弩楼,0,3,24,15000,0,35000,0,40,0,Model/Zzgf/Zzgf_dj004a_prefab,UI/WarEquipment/icon_crossbow02_tex,6.5,0,-1|-1|-1,0,0|0|0
102409,瞭望台,0,3,24,6500,0,1500,0,35,0,Model/Zzgf/Zzgf_dj001a_prefab,UI/WarEquipment/icon_arrow02_tex,6.5,0,-1|-1|-1,0,0|0|0
10000,木牛,0,5,4,0,0,0,3,5,0,Model/Zzgf/Zzgf_calling_dj005a_prefab,UI/WarEquipment/icon_cattle02_tex,1,15,-1|-1|-1,1,300|300|3200
10010,连弩楼,0,3,24,0,0,0,0,40,0,Model/Zzgf/Zzgf_dj004a_prefab,UI/WarEquipment/icon_crossbow02_tex,6.5,15,-1|-1|-1,1,1000|300|300
10020,铁甲虎车,0,5,4,0,0,0,6,5,0,Model/Zzgf/Zzgf_dj009a_prefab,UI/WarEquipment/icon_Tigercar02_tex,1,15,-1|-1|-1,1,2400|300|475
10001,木牛,0,5,4,0,0,0,3,5,0,Model/Zzgf/Zzgf_calling_dj005a_prefab,UI/WarEquipment/icon_cattle02_tex,1,10,-1|-1|-1,1,100|300|1000
10002,连弩楼,0,3,24,0,0,0,0,40,0,Model/Zzgf/Zzgf_dj004a_prefab,UI/WarEquipment/icon_crossbow02_tex,6.5,600,-1|-1|-1,1,100|300|1000
10003,铁甲虎车,0,5,4,0,0,0,6,5,0,Model/Zzgf/Zzgf_dj009a_prefab,UI/WarEquipment/icon_Tigercar02_tex,1,600,-1|-1|-1,1,100|300|1000
10021,东吴刃车,0,5,4,0,0,0,6,5,0,Model/Zzgf/Zzgf_dj007a_prefab,UI/WarEquipment/icon_Edgecar02_tex,1,30,-1|-1|-1,1,3000|300|2000
10030,木牛,0,5,4,0,0,0,3,5,0,Model/Zzgf/Zzgf_calling_dj005a_prefab,UI/WarEquipment/icon_cattle02_tex,1,15,-1|-1|-1,1,300|300|2000
10040,虎车,0,5,4,0,0,0,6,5,0,Model/Zzgf/Zzgf_dj009a_prefab,UI/WarEquipment/icon_Tigercar02_tex,1,15,-1|-1|-1,1,2000|300|500
20000,铁索,0,5,234,358,-1800,999999,0,6,92420,Model/Zzgf/Zzgf_xj_dj012_prefab,UI/WarEquipment/icon_looplock02_tex,1,0,-1|-1|-1,1,0|0|0
20001,铁蒺藜,0,5,234,557,-3100,999999,0,9,92421,Model/Zzgf/Zzgf_xj_dj008_prefab,UI/WarEquipment/icon_looplock02_tex,1,0,-1|-1|-1,1,0|0|0
20002,铁牢,0,5,234,835,-4400,999999,0,12,92422,Model/Zzgf/Zzgf_xj_dj011_prefab,UI/WarEquipment/icon_looplock02_tex,1,0,-1|-1|-1,1,0|0|0
