基本类型ID,器械名字,工坊器械类型,工坊器械类型名字,子类型,子类型名字,小图标,图标底框,工坊器械放置区域索引(1-3),工坊器械解锁ID,工坊器械解锁战力,工坊器械位置类型,工坊器械位置索引,工坊器械上级基本类型
id,strName,nType,strTypeName,nSubType,strSubTypeName,strIcon,strBroder,nAreaIndex,nLimitID,nLimitZhanli,nPosType,nPosIndex,nPreId
int,string,int,string,int,string,string,string,int,string,int,int,int,int
10000,竹矛陷阱,1,陷阱,0,陷阱,UI/WarEquipment/icon_bamboo02_tex,icon_greenbg_Tex,2,0,8800,1,0,0
20000,火陷阱,1,陷阱,0,陷阱,UI/WarEquipment/icon_fire02_tex,icon_bluebg_Tex,2,10002,18100,1,1,10000
30000,铁刺陷阱,1,陷阱,0,陷阱,UI/WarEquipment/icon_thorn02_tex,icon_bluebg_Tex,2,10002,18100,1,3,10000
40000,爆炸陷阱,1,陷阱,0,陷阱,UI/WarEquipment/icon_bomb02_tex,icon_purplebg_Tex,2,20003,39500,1,2,20000
50000,炬石陷阱,1,陷阱,0,陷阱,UI/WarEquipment/icon_rockfall02_tex,icon_purplebg_Tex,2,30003,39500,1,4,30000
60000,瞭望塔,2,机关,0,箭塔,UI/WarEquipment/icon_arrow02_tex,icon_greenbg_Tex,1,0,33800,2,0,0
70000,箭楼,2,机关,0,箭塔,UI/WarEquipment/icon_watchtower02_tex,icon_bluebg_Tex,1,60002,47100,2,1,60000
80000,连弩楼,2,机关,0,箭塔,UI/WarEquipment/icon_crossbow02_tex,icon_bluebg_Tex,1,70003,78380,2,2,70000
90000,投石台,2,机关,0,箭塔,UI/WarEquipment/icon_demolisher02_tex,icon_purplebg_Tex,1,70003,78380,2,3,70000
100000,铁索,1,陷阱,1,暗计,UI/WarEquipment/icon_looplock02_tex,icon_greenbg_Tex,2,0,8800,2,0,0
110000,铁蒺藜,1,陷阱,1,暗计,UI/WarEquipment/icon_ironball02_tex,icon_bluebg_Tex,2,100002,18100,2,1,100000
120000,铁牢,1,陷阱,1,暗计,UI/WarEquipment/icon_iron02_tex,icon_purplebg_Tex,2,110003,39500,2,2,110000
130000,瘴毒,1,陷阱,1,暗计,UI/WarEquipment/icon_gas02_tex,icon_purplebg_Tex,2,110003,39500,2,3,110000
140000,木牛,2,机关,1,机关,UI/WarEquipment/icon_cattle02_tex,icon_greenbg_Tex,1,0,33800,1,0,0
150000,刃车,2,机关,1,机关,UI/WarEquipment/icon_Edgecar02_tex,icon_bluebg_Tex,1,140002,47100,1,1,140000
160000,盾车,2,机关,1,机关,UI/WarEquipment/icon_shieldcar02_tex,icon_bluebg_Tex,1,140002,47100,1,3,140000
170000,铁甲虎车,2,机关,1,机关,UI/WarEquipment/icon_Tigercar02_tex,icon_purplebg_Tex,1,150003,78380,1,2,150000
180000,铁冲车,2,机关,1,机关,UI/WarEquipment/icon_Assaultvehicle02_tex,icon_purplebg_Tex,1,160003,78380,1,4,160000
