编号,"表现类型（1,对话;2,信件;3,图片）",NPCID(对话头像填路径/邮件头像直接填ID),事件图片名,事件特效类型(0无1火2雨3群殴),事件触发Icon,音效路径,音效延时,事件描述(对话框内容/事件描述),"触发的表现(对应本表ID列,用于下一步的表现,0为事件结束)",选项1内容,选项2内容,选项3内容
id,nType,strNpcName,strPicName,nEffectType,strEventIcon,strSoundPath,fSoundDelay,strDesc,nShowIDs,strOption1,strOption2,strOption3
int,int,string,string,int,string,string,float,string,int,string,string,string
101011,3,0,Event03_Tex,3,icon_event01_tex,null,0,城里处处张贴起了皇榜，献帝准备在荆州举办一场比武大会，来决出谁才是真正的三国第一武将！！,0,好机会！我要参加！,哼，野蛮人的比赛！,null
101021,1,npc/icon/npc302,null,3,icon_event01_tex,null,0,张让：\n不好意思，本届大会只接受智将报名，您还是等兵法大会举办时再来报名吧！,101022,null,null,null
101022,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了30点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
101031,3,0,Event06_Tex,3,icon_event01_tex,null,0,虽然没有参加比武大会，但是你居然因为押对了冠军而得到了一笔丰厚的奖金！愉悦！,101033,null,null,null
101033,3,0,Event02_Tex,3,icon_event01_tex,null,0,您在本区域的声望增长了20点！\n\n※使用声望可在国库中兑换武将专属战器碎片。,0,null,null,null
101032,3,0,Event03_Tex,3,icon_event01_tex,null,0,虽然比武大会很热闹，不过这跟我又有什么关系，我还是继续赶路吧！星辰大海才是我的梦想！,0,null,null,null
102011,3,0,Event03_Tex,3,icon_event01_tex,null,0,城里处处张贴起了皇榜，献帝准备在荆州举办一场比武大会，来决出谁才是真正的三国第一武将！！,0,我要参加！！,哼，野蛮人的比赛！,null
102021,1,npc/icon/npc17,null,3,icon_event01_tex,null,0,吕布：\n杂鱼，就你这身板也来参加比武？？？我两个手指就能捏死你！,0,嚣张得很啊！！小子！,要不我们比划比划先？,null
102031,3,0,Event06_Tex,3,icon_event01_tex,null,0,虽然没有参加比武大会，但是你居然因为押对了冠军而得到了一笔丰厚的奖金！愉悦！,102032,null,null,null
