序号,兵种(0骑1枪2弓),x坐标,z坐标,布阵x坐标,布阵z坐标
id,nMiliType,fX,fZ,fExX,fExZ
int,int,float,float,float,float
1,0,3.5,-4,2.4,-2.7429
2,0,-3.5,-4,-2.4,-2.7429
3,0,0,4,0,2.7428
4,0,2.3,0,1.5771,0
5,0,-2.3,0,-1.5772,0
6,0,0,-4,0,-2.7429
7,0,1.84,-3.97,1.0714,-2.1429
8,0,-1.84,-3.97,-1.0714,-2.1429
9,0,4.73,-0.91,0,1.4286
10,0,-4.73,-0.91,-3,0
11,0,1.84,3.96,1.25,2.8
12,0,-1.84,3.96,-1.25,2.8
13,1,0,4,0,2.75
14,1,2,0,1.375,0
15,1,-2,0,-1.375,0
16,1,2.7,4,1.8563,2.75
17,1,-2.7,4,-1.8563,2.75
18,1,4,-4,2.75,-2.75
19,1,-4,-4,-2.75,-2.75
20,1,-1.33,-4,-0.9144,-2.75
21,1,4,0,2.75,0
22,1,-4,0,-2.75,0
23,1,1.33,-4,0.9144,-2.75
24,1,2,4,1.25,2.8
25,1,-2,4,-1.25,2.8
26,1,4,2,2.5,1.4
27,1,-4,2,-2.5,1.4
28,1,4,-2,2.5,-1.4
29,1,-4,-2,-2.5,-1.4
30,1,4,4,2.5,2.8
31,1,-4,4,-2.5,2.8
32,1,2,-4,1.25,-2.8
33,1,-2,-4,-1.25,-2.8
34,1,4,-4,2.5,-2.8
35,1,-4,-4,-2.5,-2.8
36,1,0,-4,0,-2.8
37,2,2.5,2,1.6071,1.2857
38,2,-2.5,2,-1.6072,1.2857
39,2,5,0,3.2142,0
40,2,-5,0,-3.2143,0
41,2,3.5,-1.6,2.25,-1.0286
42,2,-3.5,-1.6,-2.25,-1.0286
43,2,1.5,-2.7,0.9642,-1.7358
44,2,-1.5,-2.7,-0.9643,-1.7358
45,2,0,2,0,1.2857
46,2,-0.7,-1.2,0,1.4
47,2,2.1,-0.5,1.25,1.4
48,2,-2.1,-0.5,-1.25,1.4
49,2,3,1.5,2.5,2
50,2,-3,1.5,-2.5,2
51,2,1.5,-2.5,1.25,-2.8
52,2,-1.5,-2.5,-1.25,-2.8
53,2,3.7,-0.2,2.5,-2.2
54,2,-3.7,-0.2,-2.5,-2.2
55,2,0.7,-1.2,0,-2.8
