次数,消费
id,nCost
int,int
1,60
2,80
3,160
4,280
5,360
6,360
7,360
8,450
9,450
10,450
11,450
12,450
13,450
14,450
15,450
16,450
17,450
18,450
19,450
20,450
21,450
22,450
23,450
24,450
25,450
26,450
27,450
28,450
29,450
30,450
31,450
32,450
33,450
34,450
35,450
36,450
37,450
38,450
39,450
40,450
41,450
42,450
43,450
44,450
45,450
46,450
47,450
48,450
49,450
50,450
10001,30
10002,45
10003,60
10004,75
10005,90
10006,90
10007,90
10008,90
10009,90
10010,90
10011,90
10012,90
10013,90
10014,90
10015,90
10016,90
10017,90
10018,90
10019,90
10020,90
10021,90
10022,90
