序号,处理端(1服务器2客户端),命令,功能描述,例子,备注,参数格式
id,nReciever,strCommand,strDesc,strEg,strAttention,strFormat
int,int,string,string,string,string,string
1,1,addcard,添加卡片,addcard pid 1 10 0 1  发放1张10级的真曹操,卡片等级上限为100级，进阶等级上限为3（神）|钻石卡不能发放进阶等级具体卡片id请见 csv表格中【csvcard】,[i-pid][i-cardid][i-level][i-advlevel][i-count]
2,1,addorder,,,,[i-pid][i-order]
3,1,addmoney,增加钻石,addmoney pid 100 50 增加100钻，50钻计入充值,,[i-pid][i-money][i-recharge]
4,1,addtechpower,增加科技点数,,,[i-pid][i-techpower]
5,1,addcardsoul,增加卡魂,,,[i-pid][i-cardsoul]
6,1,addrecharge,增加充值,,,[i-pid][i-recharge]
7,1,queryrecharge,,,,[i-pid][i-rechargecardindex]
8,1,notice,,,,[s-content][i-interval][i-loopcount]
9,2,show,,,,[s-case]
10,1,printability,,,,[i-pid][i-guid]
11,1,addfriendvalue,增加友情点,,,[i-pid][i-friendvalue]
12,1,addstone,增加四圣石,,四圣石id：青龙0；白虎1；朱雀2；玄武3,[i-pid][i-type][i-value]
13,1,addchallengecount,增加挑战次数,,,[i-pid][i-count]
14,1,addgodvalue,增加天运点数,,天运点数，而不是天运招募次数,[i-pid][i-value]
15,1,addarenacount,增加竞技场次数,,,[i-pid][i-count]
16,1,openlevel,,,,[i-pid][i-type][i-level]
17,1,opentask,,,,[i-pid][i-task]
18,1,openlimit,,,,[i-pid][i-limit]
19,1,openzhanli,调整战力,openzhanli pid 10000  调整战力为1000,,[i-pid][i-zhanli]
20,1,sendmail_affix0,,,,[i-pid][i-mailtype][i-textid][i-param1][i-param2][i-param3]
21,1,sendmail_affix1,,,,[i-pid][i-mailtype][i-textid][i-param1][i-param2][i-param3][i-affixtype1][i-affix1param1][i-affix1param2][i-affix1param3][i-affixnum1]
22,1,sendmail_affix2,,,,[i-pid][i-mailtype][i-textid][i-param1][i-param2][i-param3][i-affixtype1][i-affix1param1][i-affix1param2][i-affix1param3][i-affixnum1][i-affixtype2][i-affix2param1][i-affix2param2][i-affix2param3][i-affixnum2]
23,1,sendmail_affix3,,,,[i-pid][i-mailtype][i-textid][i-param1][i-param2][i-param3][i-affixtype1][i-affix1param1][i-affix1param2][i-affix1param3][i-affixnum1][i-affixtype2][i-affix2param1][i-affix2param2][i-affix2param3][i-affixnum2][i-affixtype3][i-affix3param1][i-affix3param2]
24,1,sendmail_affix4,,,,[i-pid][i-mailtype][i-textid][i-param1][i-param2][i-param3][i-affixtype1][i-affix1param1][i-affix1param2][i-affix1param3][i-affixnum1][i-affixtype2][i-affix2param1][i-affix2param2][i-affix2param3][i-affixnum2][i-affixtype3][i-affix3param1][i-affix3param2]
25,1,sendmail_affix5,,,,[i-pid][i-mailtype][i-textid][i-param1][i-param2][i-param3][i-affixtype1][i-affix1param1][i-affix1param2][i-affix1param3][i-affixnum1][i-affixtype2][i-affix2param1][i-affix2param2][i-affix2param3][i-affixnum2][i-affixtype3][i-affix3param1][i-affix3param2]
26,1,sendmail_affix6,,,,[i-pid][i-mailtype][i-textid][i-param1][i-param2][i-param3][i-affixtype1][i-affix1param1][i-affix1param2][i-affix1param3][i-affixnum1][i-affixtype2][i-affix2param1][i-affix2param2][i-affix2param3][i-affixnum2][i-affixtype3][i-affix3param1][i-affix3param2]
27,1,sendmail_affix7,,,,[i-pid][i-mailtype][i-textid][i-param1][i-param2][i-param3][i-affixtype1][i-affix1param1][i-affix1param2][i-affix1param3][i-affixnum1][i-affixtype2][i-affix2param1][i-affix2param2][i-affix2param3][i-affixnum2][i-affixtype3][i-affix3param1][i-affix3param2]
28,1,gmbatgive,,,,[i-gmcmdid][i-gmserverid][i-allplayer][s-gmsrcfile]
29,1,gmbatremove,,,,[i-gmcmdid][i-gmserverid][i-allplayer][s-gmsrcfile]
30,1,chatbanned,,,,[i-pid][i-bannedtype]
31,1,banname,,,,[s-content][i-bannedtype]
32,1,addres,,,,[i-pid][i-rewardtype][i-rewardvalue1][i-rewardvalue2][i-rewardvalue3]
33,1,openintlimit,,,,[i-pid][i-limittype][i-value]
34,1,setarenapoint,,,,[i-pid][i-value]
35,1,setarenalevel,设置竞技场等级,setarenalevel pid 4  修改竞技场等级为白银1段,段数为1-13,[i-pid][i-value]
36,1,setarenarank,,,,[i-pid][i-value]
37,1,getplrechargetotal,,,,[i-playerid]
38,1,activiatelunacard,开启月卡,activiatelunacard pid 商店id 活动id,,[i-playerid][i-activityid]
39,1,setservertime,设置服务器时间,setservertime 2014 04 01 23 59 59 |调整日期至2014年4月1日23点59分59秒,跨天必须让服务器自然跳到零点,[i-year][i-mon][i-day][i-hours][i-min][i-sec]
40,1,setantiaddiction,,,,[i-pid][i-flag][i-onlinetime]
41,1,addchallengeitem,增加挑战碎片,addchallengeitem pid 0 10  发放10个曹操觉醒之勇,挑战碎片id请见csv中表格【CSVChallenge】,[i-pid][i-index][i-num]
42,1,addweapon,增加战器,addweapon 角色ID 战器id 数量 0 强化等级 武力 智力 兵力 被动1 被动2 被动3 被动1经验 被动2经验 被动3经验 -1 |addweapon pid 1342001 2 0 15 100 100 100 1 1001 1002 10000 10000 10000 -1 |发放两把三围为100的强化15级金色枪类战器 被动为反弓 护甲 破甲,战器被动技能Id详见【CSVMagicWeaponPassiveSkillClient】,[i-pid][i-weaponCsvID][i-count][i-formulaID][i-enhanceLev][i-p0][i-p1][i-p2][i-p3][i-p4][i-p5][i-p6][i-p7][i-p8][i-p9]
43,1,decomposeweapon,分解战器,,,[i-pid]
44,1,addmaterial,增加专属战器碎片,addmaterial pid 0 100  青龙刀碎片增加100,,[i-pid][i-type][i-value]
45,1,openactivity,,,,[i-activityID]
46,1,addtopvalue,,,,[i-pid][i-type][i-value][i-param1]
47,1,addgoldkey,增加金钥匙,,,[i-pid][i-value]
48,1,addsilverkey,增加银钥匙,,,[i-pid][i-value]
49,1,addvalue,增加战争工坊资源,add value pid 44 0 10 |增加生铁44个,type:战争工坊图43 生铁44 杨木47,[i-pid][i-class][i-type][i-value]
50,1,removevalue,,,,[i-pid][i-class][i-type][i-value]
51,1,reload,,,,[i-dummy]
52,1,add_guild_exp,增加公会经验,,,[i-guild_id][i-add_exp]
53,1,set_guild_level_exp,设置公会等级与当前经验,,,[i-guild_id][i-guild_level][i-guild_exp]
54,1,setspvppoint,,,,[i-pid][i-point]
55,1,add_contribution,增加玩家贡献值,,,[i-player_id][i-add_contribution]
56,1,initcupteamdata,,,,[i-dummy]
57,1,uptseasonstate,,,,[i-dummy]
58,1,cupteamchall,,,,[i-pairIndex][i-fromPlayerIndex][i-tarPlayerIndex][i-reverse][i-fromWin]
59,1,addgift,,,,[i-mailid][i-holdtime]
60,1,taskrecovery,,,,[i-pid]
61,1,inittestdata,,,,[i-serverid][s-content]
62,1,rewardseason,,,,[i-serverid]
63,1,recoverseason,,,,[i-dummy]
64,1,setcard,,,,[i-pid][i-cardguid][i-level]
65,1,setresunit,,,,[i-pid][i-index][i-level]
66,1,set_accredit_event,设置武将派遣事件(强制设置，不走正常逻辑),,,[i-pid][i-card_guid][i-event_id]
67,1,qqadd,,,,[i-pid][i-type]
68,1,qqshowtime,在游戏中查看修改时间,qqshowtime PID 1,,[i-pid][i-type]
69,1,add_action_point,增加派遣行动点,add_action_point pid 1000 \n增加1000行动点,每次最多可发放1000,[i-pid][i-add_action_point]
70,1,test_set_accredit_event,尝试设置武将派遣事件(走全部判断逻辑),,,[i-pid][i-card_guid][i-event_id]
71,1,set_player_guild_title,设置玩家的公会职位(直接设置),,,[i-pid][i-title]
72,1,test_add_guild_huangjin,尝试增加公会玩家的黄巾击杀量,,,[i-pid][i-zhanli]
73,1,remove_member_from_guild,将玩家踢出公会,,,[i-pid][i-guild_id]
74,1,set_player_guild,将玩家加入公会,,,[i-pid][i-guild_id]
75,1,add_world_chat_count,设置玩家世界聊天次数,,,[i-pid][i-count]
