序号,奖励类型(1:公会排名奖励；2:普通战胜公会奖励；3:普通战失败公会奖励；4:连杀奖励；5:阻止连杀奖励；6:成功防御奖励),排名（类型为1时为排名；类型为2、3时为击杀数线）,邮件
id,nLevelType,nRanking,nStoneReward
int,int,int,int
1,1,1,7001
2,1,2,7002
3,1,3,7003
4,1,4,7004
5,1,5,7005
6,1,6,7006
7,1,7,7007
8,1,8,7008
9,1,9,7009
10,1,10,7010
11,1,11,7011
12,1,12,7012
13,1,13,7013
14,1,14,7014
15,1,15,7015
16,1,16,7016
17,1,17,7017
18,1,18,7018
19,1,19,7019
20,1,20,7020
21,1,21,7021
22,1,22,7022
23,1,23,7023
24,1,24,7024
25,1,25,7025
26,1,26,7026
27,1,27,7027
28,1,28,7028
29,1,29,7029
30,1,30,7030
31,1,31,7031
32,1,32,7032
33,2,0,7048
34,3,0,7049
35,4,1,20
36,4,2,25
37,4,3,30
38,4,4,35
39,4,5,40
40,4,6,40
41,4,7,40
42,4,8,40
43,4,9,40
44,4,10,40
45,5,1,0
46,5,2,5
47,5,3,10
48,5,4,20
49,5,5,30
50,5,6,30
51,5,7,30
52,5,8,30
53,5,9,30
54,5,10,30
55,6,0,0
