序号,标题,内容,类型,子类型
id,strTitle,strContent,nType,nSubType
int,string,string,int,int
0,自动战斗配置,什么是自动战斗配置？$用于确定自动战斗及被击防守时，己方武将释放出来技能的顺序。$$自动战斗怎么配置？$点击武将头像，确定武将在战斗中释放技能的顺序$举个例子：$即为第一个释放技能，以此类推。$$如需实现两个武将同时释放技能，可将这两个武将的技能释放顺序设为相同。,0,0
1,挑战,挑战规则：$$每天可以挑战15次。$选择关卡进入战斗即扣除次数。$$$扫荡规则：$$扫荡功能可直接跳过战斗获得关卡奖励。$只能对之前通关过的关卡进行扫荡。$已通过的最高关卡会显示在最高进度中。$每日系统会给予各位主公固定的挑战次数，当日扫荡次数用完，可通过少量钻石购买扫荡次数。$$$挑战奖励：$$第5战为BOSS战，胜利后必定获得1个碎片。$第10战为BOSS战，胜利后必定获得2个碎片。$第15战为BOSS战，胜利后必定获得3个碎片。$所有关卡战斗无论输赢均有招募奖励，有很大概率招募到女将哦！$每1战胜利均可获得印玉。$$$挑战消耗：$$第1战至第5战：每1战消耗10军令。$第6战至第10战：每1战消耗15军令。$第11战至第15战：每1战消耗25军令。$$$碎片说明：$$每个武将有5种碎片关，战斗胜利后获得的碎片均对应所选武将。$$$合成说明：$$将5种碎片集齐一定数量即可合成武将升星必备材料卡。$合成后的升星材料卡对应挑战入口武将。$所有武将对应的升星材料卡合成，所需5种碎片总量均为120个。根据具体武将特性，所需要的单一碎片数量会有所差异。,1,0
2,封地,封地：$$封地掠夺为跨服行为。$封地防守成功将获得系统奖励，每日最多可领取10次。,2,0
3,招募,概率公示：$$普通招募：$白卡：20%$黑卡：45%$银卡：30%$金卡：5%$$银币招募：$黑卡：23%$银卡：65%$金卡：9%$升星印：3%$$精选招募：$银卡：74%$金卡：20%$升星印：6%$$天运招募：$金卡：95%$升星印：5%$$战器招募：$黑色战器：40%$银色战器：50%$金色战器：10%$$神眷招募：$金卡：7.5%$真金卡：67.5%$鬼金卡：5%$升星印：20%$$$天运：$$所有招募行为都会增加天运值（天运招募除外）。$天运值累计满则获得一次天运招募机会，可累加。$天运招募必出金卡。$不同的招募方式增加的天运值不同。$$$免费招募：$$每天有5次免费招募机会，不累加。$免费招募有一定概率出现金卡。$每次免费可以获得2点天运值。$$$银币招募：$$银币招募有较高几率获得金卡。$银币招募不产出白卡。$每次银币招募可以获得10点天运值。$$$精选招募：$$精选招募只产出指定势力的武将。$精选招募的金卡出现几率比银币招募更高。$每次精选招募可以获得30点天运值。$$$神眷招募：$$神眷招募的金卡、觉醒印获得概率较高。$神眷招募不产出白卡、黑卡。$神眷招募每次消耗100点神眷点数。,3,0
4,升级,武将类型:$$勇将型，武力成长最高的类型。$将军型，武力与兵力成长较突出的类型。$智将型，兵力与智力成长较突出的类型。$策士型，智力成长最高的类型。$强袭勇将型，五星卡特有武将类型，在五星卡升级时各项成长值比勇将型高1点。$统帅将军型，五星卡特有武将类型，在五星卡升级时各项成长值比将军型高1点。$鬼才智将型，五星卡特有武将类型，在五星卡升级时各项成长值比智将型高1点。$天命策士型，五星卡特有武将类型，在五星卡升级时各项成长值比策士型高1点。$$$属性:$$武力，影响武将的攻击力与防御力。$智力，影响武将的技能伤害、技能持续时间、技能防御。$兵力，影响武将的生命值。$战力，判定武将战斗能力的数值。$$$5星卡升级所需血玉获得途径：$$通过分解钻石武将卡与金卡武将卡获得；$钻石武将卡可分解出3个血玉；$普通金武将卡可分解出2个血玉；$真金武将卡可分解出8个血玉；$鬼金武将卡可分解出33个血玉；$神金武将卡可分解出135个血玉；,4,0
5,进阶,进阶规则：$$同阶级、同品质的卡片才能作为祭品。$主卡需要30级才能进阶成鬼，神则需要60级。$武将初始属性越高，进阶时增加的属性也越多。,5,0
6,枪兵科技,枪兵：$$倾向于兵力，是良好的伤害承受者。$达到LV2时，获得特殊战法 —— 枪阵。$枪阵，与敌人接触前会造成多次伤害；对突击的骑兵会造成迎击，产生大量伤害。,6,0
7,弓兵科技,弓兵：$$倾向于智力，辅助和杀伤技能。$达到LV2时，获得特殊战法 —— 远射。$远射，弓兵射程加长；对开启枪阵的枪兵造成贯射，产生大量伤害。,7,0
