ID,段位,头衔,邮件id,宝箱Icon,宝箱Icon上,宝箱Icon下
id,iTitle,strTitle,iRewardMail,strBoxIcon,strBoxIconTop,strBoxIconBottom
int,int,string,int,string,string,string
0,1,青铜,6541,UI/YanWu/Icon_Box01,UI/YanWu/Icon_Box01_1,UI/YanWu/Icon_Box01_2
1,1,青铜,6542,UI/YanWu/Icon_Box02,UI/YanWu/Icon_Box02_1,UI/YanWu/Icon_Box02_2
2,1,青铜,6543,UI/YanWu/Icon_Box02,UI/YanWu/Icon_Box02_1,UI/YanWu/Icon_Box02_2
3,2,白银,6544,UI/YanWu/Icon_Box03,UI/YanWu/Icon_Box03_1,UI/YanWu/Icon_Box03_2
4,2,白银,6545,UI/YanWu/Icon_Box03,UI/YanWu/Icon_Box03_1,UI/YanWu/Icon_Box03_2
5,2,白银,6546,UI/YanWu/Icon_Box03,UI/YanWu/Icon_Box03_1,UI/YanWu/Icon_Box03_2
6,3,黄金,6547,UI/YanWu/Icon_Box04,UI/YanWu/Icon_Box04_1,UI/YanWu/Icon_Box04_2
7,3,黄金,6548,UI/YanWu/Icon_Box04,UI/YanWu/Icon_Box04_1,UI/YanWu/Icon_Box04_2
8,3,黄金,6549,UI/YanWu/Icon_Box04,UI/YanWu/Icon_Box04_1,UI/YanWu/Icon_Box04_2
9,4,大师,6550,UI/YanWu/Icon_Box05,UI/YanWu/Icon_Box05_1,UI/YanWu/Icon_Box05_2
10,4,大师,6551,UI/YanWu/Icon_Box05,UI/YanWu/Icon_Box05_1,UI/YanWu/Icon_Box05_2
11,4,大师,6552,UI/YanWu/Icon_Box05,UI/YanWu/Icon_Box05_1,UI/YanWu/Icon_Box05_2
12,5,至尊,6553,UI/YanWu/Icon_Box06,UI/YanWu/Icon_Box06_1,UI/YanWu/Icon_Box06_2
13,5,至尊,6554,UI/YanWu/Icon_Box06,UI/YanWu/Icon_Box06_1,UI/YanWu/Icon_Box06_2
14,5,至尊,6555,UI/YanWu/Icon_Box06,UI/YanWu/Icon_Box06_1,UI/YanWu/Icon_Box06_2
15,5,至尊,6556,UI/YanWu/Icon_Box07,UI/YanWu/Icon_Box07_1,UI/YanWu/Icon_Box07_2
