ID,胜场,机器人1,机器人2,机器人3,机器人4,机器人5,强度提升百分比,卡池
id,iWinCount,iRobot1,iRobot2,iRobot3,iRobot4,iRobot5,iStrength,iTheme
int,int,int,int,int,int,int,int,int
1,0,9,10,36,55,69,30,1
2,1,1,5,7,8,25,35,1
3,2,2,4,18,22,315,40,1
4,3,338,423,46,74,67,65,1
5,4,378,399,1,77,34,70,1
6,5,293,411,374,1,49,75,1
7,6,305,387,412,35,23,80,1
8,7,367,387,264,449,23,85,1
9,8,314,423,411,407,17,90,1
10,9,348,446,437,361,343,95,1
11,10,335,383,379,438,374,100,1
12,11,342,424,446,348,277,105,1
13,12,449,387,338,367,428,110,1
14,13,265,305,285,386,324,115,1
15,14,265,387,441,445,437,120,1
16,15,260,335,441,321,383,125,1
17,0,248,301,44,206,375,30,2
18,1,246,48,250,204,135,35,2
19,2,253,326,9,302,69,40,2
20,3,1,5,45,246,316,57,2
21,4,2,4,13,22,24,60,2
22,5,9,10,36,55,69,62,2
23,6,19,34,44,206,375,65,2
24,7,13,26,74,345,315,67,2
25,8,1,5,7,8,25,70,2
26,9,2,4,18,22,315,72,2
27,10,2,4,13,22,24,75,2
28,11,9,10,36,55,69,77,2
29,12,19,34,44,206,375,80,2
30,13,13,26,74,345,315,85,2
31,14,1,5,7,8,25,90,2
32,15,2,4,18,22,315,95,2
33,0,1,316,250,25,49,30,3
34,1,19,44,8,375,21,35,3
35,2,382,375,261,8,52,40,3
36,3,5,441,7,390,8,57,3
37,4,338,449,434,61,428,60,3
38,5,314,256,374,390,7,62,3
39,6,335,383,379,438,52,65,3
40,7,260,379,383,441,438,67,3
41,8,256,374,390,432,334,70,3
42,9,338,428,449,387,368,72,3
43,10,314,374,457,334,390,75,3
44,11,335,383,379,441,438,77,3
45,12,260,338,449,387,441,80,3
46,13,314,374,457,334,390,85,3
47,14,335,383,379,441,438,90,3
48,15,260,338,449,387,441,95,3
49,0,9,10,36,55,69,30,4
50,1,1,5,7,8,25,35,4
51,2,2,4,18,22,315,40,4
52,3,338,423,46,74,67,57,4
53,4,378,399,1,77,34,60,4
54,5,293,411,374,1,49,62,4
55,6,305,387,412,35,23,65,4
56,7,367,387,264,449,23,67,4
57,8,314,423,411,407,17,70,4
58,9,348,446,437,361,343,72,4
59,10,335,383,379,438,374,75,4
60,11,342,424,446,348,277,77,4
61,12,449,387,338,367,428,80,4
62,13,265,305,285,386,324,85,4
63,14,265,387,441,445,437,90,4
64,15,260,335,441,321,383,95,4
65,0,437,268,276,298,395,30,5
66,1,256,286,390,313,432,35,5
67,2,367,427,289,394,398,40,5
68,3,272,339,383,357,378,65,5
69,4,314,334,313,390,256,70,5
70,5,260,379,339,441,383,75,5
71,6,335,383,379,387,438,80,5
