ID,主题卡库,图标,标题,描述,加成类型ID
id,iPool,strIcon,strTitle,strContent,iBonusType
int,int,string,string,string,int
1,1,bg_YanWu_SiGuo_Tex,四国争锋,包含四国所有的金卡和钻卡武将,0
2,2,bg_YanWu_JinKa_Tex,金将传奇,包含四国所有的金卡武将,0
3,3,bg_YanWu_Qi_Tex,一骑绝尘,包含四国所有金卡和钻卡中的骑兵武将,0
4,4,bg_YanWu_NvJiang_Tex,巾帼红颜,包含四国所有金卡和钻卡中的女性武将,0
5,5,bg_YanWu_Qi_Tex,骑射天下,包含四国所有钻卡中的骑兵和弓兵武将,0
6,6,bg_YanWu_5Star_Tex,五星传奇,包含四国所有的五星钻卡武将,0
7,6,bg_YanWu_ShiQi_Tex,士气高涨,包含四国所有的五星钻卡武将\n战场中士气回复的速度增加100%,92412
8,6,bg_YanWu_3v3_Tex,三英对战,包含四国所有的五星钻卡武将\n战斗最多可上阵3名武将,92409
9,7,bg_YanWu_4Star_Tex,四星经典,包含四国所有的四星金卡武将,0
10,7,bg_YanWu_ShiQi_Tex,士气高涨,包含四国所有的四星金卡武将\n战场中士气回复的速度增加100%,92412
11,7,bg_YanWu_3v3_Tex,三英对战,包含四国所有的四星金卡武将\n3vs3 最多仅可上阵3名武将,92409
12,8,bg_YanWu_GongQi_Tex,骑射天下,包含四国所有钻卡中的骑兵和弓兵武将,0
13,8,bg_YanWu_ShiQi_Tex,士气高涨,包含四国所有钻卡中的骑兵和弓兵武将\n战场中士气回复的速度增加100%,92412
14,8,bg_YanWu_3v3_Tex,三英对战,包含四国所有钻卡中的骑兵和弓兵武将\n3vs3 最多仅可上阵3名武将,92409
15,9,bg_YanWu_WuShu_Tex,吴蜀联军,包含吴蜀两国所有的钻卡武将,0
16,9,bg_YanWu_ShiQi_Tex,士气高涨,包含吴蜀两国所有的钻卡武将\n战场中士气回复的速度增加100%,92412
17,9,bg_YanWu_3v3_Tex,三英对战,包含吴蜀两国所有的钻卡武将\n3vs3 最多仅可上阵3名武将,92409
18,10,bg_YanWu_WeiQun_Tex,魏群会盟,包含魏群两国所有的钻卡武将,0
19,10,bg_YanWu_ShiQi_Tex,士气高涨,包含魏群两国所有的钻卡武将\n战场中士气回复的速度增加100% ,92412
20,10,bg_YanWu_3v3_Tex,三英对战,包含魏群两国所有的钻卡武将\n3vs3 最多仅可上阵3名武将,92409
