id,场景,起点位置,终点高度,大小
id,nScence,strPosition,fTargetHight,nSize
int,int,string,float,float
1,3,11.33|2.13|-4.13,20,1
2,3,11.3|3.84|14.98,20,1
3,3,12.29|4.53|16.08,20,1
4,3,15.03|10.02|13.72,20,1
5,3,11.08|11.31|24.19,20,1
6,3,13.85|4.01|36.46,20,1
7,3,13.55|3.51|37.46,20,1
8,3,13.55|5.31|37.06,20,1
9,3,14.33|3.52|38.23,20,1
10,3,13.66|6.69|42.46,20,1
11,3,19.41|4.36|44.87,20,1
12,3,22.38|3.36|47.28,20,1
13,3,30.23|4.84|44.24,20,1
14,3,38.58|6.01|57.05,20,1
15,3,41.15|5.15|62.97,20,1
16,3,41.67|9.07|71.37,20,1
17,3,47.41|9.47|77.68,20,1
18,3,46.77|7.85|90.79,20,1
19,3,44.64|5.33|95.14,20,1
20,3,44.64|10.82|96.14,20,1
21,3,44.97|9.92|106.21,20,1
22,3,47.44|9.92|109.75,20,1
23,3,48.33|11.09|125.44,20,1
24,3,58.31|18.54|131.23,20,1
25,3,3.45|3.57|73.65,20,1
26,3,3.45|6.64|73.24,20,1
27,3,2.15|5.86|85.05,20,1
28,3,2.15|6.84|88.21,20,1
29,3,3.24|7.69|92.91,20,1
30,2,-5.39|0.97|-30.17,20,1
31,2,0.27|3.99|-32.19,20,1
32,2,3.65|4.57|-32.36,20,1
33,2,5.05|6.57|-31.44,20,1
34,2,8.81|3.11|-31.24,20,1
35,2,10.51|2.95|-29.45,20,1
36,2,10.94|3.95|-27.86,20,1
37,2,12.82|7.88|-25.34,20,1
38,2,14.79|6.93|-22.26,20,1
39,2,16.61|2.74|-19.55,20,1
40,2,16.77|3.29|-19.21,20,1
41,2,18.91|4.31|-18.26,20,1
42,2,18.81|5.31|-15.78,20,1
43,2,19.79|5.93|-8.09,20,1
44,2,19.79|2.19|-5.03,20,1
45,2,27.82|0.87|-3.84,20,1
46,2,34.51|0.87|3.05,20,1
47,2,34.51|1.83|9.84,20,1
48,2,32.85|2.45|12.98,20,1
49,2,27.71|4.52|21.09,20,1
50,2,20.89|2.88|38.45,20,1
51,2,10.47|8.85|45.52,20,1
52,2,5.39|9.51|47.77,20,1
53,2,0.02|9.51|51.95,20,1
54,2,-5.35|7.51|56.13,20,1
55,2,-2.44|5.15|55.09,20,1
56,2,-8.43|2.32|58.57,20,1
57,2,-13.99|1.35|58.64,20,1
58,4,9.79|2.14|-13.09,20,1
59,4,10.57|2.65|-16.37,20,1
60,4,15.91|3.25|-14.22,20,1
61,4,18.66|4.65|-15.95,20,1
62,4,18.53|5.65|-13.04,20,1
63,4,21.54|3.25|-13.93,20,1
64,4,27.94|1.53|-10.54,20,1
65,4,32.04|3.36|-8.25,20,1
66,4,33.27|4.02|-4.03,20,1
67,4,32.41|3.97|-0.69,20,1
68,4,35.17|2.85|2.83,20,1
69,4,35.17|5.89|7.45,20,1
70,4,36.58|5.35|9.72,20,1
71,4,37.12|6.39|11.64,20,1
72,4,38.62|7.03|14.83,20,1
73,4,41.23|5.44|17.18,20,1
74,4,43.14|7.27|20.91,20,1
75,4,43.34|5.61|24.97,20,1
76,4,44.55|6.69|32.55,20,1
77,4,44.01|5.43|39.15,20,1
78,4,44.01|6.78|44.75,20,1
79,4,47.21|5.49|46.39,20,1
80,4,55.81|5.9|55.87,20,1
81,4,60.65|6.87|74.78,20,1
82,4,63.12|5.58|82.27,20,1
83,4,-4.64|2.97|17.19,20,1
84,4,-3.27|4.65|17.19,20,1
85,4,-3.27|4.65|20.79,20,1
86,4,-1.72|3.81|25.85,20,1
87,4,-0.31|3.38|26.25,20,1
88,4,-1.75|2.02|24.25,20,1
