关卡ID,关卡类型(普通副本值为0，英雄副本为1，百战之路3，挑战副本为7）,章,关卡名,战役名,战役序号,大关卡序号,是否是城池（可争夺）,胜利条件,关卡地图,战器掉落ID,掉落最大数量,掉落物品1,掉落物品2,掉落物品3,掉落物品4,阵型类型,角色1,角色2,角色3,角色4,角色5,将魂将领id(1-5),将魂将领技能,部队技能(符文套装),技能优先级1,技能优先级2,技能优先级3,技能优先级4,技能优先级5,关卡图标位置索引,图标连线类型（0为无连线1为上2为下4为左8为右/如果有多条则按位与）,关卡描述,需求军令,需求战力,需求解锁关卡,标准战力,抽卡类型,挑战产出类型,挑战产出数量,产出碎片概率,产出碎片数量,兄弟关1,兄弟关2,入场回合
id,nType,strChapterID,strChaperName,strSectionName,nSectionID,nTaskGroupID,isCity,nVictoryCondition,nMap,nDropBagID,nDropMaxCount,nDropWeapon1,nDropWeapon2,nDropWeapon3,nDropWeapon4,nStrategy,nWarrior0,nWarrior1,nWarrior2,nWarrior3,nWarrior4,nJiangHunId,nJiangHunWarrior,nTroopRuneSkill,nSkillPriority1,nSkillPriority2,nSkillPriority3,nSkillPriority4,nSkillPriority5,nIconDummyIndex,nLinkType,strDesc,nNeedMilitaryOrder,nNeedZhanli,nNeedLevel,nStandardZhanli,nCardLotteryType,nExtraType,nExtraNum,fItemPro,nItemNum,nBrother1,nBrother2,nJoinRound
int,int,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,int,int,int,int,float,int,int,int,int
90000,3,第一章,再遇张角,黄巾民兵之逆袭,0,0,0,1,0,10013,1,0,0,0,0,1200000,7210101,7210102,7210103,7210104,7210105,2,90,92401,345,2,1,2,1,7,0,黄巾民兵经过艰苦卓绝的训练，已经不可同日而语，虽然有个致命的缺陷……,5,0,0,1000,8,0,0,0,0,0,0,0
90001,3,百战之路,百战之路,第1关,1,0,0,1,0,0,1,0,0,0,0,1200001,9000001,9000002,9000003,9000004,9000005,0,0,92402,32,1,4,2,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90002,3,百战之路,百战之路,第2关,2,0,0,1,0,0,1,0,0,0,0,1200002,9000006,9000007,9000008,9000009,9000010,0,0,92403,21,3,5,0,3,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90003,3,百战之路,百战之路,第3关,3,0,0,1,0,0,1,0,0,0,0,1200003,9000011,9000012,9000013,9000014,9000015,1,30,92401,31,4,5,3,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90004,3,百战之路,百战之路,第4关,4,0,0,1,0,0,1,0,0,0,0,1200004,9000016,9000017,9000018,9000019,9000020,1,30,92402,54,3,1,2,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90005,3,百战之路,百战之路,第5关,5,0,0,1,0,0,1,0,0,0,0,1200005,9000021,9000022,9000023,9000024,9000025,2,30,92403,432,5,2,2,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90006,3,百战之路,百战之路,第6关,6,0,0,1,0,0,1,0,0,0,0,1200006,9000026,9000027,9000028,9000029,9000030,1,60,92401,524,1,3,2,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90007,3,百战之路,百战之路,第7关,7,0,0,1,0,0,1,0,0,0,0,1200007,9000031,9000032,9000033,9000034,9000035,1,60,92402,42,3,1,5,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90008,3,百战之路,百战之路,第8关,8,0,0,1,0,0,1,0,0,0,0,1200008,9000036,9000037,9000038,9000039,9000040,1,60,92403,523,4,1,3,5,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90009,3,百战之路,百战之路,第9关,9,0,0,1,0,0,1,0,0,0,0,1200009,9000041,9000042,9000043,9000044,9000045,1,120,92401,352,1,1,1,1,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90010,3,百战之路,百战之路,第10关,10,0,0,1,0,0,1,0,0,0,0,1200010,9000046,9000047,9000048,9000049,9000050,3,60,92402,253,4,3,2,0,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
90011,3,百战之路,百战之路,第11关,11,0,0,1,0,0,1,0,0,0,0,1200011,9000051,9000052,9000053,9000054,9000055,1,30,92403,43,1,5,2,4,7,0,百战之路，胜者为王,5,0,0,1000,8,0,0,0,0,0,0,0
