序号,关卡ID索引（CSVLevel.csv）,机关效果索引(CSVEquipmentEffect.csv),机关位置X,机关位置Y,备注(填任意信息)
id,nLevelID,nEquipmentEffectID,fPosX,fPosY,strDes
int,int,int,float,float,string
1,601001,610001,28,8,瞭望塔
2,601001,610001,28,-8,瞭望塔
3,601001,610002,21,16,火陷阱
4,601001,610003,21,0,铁刺陷阱
5,601001,610002,21,-16,火陷阱
6,602001,620001,14,16,投石台
7,602001,620001,14,-16,投石台
8,602001,620002,0,0,爆炸陷阱
9,602001,620003,-7,16,炬石陷阱
10,602001,620003,-7,-16,炬石陷阱
11,603001,630001,-7,16,投石台
12,603001,630002,-7,-16,连弩楼
13,603001,630004,-21,16,火陷阱
14,603001,630003,-21,0,爆炸陷阱
15,603001,630004,-21,-16,火陷阱
16,611001,610001,21,24,瞭望塔
17,611001,610001,21,-24,瞭望塔
18,611001,610003,14,24,铁刺陷阱
19,611001,610003,14,0,铁刺陷阱
20,611001,610003,14,-24,铁刺陷阱
21,612001,620004,0,16,连弩楼
22,612001,620004,0,-16,连弩楼
23,612001,620002,0,16,爆炸陷阱
24,612001,620002,0,0,爆炸陷阱
25,612001,620002,0,-16,爆炸陷阱
26,613001,630002,28,24,连弩楼
27,613001,630002,28,-24,连弩楼
28,613001,630003,21,32,爆炸陷阱
29,613001,630003,21,0,爆炸陷阱
30,613001,630003,21,-32,爆炸陷阱
31,267,999,-35,-8,竹矛陷阱
32,267,999,-35,8,竹矛陷阱
33,267,999,-35,-16,竹矛陷阱
34,267,999,-35,16,竹矛陷阱
35,268,1000,-28,-16,竹矛陷阱
36,268,1001,-7,0,火陷阱
37,268,1002,-28,16,炬石陷阱
38,269,1001,-14,-24,火陷阱
39,269,1001,-24,-8,火陷阱
40,269,1001,-24,16,火陷阱
41,283,1050,-7,16,连弩楼
42,283,1004,-7,8,竹矛陷阱
43,283,1004,-14,16,竹矛陷阱
44,283,1004,-7,32,竹矛陷阱
45,284,1051,-7,-40,瞭望塔
46,284,1051,-7,-24,瞭望塔
47,284,1051,-7,-8,瞭望塔
48,284,1051,-7,8,瞭望塔
49,284,1051,-7,24,瞭望塔
50,284,1051,-7,40,瞭望塔
51,288,1003,63,-8,爆炸陷阱
52,288,1003,63,8,爆炸陷阱
53,288,1003,70,-16,爆炸陷阱
54,288,1003,70,16,爆炸陷阱
