序号,类型 0:枪|1:弓|2:骑,武将风格,类型名,名字,国家 1:魏|2:蜀|3:吴|4:他,品质,人物等级,等级,武力,智力,兵力,士气,技能,被动技能1,被动技能2,被动技能3,被动技能,兵种等级,战器淬炼（CSVMagicWeaponSmeltAttr.csv）,性别(1男2女）,持续周期,Boss,互斥Id,默认x,默认y,默认战法,小图片atlas,小图片sprite,大图片,技能语音,死亡语音
id,nType,nStyle,strTypeName,strName,nCountry,nQuality,nCardLevel,nLevel,fForce,fIntelligence,fTroops,fMoral,nSkill,nPassiveSkill1,nPassiveSkill2,nPassiveSkill3,strPassiveSkills,nSoldireTechLevel,strSmeltAttr,nGender,nLifeRound,nBoss,nTroopId,fPosX,fPosY,nZhanfa,strAtlas,strSprite,strCard,strSkillVoice,strDeathVoice
int,int,int,string,string,int,int,int,int,float,float,float,float,int,int,int,int,string,int,string,int,int,int,int,float,float,int,string,string,string,string,string
11011,0,1,枪,黄巾民兵,4,1,1,1,45,45,40,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2005,card2005,warrior/6S_05n,warrior/6D_01
11021,0,2,枪,黄巾民兵,4,1,1,1,45,45,31,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2005,card2005,warrior/6S_06,warrior/6D_02
11022,0,3,枪,张曼成,4,2,1,2,46,46,31,0,10010201,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2031,card2031,warrior/4S_03,warrior/4D_04
11031,0,4,枪,黄巾民兵队长,4,1,1,1,47,47,31,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2005,card2005,warrior/5S_04n,warrior/5D_03n
11032,1,1,弓,黄巾民兵队长,4,1,1,1,46,46,23,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2005,card2005,warrior/4S_06,warrior/4D_04
11041,0,2,枪,张燕,4,2,1,2,49,48,32,0,20010401,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2003,card2003,warrior/2S_04,warrior/2D_04
11042,1,3,弓,黄巾弓兵,4,1,1,1,48,48,24,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2010,card2010,warrior/1S_05n,warrior/1D_03n
11051,0,4,枪,黄巾枪兵,4,1,1,1,53,52,37,0,0,-1,-1,-1,null,1,null,1,0,0,0,0,0,0,SmallCardAtlas,UITexture/card_list/scard2029,card2029,warrior/4S_02n,warrior/4D_01
