序号,描述
id,strDesc
int,string
1,骑兵善于突进和包抄，对弓兵拥有较大的杀伤力，魏国拥有大量优质的骑兵。
2,兵种之间存在克制关系，攻击相克兵种可以造成更多的伤害：骑克弓，弓克枪，枪克骑。
3,智力能提高伤害和治疗技能的效果，同时也可以延长强化和弱化效果的持续时间。
4,迎击效果只在开启枪阵的枪兵接触到开启突击的骑兵时触发，同时造成致命的伤害。
5,高智力能大幅降低受到的技能伤害，同时也可以缩短被弱化效果影响的时间。
6,弓兵多为战术兵种，吴国盛产能够瞬间对敌方造成大量技能伤害的优质弓兵。
7,被动标签能进一步强化卡片能力，钻卡大多拥有3个被动标签。
8,掠夺玩家的封地可以获得玩家未收取的卡魂，所以勤收取也能减少被掠夺的损失。
9,兵种攻击被克制的兵种时会造成更多的伤害，科技可以进一步强化这种克制关系。
10,卡片进阶除了提高属性以外，技能效果也会发生变化，但需要3张同阶的祭品卡。
11,开启枪阵的枪兵在敌方部队进入枪尖范围内后，会持续造成伤害，直至双方开始肉搏。
12,弓兵不宜近身战斗，部分弱化技能的减速配合弓兵的射程，能起到意想不到的效果。
13,弓兵近身战斗能力较弱，巧妙利用骑兵的速度和进行路线才能有效打击对手的弓兵。
14,在科技中将兵种升级至2级，就可以开启相应兵种的特殊阵型，从而大幅提高兵种战斗能力。
15,武将分为勇将，将军，智将和策士，不同类型的武将，其强化后的属性分配也不同。
16,枪兵通常作为肉盾使用，但枪兵的迎击同样能造成可观的伤害，蜀国便拥有大量优质的枪兵。
17,突击阵型的骑兵在首次接触敌方部队时会发动一次突击伤害，但对枪兵无效。
18,使用高级传承可以完全继承原有武将的四圣石等级，但是消耗也将翻倍。
19,部分技能释放时会消耗自身一定兵力，但技能效果也会大幅提高。
20,科技强化对所有相应兵种的武将卡片均有加成效果。
21,战斗技巧：尽量让技能影响到更多的目标。
22,贯穿射击会造成可观的伤害，但只在开启远射阵型的弓兵首次攻击开启枪阵的枪兵时触发。
23,对于持续伤害型技能，若能在其释放技能之前弱化他的智力，那他的伤害技能持续时间和伤害都将大大缩水。
24,一个好的阵型不仅需要一个强力的核心武将，更需要一些合适的辅助型武将。
25,随从进阶等级越高，属性转化为主将属性的百分比越高。
26,技能组合使用会获得更强的效果，但需要积攒更多的士气而失去释放的先机。
27,随从的属性将百分比转化为主将的相应属性，所加属性的种类和随从的职能相关。
28,女将除了能上阵杀敌，还能作为侍女提高战斗初始的士气值，获得技能释放的先机。
29,竞技场的参与次数是有限的，当次数消耗为0时，你可以等到下个整点次数回复后再来。
30,每个好友每天只能为你提供一次援军计，请珍惜他们的出场机会。
31,卡片分解获得的卡魂，血玉可以用于升级其他卡片和战器。
32,治疗类技能可以增强武将的生存能力，善于利用将可能扭转战局。
33,挑战模式每天有15次机会，战后将有较大几率招募到女将卡片和四星卡片。
34,四圣石可以额外提升武将卡片的属性，青龙石可以提升武将的武力、智力、兵力属性。
35,每日免费的五次招募也有一定概率得到金卡武将。
36,高等级封地将产出大量卡魂，征战的同时建设好封地才能越来越强。
37,精英关卡是科技锤子的主要来源，普通关卡同时也会产出一部分。
38,四圣石可以额外提升武将卡片的属性，白虎石可以提升武将的武力、兵力属性。
39,满足联协条件的随从能够额外提供属性的加成。
40,援军技能不消耗士气值，可以在战场中任意时刻直接释放。
41,有些武将生来就是为了配合而存在的，五名武将共同发挥作用，才能形成一个好阵型。
42,有时候一名武将的技能看上去不怎么实用，但当他和其他武将配合时，却能发挥1加1大于2的效果。
43,四圣石可以额外提升武将卡片的属性，朱雀石可以提升武将的智力、兵力属性。
44,战力值最高的武将将会自动被设定为提供给好友选择的援军。
45,四圣石可以额外提升武将卡片的属性，玄武石可以大幅提升武将的兵力属性。
46,富商卡片没有任何实战能力，他们唯一的优点就是——有钱，试着分解他们吧，会有意外惊喜。
47,挑战模式现在不止产出女将卡片和四星卡片，还有可能获得四星卡升星的必须材料。
48,参与黄巾入侵活动，不仅可以获得大量卡魂，还有可能得到传承券和漆盘券呢~
49,参与富商快跑活动可以得到大量的卡魂，随着战力等级的提升，获得的卡魂也会增多。
50,参与竞技场可以得到丰富的奖励，每场战斗之后还有几率掉落珍贵的四圣石。
51,一些武将的技能不仅能对一方部队有效，也会同时影响敌我双方部队，在使用技能之前最好搞清楚他的全部效果。
52,不要因为战败而气馁，试着改变技能释放顺序或者通过其他途径提升自己的战斗力，君子报仇，啥时候都不晚。
53,五星卡分为觉醒系和堕天系，觉醒系主要是在原有四星卡基础上进行技能和数值的强化。
54,将一个武将变身为五星卡之后，其连携也可能发生改变。
55,升星所需要的材料除了对应的觉醒印、堕天印之外，还需要一些印玉，这些材料都可以从挑战模式中获得。
56,五星卡分为觉醒系和堕天系，堕天系相对于原有四星卡的定位，会改变其技能逻辑，有时也会改变他的兵种。
57,每个武将都有其专属的觉醒印和堕天印，不同武将的印是不可以通用的。
58,挑战关卡中每5战都是BOSS战，BOSS战必定掉落印之碎片，碎片是合成觉醒印或堕天印的必须材料。
59,五星卡的升级除了卡魂之外，还要用到血玉，血玉可以通过分解金卡获得，金卡品级越高，分解得到的血玉也越多。
60,升星的四星卡必须满足80级鬼级以上的品级，当然，如果你使用神卡升星可以获得更高的五星卡基础等级。
61,选择堕天系还是觉醒系？这取决于主公们的阵容和打法，不要小看了任何一张卡片，使用得当，他总能发挥作用。
62,经常关注“活动”列表或游戏公告，可以提前发现更多有趣的活动。
63,“天变”型技能可以改变战场的天气情况，天气会对法术伤害技能的效果造成影响。
