随机ID,抽卡类型,卡片ID,卡片等级,卡片进阶等级,备注
id,nGroupType,nCardID,nLevel,nAdvLevel,strNotes
int,int,int,int,int,string
1,1,12,1,0,免费抽卡金卡
2,1,13,1,0,免费抽卡金卡
3,1,15,1,0,免费抽卡金卡
4,1,16,1,0,免费抽卡金卡
5,1,17,1,0,免费抽卡金卡
6,1,22,1,0,免费抽卡金卡
7,1,23,1,0,免费抽卡金卡
8,1,24,1,0,免费抽卡金卡
9,1,25,1,0,免费抽卡金卡
10,1,26,1,0,免费抽卡金卡
11,1,27,1,0,免费抽卡金卡
12,1,31,1,0,免费抽卡金卡
13,1,36,1,0,免费抽卡金卡
14,1,49,1,0,免费抽卡金卡
15,1,52,1,0,免费抽卡金卡
16,1,55,1,0,免费抽卡金卡
17,1,61,1,0,免费抽卡金卡
18,1,69,1,0,免费抽卡金卡
19,1,35,1,0,免费抽卡金卡
20,1,59,1,0,免费抽卡金卡
21,2,29,1,0,免费抽卡银卡
22,2,30,1,0,免费抽卡银卡
23,2,32,1,0,免费抽卡银卡
24,2,33,1,0,免费抽卡银卡
25,2,37,1,0,免费抽卡银卡
26,2,38,1,0,免费抽卡银卡
27,2,39,1,0,免费抽卡银卡
28,2,41,1,0,免费抽卡银卡
29,2,42,1,0,免费抽卡银卡
30,2,43,1,0,免费抽卡银卡
31,2,45,1,0,免费抽卡银卡
32,2,47,1,0,免费抽卡银卡
33,2,50,1,0,免费抽卡银卡
34,2,51,1,0,免费抽卡银卡
35,2,53,1,0,免费抽卡银卡
36,2,56,1,0,免费抽卡银卡
37,2,57,1,0,免费抽卡银卡
38,2,60,1,0,免费抽卡银卡
39,2,63,1,0,免费抽卡银卡
40,2,64,1,0,免费抽卡银卡
41,2,66,1,0,免费抽卡银卡
42,2,68,1,0,免费抽卡银卡
43,2,70,1,0,免费抽卡银卡
44,2,71,1,0,免费抽卡银卡
45,2,72,1,0,免费抽卡银卡
46,2,73,1,0,免费抽卡银卡
47,2,75,1,0,免费抽卡银卡
48,2,76,1,0,免费抽卡银卡
49,2,78,1,0,免费抽卡银卡
50,2,83,1,0,免费抽卡银卡
51,2,87,1,0,免费抽卡银卡
52,2,88,1,0,免费抽卡银卡
53,2,91,1,0,免费抽卡银卡
54,2,92,1,0,免费抽卡银卡
55,2,100,1,0,免费抽卡银卡
56,2,102,1,0,免费抽卡银卡
57,2,104,1,0,免费抽卡银卡
58,2,196,1,0,免费抽卡银卡
59,2,82,1,0,免费抽卡银卡
60,2,121,1,0,免费抽卡银卡
61,2,191,1,0,免费抽卡黑卡
62,3,54,1,0,免费抽卡黑卡
63,3,65,1,0,免费抽卡黑卡
64,3,84,1,0,免费抽卡黑卡
65,3,85,1,0,免费抽卡黑卡
66,3,86,1,0,免费抽卡黑卡
