抽卡类型,消耗资源类型(战场:-1|免费:0|天运:1|钻石:2|神眷:3|界石:4),消耗资源数量,获得天运值,额外赠送卡魂数量,描述,卡片展示,简要标题,背景框
id,nResType,nResCount,nGodValue,nExtraResCount,nDesc,strCardDesc,strTitle,strBg
int,int,int,int,int,string,string,string,string
1,0,1,2,0,免费抽卡，每日5次，不产出女将卡,135,免费招募,Common/Bg/Bg_Free_Tex
2,2,60,10,1000,银币抽卡，低级付费抽卡，不产白卡,74,银币招募,Common/Bg/Bg_Diamond_Tex
3,1,100,0,0,天运抽卡，只产出金卡,10|20|22|4|5|206|2|1,null,null
4,2,190,30,3000,魏国精选抽卡，高级付费抽卡，只产出魏国，不产出白卡,457,魏国精选,Common/Bg/Bg_Diamond_Tex
5,2,190,30,3000,蜀国精选抽卡，高级付费抽卡，只产出魏国，不产出白卡,449,蜀国精选,Common/Bg/Bg_Diamond_Tex
6,2,190,30,3000,吴国精选抽卡，高级付费抽卡，只产出魏国，不产出白卡,466,吴国精选,Common/Bg/Bg_Diamond_Tex
7,2,190,30,3000,群雄精选抽卡，高级付费抽卡，只产出魏国，不产出白卡,416,群雄精选,Common/Bg/Bg_Diamond_Tex
8,-1,8,0,0,战场抽卡1-4章,0,null,null
9,-1,9,0,0,战场抽卡5-8章,0,null,null
10,-1,10,0,0,战场抽卡9-12章,0,null,null
11,-1,11,0,0,战场抽卡12-16章,0,null,null
12,-1,12,0,0,挑战第一章普通抽卡,0,null,null
13,-1,13,0,0,挑战第一章Boss抽卡,0,null,null
14,-1,14,0,0,挑战第二章普通抽卡,0,null,null
15,-1,15,0,0,挑战第二章Boss抽卡,0,null,null
16,-1,16,0,0,挑战第三章普通抽卡,0,null,null
17,-1,17,0,0,挑战第三章Boss抽卡,0,null,null
18,-1,18,0,0,普通关卡前三关的抽卡,0,null,null
19,-1,19,0,0,挑战第四章普通抽卡,0,null,null
20,-1,20,0,0,挑战第四章Boss抽卡,0,null,null
21,-1,21,0,0,挑战第五章普通抽卡,0,null,null
22,-1,22,0,0,挑战第五章Boss抽卡,0,null,null
23,-1,23,0,0,挑战第六章普通抽卡,0,null,null
24,-1,24,0,0,挑战第六章Boss抽卡,0,null,null
25,-1,25,0,0,新挑战第一轮概率,0,null,null
26,-1,26,0,0,新挑战第二轮概率,0,null,null
27,-1,27,0,0,新挑战第三轮概率,0,null,null
1000,2,52,0,950,战器抽卡,320|7998,普通宝箱|至尊宝箱,Common/Bg/Bg_Free_Tex|Common/Bg/Bg_Diamond_Tex
102,2,60,10,0,银币五连抽保底,0,null,null
103,1,100,0,0,天运五连抽卡，只产出金卡,0,null,null
104,2,190,30,0,魏国精选五连抽保底,0,魏国精选,Common/Bg/Bg_Diamond_Tex
105,2,190,30,0,蜀国精选五连抽保底,0,蜀国精选,Common/Bg/Bg_Diamond_Tex
106,2,190,30,0,吴国精选五连抽保底,0,吴国精选,Common/Bg/Bg_Diamond_Tex
107,2,190,30,0,群雄精选五连抽保底,0,群雄精选,Common/Bg/Bg_Diamond_Tex
200,3,100,30,0,神眷抽卡,0,null,null
201,4,1,0,0,万界招募,0,null,null
