序号,基础属性,特殊属性ID,特殊属性个数,属性初始经验,被动初始经验
id,strBaseAttr,nUltraAttrBag,nUltraCount,nInitAttrExp,nInitSkillExp
int,string,int,int,int,int
10101,12|12|12,101,1,0,0
11101,10-16|6-13|13-20,101,1,0,0
12101,10-16|10-16|10-16,101,1,0,0
13101,13-20|6-13|10-16,101,1,0,0
14101,10-16|10-16|10-16,101,1,0,0
15101,10-16|13-20|6-13,101,1,0,0
11102,10-16|6-13|13-20,102,1,0,0
12102,10-16|10-16|10-16,102,1,0,0
13102,13-20|6-13|10-16,102,1,0,0
14102,10-16|10-16|10-16,102,1,0,0
15102,10-16|13-20|6-13,102,1,0,0
11103,10-16|6-13|13-20,103,1,0,0
12103,10-16|10-16|10-16,103,1,0,0
13103,13-20|6-13|10-16,103,1,0,0
14103,10-16|10-16|10-16,103,1,0,0
15103,10-16|13-20|6-13,103,1,0,0
11104,10-16|6-13|13-20,104,1,0,0
12104,10-16|10-16|10-16,104,1,0,0
13104,13-20|6-13|10-16,104,1,0,0
14104,10-16|10-16|10-16,104,1,0,0
15104,10-16|13-20|6-13,104,1,0,0
11105,10-16|6-13|13-20,105,1,0,0
12105,10-16|10-16|10-16,105,1,0,0
13105,13-20|6-13|10-16,105,1,0,0
14105,10-16|10-16|10-16,105,1,0,0
15105,10-16|13-20|6-13,105,1,0,0
11106,10-16|6-13|13-20,106,1,0,0
12106,10-16|10-16|10-16,106,1,0,0
13106,13-20|6-13|10-16,106,1,0,0
14106,10-16|10-16|10-16,106,1,0,0
15106,10-16|13-20|6-13,106,1,0,0
21101,20-33|13-26|26-40,201,1,0,0
22101,20-33|20-33|20-33,201,1,0,0
23101,26-40|13-26|20-33,201,1,0,0
24101,20-33|20-33|20-33,201,1,0,0
25101,20-33|26-40|13-26,201,1,0,0
21102,20-33|13-26|26-40,202,1,0,0
22102,20-33|20-33|20-33,202,1,0,0
23102,26-40|13-26|20-33,202,1,0,0
24102,20-33|20-33|20-33,202,1,0,0
25102,20-33|26-40|13-26,202,1,0,0
21103,20-33|13-26|26-40,203,1,0,0
22103,20-33|20-33|20-33,203,1,0,0
23103,26-40|13-26|20-33,203,1,0,0
24103,20-33|20-33|20-33,203,1,0,0
25103,20-33|26-40|13-26,203,1,0,0
21104,20-33|13-26|26-40,204,1,0,0
22104,20-33|20-33|20-33,204,1,0,0
23104,26-40|13-26|20-33,204,1,0,0
24104,20-33|20-33|20-33,204,1,0,0
25104,20-33|26-40|13-26,204,1,0,0
21105,20-33|13-26|26-40,205,1,0,0
22105,20-33|20-33|20-33,205,1,0,0
23105,26-40|13-26|20-33,205,1,0,0
24105,20-33|20-33|20-33,205,1,0,0
25105,20-33|26-40|13-26,205,1,0,0
21106,20-33|13-26|26-40,206,1,0,0
22106,20-33|20-33|20-33,206,1,0,0
23106,26-40|13-26|20-33,206,1,0,0
24106,20-33|20-33|20-33,206,1,0,0
25106,20-33|26-40|13-26,206,1,0,0
21107,20-33|13-26|26-40,207,1,0,0
22107,20-33|20-33|20-33,207,1,0,0
23107,26-40|13-26|20-33,207,1,0,0
24107,20-33|20-33|20-33,207,1,0,0
25107,20-33|26-40|13-26,207,1,0,0
21108,20-33|13-26|26-40,208,1,0,0
22108,20-33|20-33|20-33,208,1,0,0
23108,26-40|13-26|20-33,208,1,0,0
24108,20-33|20-33|20-33,208,1,0,0
25108,20-33|26-40|13-26,208,1,0,0
21109,20-33|13-26|26-40,209,1,0,0
22109,20-33|20-33|20-33,209,1,0,0
23109,26-40|13-26|20-33,209,1,0,0
24109,20-33|20-33|20-33,209,1,0,0
25109,20-33|26-40|13-26,209,1,0,0
21110,20-33|13-26|26-40,210,1,0,0
22110,20-33|20-33|20-33,210,1,0,0
23110,26-40|13-26|20-33,210,1,0,0
24110,20-33|20-33|20-33,210,1,0,0
25110,20-33|26-40|13-26,210,1,0,0
21111,25-33|18-26|31-40,211,1,0,0
22111,25-33|25-33|25-33,211,1,0,0
23111,31-40|18-26|25-33,211,1,0,0
24111,25-33|25-33|25-33,211,1,0,0
25111,25-33|31-40|18-26,211,1,0,0
21201,20-33|13-26|26-40,201,2,0,0
22201,20-33|20-33|20-33,201,2,0,0
23201,26-40|13-26|20-33,201,2,0,0
24201,20-33|20-33|20-33,201,2,0,0
25201,20-33|26-40|13-26,201,2,0,0
