序号,掉落包ID,战器ID,几率
id,nEntry,nItemID,fChance
int,int,int,float
1,1007,1111005,0.22
2,1007,1211005,0.0367
3,1007,1311005,0.22
4,1007,1411005,0.0367
5,1007,1511005,0.0367
6,1008,1111005,0.0367
7,1008,1211005,0.22
8,1008,1311005,0.0367
9,1008,1411005,0.22
10,1008,1511005,0.0367
11,1009,1111005,0.22
12,1009,1211005,0.0367
13,1009,1311005,0.0367
14,1009,1411005,0.0367
15,1009,1511005,0.22
16,1010,1111005,0.0367
17,1010,1211005,0.0367
18,1010,1311005,0.22
19,1010,1411005,0.22
20,1010,1511005,0.0367
21,1011,1111005,0.0367
22,1011,1211005,0.22
23,1011,1311005,0.0367
24,1011,1411005,0.0367
25,1011,1511005,0.22
26,1012,1111005,0.0293
27,1012,1211005,0.176
28,1012,1311005,0.0293
29,1012,1411005,0.176
30,1012,1511005,0.0293
31,1012,1121001,0.0037
32,1012,1221001,0.022
33,1012,1321001,0.0037
34,1012,1421001,0.022
35,1012,1521001,0.0037
36,1012,1122001,0.0037
37,1012,1222001,0.022
38,1012,1322001,0.0037
39,1012,1422001,0.022
40,1012,1522001,0.0037
41,1013,1111005,0.176
42,1013,1211005,0.0293
43,1013,1311005,0.0293
44,1013,1411005,0.0293
45,1013,1511005,0.176
46,1013,1121001,0.022
47,1013,1221001,0.0037
48,1013,1321001,0.0037
49,1013,1421001,0.0037
50,1013,1521001,0.022
51,1013,1122001,0.022
52,1013,1222001,0.0037
53,1013,1322001,0.0037
54,1013,1422001,0.0037
55,1013,1522001,0.022
56,1014,1111005,0.0293
57,1014,1211005,0.0293
58,1014,1311005,0.176
59,1014,1411005,0.176
60,1014,1511005,0.0293
61,1014,1121001,0.0037
62,1014,1221001,0.0037
63,1014,1321001,0.022
64,1014,1421001,0.022
65,1014,1521001,0.0037
66,1014,1122001,0.0037
67,1014,1222001,0.0037
68,1014,1322001,0.022
69,1014,1422001,0.022
70,1014,1522001,0.0037
71,1015,1111005,0.176
72,1015,1211005,0.0293
73,1015,1311005,0.176
74,1015,1411005,0.0293
75,1015,1511005,0.0293
76,1015,1121001,0.022
77,1015,1221001,0.0037
78,1015,1321001,0.022
79,1015,1421001,0.0037
80,1015,1521001,0.0037
81,1015,1122001,0.022
82,1015,1222001,0.0037
83,1015,1322001,0.022
84,1015,1422001,0.0037
85,1015,1522001,0.0037
86,1016,1111005,0.0293
87,1016,1211005,0.176
88,1016,1311005,0.0293
89,1016,1411005,0.0293
90,1016,1511005,0.176
91,1016,1121001,0.0037
92,1016,1221001,0.022
93,1016,1321001,0.0037
94,1016,1421001,0.0037
95,1016,1521001,0.022
96,1016,1122001,0.0037
97,1016,1222001,0.022
98,1016,1322001,0.0037
99,1016,1422001,0.0037
100,1016,1522001,0.022
101,1017,1111005,0.176
102,1017,1211005,0.0293
103,1017,1311005,0.176
104,1017,1411005,0.0293
105,1017,1511005,0.0293
